tier,stat_family,status,recommended_combo,n_pool,graded_n,ungraded_n,wins,losses,pushes,HR,HR_ci95_low,HR_ci95_high,ROI,ROI_ci95_low,ROI_ci95_high,P_and_L,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,over_grd,over_roi,under_grd,under_roi,daily_consistency_score,daily_graded_days,outlier_top1_pct_of_net,outlier_top5_pct_of_net,is_outlier_dependent,corr_hr20_vs_profit,corr_edge_vs_profit,corr_cv_vs_profit,corr_tp_vs_profit,artifact_json
safe_haven,pitcher_strikeouts,ok,EDG=-2.5,657,79,127,72,7,0,91.14,82.82,95.64,5.05,-2.92,12.15,3.9901,0.9005,15,9.81,64,3.94,66,4.63,13,7.2,0.5,6,8.35,41.04,False,-0.0047,0.1878,-0.0128,0.1216,/app/backend/audits/gss_mlb_safe_haven_pitcher_strikeouts_2026-05-01_2026-05-15_20260518T062119.json
front_lines,pitcher_strikeouts,ok,HR20=50 EDG=-5,888,62,109,46,16,0,74.19,62.12,83.45,22.54,3.01,40.93,13.9769,0.8024,34,28.68,28,15.09,53,22.06,9,25.36,0.857,7,9.3,43.0,False,-0.0651,0.067,-0.0018,-0.0758,/app/backend/audits/gss_mlb_front_lines_pitcher_strikeouts_2026-05-01_2026-05-15_20260518T062119.json
front_lines,hits,ok,HR20=70 TP=75,4817,60,407,48,12,0,80.0,68.22,88.17,18.13,3.51,32.87,10.88,0.7246,50,17.04,10,23.58,60,18.13,0,,0.714,7,6.86,30.26,False,-0.0604,0.1218,-0.013,0.0101,/app/backend/audits/gss_mlb_front_lines_hits_2026-05-01_2026-05-15_20260518T062119.json
safe_haven,total_bases,ok,EDG=-2.5,398,53,48,41,12,0,77.36,64.47,86.55,0.48,-14.45,15.38,0.255,0.6968,42,-3.79,11,16.77,11,16.77,42,-3.79,0.571,7,130.74,653.7,True,-0.0731,0.0917,0.1713,0.217,/app/backend/audits/gss_mlb_safe_haven_total_bases_2026-05-01_2026-05-15_20260518T062119.json
front_lines,earned_runs,ok,EDG=10,702,63,101,41,22,0,65.08,52.75,75.67,20.19,-1.57,43.42,12.7177,0.6885,56,18.69,7,32.14,24,24.27,39,17.67,0.667,6,10.22,49.69,False,-0.0254,0.0581,0.0516,-0.1696,/app/backend/audits/gss_mlb_front_lines_earned_runs_2026-05-01_2026-05-15_20260518T062119.json
safe_haven,hits,ok,EDG=-2.5,352,50,79,39,11,0,78.0,64.76,87.25,-3.8,-18.95,9.15,-1.8989,0.662,41,-7.87,9,14.74,9,14.74,41,-7.87,0.286,7,-17.55,-85.53,False,0.0506,0.101,0.0645,0.1413,/app/backend/audits/gss_mlb_safe_haven_hits_2026-05-01_2026-05-15_20260518T062119.json
front_lines,total_bases,ok,HR20=65 EDG=10,7655,164,477,117,47,0,71.34,63.99,77.71,15.15,3.43,26.37,24.8515,0.6416,105,22.51,59,2.07,164,15.15,0,,0.857,7,5.43,24.75,False,-0.0384,0.0672,-0.0505,-0.0266,/app/backend/audits/gss_mlb_front_lines_total_bases_2026-05-01_2026-05-15_20260518T062119.json
front_lines,runs,ok,HR20=50 EDG=-5,4207,118,395,67,51,0,56.78,47.77,65.36,10.42,-7.34,28.88,12.2931,0.539,115,13.3,3,-100.0,84,5.68,34,22.11,0.429,7,12.12,56.86,False,0.0232,-0.0001,0.0536,-0.019,/app/backend/audits/gss_mlb_front_lines_runs_2026-05-01_2026-05-15_20260518T062119.json
war_zone,total_bases,ok,TP=65 EDG=10,12718,54,1086,26,28,0,48.15,35.39,61.15,60.46,12.22,107.13,32.65,0.5,28,45.89,26,76.15,54,60.46,0,,0.857,7,21.44,66.46,True,-0.1173,0.1707,-0.0447,0.1482,/app/backend/audits/gss_mlb_war_zone_total_bases_2026-05-01_2026-05-15_20260518T062119.json
war_zone,rbis,ok,TP=60 EDG=10,12711,101,1409,33,68,0,32.67,24.31,42.31,0.13,-28.21,31.27,0.13,0.3513,0,,101,0.13,101,0.13,0,,0.429,7,6153.85,13684.62,True,-0.0325,-0.0458,-0.0586,-0.0198,/app/backend/audits/gss_mlb_war_zone_rbis_2026-05-01_2026-05-15_20260518T062119.json
war_zone,runs,ok,BK=3,9596,102,5491,31,71,0,30.39,22.31,39.9,-14.25,-39.75,11.95,-14.53,0.2075,96,-17.32,6,35.0,102,-14.25,0,,0.286,7,-29.25,-91.95,False,-0.0595,0.0182,0.0516,-0.074,/app/backend/audits/gss_mlb_war_zone_runs_2026-05-01_2026-05-15_20260518T062119.json
safe_haven,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,runs,insufficient_graded,,131,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,batter_strikeouts,insufficient_graded,,484,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,earned_runs,insufficient_graded,,140,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,rbis,insufficient_graded,,146,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,batter_strikeouts,insufficient_graded,,2402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,hits,insufficient_graded,,9855,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,batter_strikeouts,insufficient_graded,,3340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,pitcher_strikeouts,insufficient_graded,,1443,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,earned_runs,insufficient_graded,,658,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
