tier,stat_family,status,recommended_combo,n_pool,graded_n,ungraded_n,wins,losses,pushes,HR,HR_ci95_low,HR_ci95_high,ROI,ROI_ci95_low,ROI_ci95_high,P_and_L,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,over_grd,over_roi,under_grd,under_roi,daily_consistency_score,daily_graded_days,outlier_top1_pct_of_net,outlier_top5_pct_of_net,is_outlier_dependent,corr_hr20_vs_profit,corr_edge_vs_profit,corr_cv_vs_profit,corr_tp_vs_profit,artifact_json
safe_haven,hits,ok,HR20=70 TP=65,296,23,3,19,4,0,82.61,62.86,93.02,6.91,-15.44,24.06,1.5888,0.6975,0,,23,6.91,23,6.91,0,,0.5,8,20.98,104.9,True,0.0209,0.0381,0.0022,0.0984,/app/backend/audits/gss_mlb_safe_haven_hits_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,pitcher_strikeouts,ok,HR20=90 TP=65,565,159,16,152,7,0,95.6,91.19,97.85,2.0,-1.83,5.18,3.1796,0.87,0,,159,2.0,159,2.0,0,,0.667,12,9.68,42.84,False,0.0091,0.1428,-0.0181,0.0868,/app/backend/audits/gss_mlb_safe_haven_pitcher_strikeouts_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,batter_strikeouts,ok,HR20=85 CV<==1.0,421,75,10,61,14,0,81.33,71.07,88.54,1.09,-10.46,11.02,0.8164,0.7174,0,,75,1.09,75,1.09,0,,0.615,13,38.64,190.01,True,0.0073,0.0677,0.0811,0.031,/app/backend/audits/gss_mlb_safe_haven_batter_strikeouts_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,total_bases,ok,HR20=75 TP=70,350,21,3,15,6,0,71.43,50.04,86.19,-6.97,-32.06,17.98,-1.4644,0.4057,0,,21,-6.97,21,-6.97,0,,0.444,9,-22.76,-112.85,False,-0.0876,0.0174,0.0952,0.1176,/app/backend/audits/gss_mlb_safe_haven_total_bases_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,earned_runs,ok,HR20=50 CV<==0.9,121,46,10,30,16,0,65.22,50.77,77.32,-19.63,-38.04,-1.41,-9.0276,0.3902,0,,46,-19.63,46,-19.63,0,,0.333,12,-3.55,-17.08,False,0.0463,0.0677,-0.1263,0.0121,/app/backend/audits/gss_mlb_safe_haven_earned_runs_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_strikeouts,ok,HR20=50 CV<==0.5,772,104,71,74,30,0,71.15,61.82,78.98,15.03,-0.28,30.27,15.6334,0.7644,53,19.17,51,10.74,96,12.35,8,47.27,0.769,13,9.27,42.54,False,0.0537,-0.097,-0.0151,-0.0498,/app/backend/audits/gss_mlb_front_lines_pitcher_strikeouts_2026-05-03_2026-05-15_20260518T154725.json
front_lines,earned_runs,ok,HR20=55 CV<==0.9,609,49,33,34,15,0,69.39,55.47,80.48,13.67,-10.23,35.54,6.6998,0.6711,25,16.05,24,11.2,33,3.41,16,34.85,0.75,12,16.42,79.4,True,-0.0018,0.0475,0.0252,-0.0946,/app/backend/audits/gss_mlb_front_lines_earned_runs_2026-05-03_2026-05-15_20260518T154725.json
front_lines,batter_strikeouts,ok,HR20=70 TP=70,2100,194,76,140,54,0,72.16,65.47,77.99,7.36,-2.94,16.41,14.2743,0.6448,0,,194,7.36,194,7.36,0,,0.769,13,7.01,31.84,False,0.0255,0.0178,-0.018,0.0152,/app/backend/audits/gss_mlb_front_lines_batter_strikeouts_2026-05-03_2026-05-15_20260518T154725.json
front_lines,runs,ok,HR20=50 CV<==1.0,3699,96,289,52,44,0,54.17,44.23,63.78,7.24,-12.79,27.88,6.9505,0.363,94,9.52,2,-100.0,77,3.93,19,20.65,0.75,12,21.44,104.89,True,0.0224,-0.0234,-0.004,0.0203,/app/backend/audits/gss_mlb_front_lines_runs_2026-05-03_2026-05-15_20260518T154725.json
front_lines,hits,ok,HR20=75 TP=75,4223,172,100,121,51,0,70.35,63.14,76.67,5.71,-5.2,15.05,9.8229,0.5348,151,5.15,21,9.76,172,5.71,0,,0.692,13,9.25,41.54,False,-0.0598,0.0647,-0.0015,0.0001,/app/backend/audits/gss_mlb_front_lines_hits_2026-05-03_2026-05-15_20260518T154725.json
front_lines,total_bases,ok,HR20=75 TP=75,6734,222,111,151,71,0,68.02,61.62,73.8,3.85,-6.11,13.17,8.558,0.4678,97,9.81,125,-0.77,222,3.85,0,,0.615,13,14.61,60.23,True,-0.0464,0.0116,-0.0151,-0.0215,/app/backend/audits/gss_mlb_front_lines_total_bases_2026-05-03_2026-05-15_20260518T154725.json
front_lines,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,total_bases,ok,HR20=50 CV<==1.0,11181,58,102,23,35,0,39.66,28.09,52.51,12.0,-21.31,50.5,6.96,0.301,42,16.86,16,-0.75,58,12.0,0,,0.583,12,38.07,162.36,True,0.035,0.0212,0.0368,0.0005,/app/backend/audits/gss_mlb_war_zone_total_bases_2026-05-03_2026-05-15_20260518T155111.json
war_zone,runs,ok,HR20=50 CV<==1.0,8398,27,17,9,18,0,33.33,18.64,52.18,-7.52,-57.7,43.48,-2.03,0.1167,27,-7.52,0,,27,-7.52,0,,0.444,9,-108.37,-480.3,False,-0.0099,0.0145,0.041,-0.0872,/app/backend/audits/gss_mlb_war_zone_runs_2026-05-03_2026-05-15_20260518T155111.json
war_zone,rbis,ok,HR20=50 CV<==1.1,11332,28,31,9,19,0,32.14,17.93,50.66,-9.29,-57.32,41.61,-2.6,0.0702,0,,28,-9.29,28,-9.29,0,,0.5,12,-84.62,-376.92,False,0.0411,-0.0176,-0.0185,0.0085,/app/backend/audits/gss_mlb_war_zone_rbis_2026-05-03_2026-05-15_20260518T155111.json
war_zone,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,earned_runs,insufficient_graded,,574,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war_zone,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
