combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,45.24,40.49,50.0,0.9049,2.0,,0,,2,45.24,0,
HR20=90 CV<==0.6,2,2,0,2,0,0,100.0,34.24,100.0,45.24,40.49,50.0,0.9049,2.0,,0,,2,45.24,0,
HR20=90 CV<==0.7,16,14,2,11,3,0,78.57,52.41,92.43,13.74,-17.71,43.81,1.9239,14.0,,0,,14,13.74,0,
HR20=90 CV<==0.8,18,15,3,12,3,0,80.0,54.81,92.95,16.51,-13.81,45.07,2.4764,15.0,,0,,15,16.51,0,
HR20=90 CV<==0.9,18,15,3,12,3,0,80.0,54.81,92.95,16.51,-13.81,45.07,2.4764,15.0,,0,,15,16.51,0,
HR20=90 CV<==1.0,18,15,3,12,3,0,80.0,54.81,92.95,16.51,-13.81,45.07,2.4764,15.0,,0,,15,16.51,0,
HR20=90 CV<==1.1,18,15,3,12,3,0,80.0,54.81,92.95,16.51,-13.81,45.07,2.4764,15.0,,0,,15,16.51,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,45.24,40.49,50.0,0.9049,2.0,,0,,2,45.24,0,
HR20=85 CV<==0.6,7,7,0,3,4,0,42.86,15.82,74.95,-38.61,-80.11,5.6,-2.703,7.0,,0,,7,-38.61,0,
HR20=85 CV<==0.7,33,23,10,13,10,0,56.52,36.81,74.37,-18.45,-49.7,8.65,-4.2434,23.0,0.0986,0,,23,-18.45,0,
HR20=85 CV<==0.8,41,29,12,17,12,0,58.62,40.74,74.49,-14.83,-40.15,10.92,-4.3003,29.0,0.131,0,,29,-14.83,0,
HR20=85 CV<==0.9,41,29,12,17,12,0,58.62,40.74,74.49,-14.83,-40.15,10.92,-4.3003,29.0,0.131,0,,29,-14.83,0,
HR20=85 CV<==1.0,47,34,13,20,14,0,58.82,42.22,73.63,-14.55,-36.48,10.39,-4.9465,34.0,0.14,0,,34,-14.55,0,
HR20=85 CV<==1.1,47,34,13,20,14,0,58.82,42.22,73.63,-14.55,-36.48,10.39,-4.9465,34.0,0.14,0,,34,-14.55,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,5,5,0,5,0,0,100.0,56.55,100.0,41.0,37.03,45.63,2.0499,5.0,,0,,5,41.0,0,
HR20=80 CV<==0.6,21,17,4,12,5,0,70.59,46.87,86.72,-1.18,-34.06,24.91,-0.2012,17.0,,0,,17,-1.18,0,
HR20=80 CV<==0.7,68,47,21,32,15,0,68.09,53.83,79.6,-2.37,-20.51,15.19,-1.1123,47.0,0.3874,0,,47,-2.37,0,
HR20=80 CV<==0.8,85,61,24,40,21,0,65.57,53.05,76.25,-5.65,-24.42,11.95,-3.4481,61.0,0.3335,0,,61,-5.65,0,
HR20=80 CV<==0.9,87,62,25,40,22,0,64.52,52.08,75.26,-7.17,-25.18,9.51,-4.4481,62.0,0.3059,0,,62,-7.17,0,
HR20=80 CV<==1.0,102,76,26,50,26,0,65.79,54.6,75.46,-5.43,-21.17,9.43,-4.1255,76.0,0.3496,0,,76,-5.43,0,
HR20=80 CV<==1.1,102,76,26,50,26,0,65.79,54.6,75.46,-5.43,-21.17,9.43,-4.1255,76.0,0.3496,0,,76,-5.43,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,6,6,0,6,0,0,100.0,60.97,100.0,39.89,36.25,44.57,2.3935,6.0,,0,,6,39.89,0,
HR20=75 CV<==0.6,27,22,5,16,6,0,72.73,51.85,86.85,1.38,-24.71,25.91,0.303,22.0,0.4643,0,,22,1.38,0,
HR20=75 CV<==0.7,98,65,33,45,20,0,69.23,57.2,79.11,-0.33,-17.52,16.12,-0.215,65.0,0.4354,0,,65,-0.33,0,
HR20=75 CV<==0.8,132,92,40,62,30,0,67.39,57.28,76.11,-2.38,-15.77,12.44,-2.1905,92.0,0.412,0,,92,-2.38,0,
HR20=75 CV<==0.9,161,111,50,74,37,0,66.67,57.47,74.75,-1.79,-15.21,10.7,-1.9867,111.0,0.423,0,,111,-1.79,0,
HR20=75 CV<==1.0,191,136,55,90,46,0,66.18,57.88,73.59,-2.72,-13.98,8.66,-3.6979,136.0,0.4262,0,,136,-2.72,0,
HR20=75 CV<==1.1,195,140,55,92,48,0,65.71,57.53,73.06,-3.42,-15.43,8.3,-4.7826,140.0,0.4163,0,,140,-3.42,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,6,6,0,6,0,0,100.0,60.97,100.0,39.89,36.25,44.57,2.3935,6.0,,0,,6,39.89,0,
HR20=70 CV<==0.6,31,26,5,20,6,0,76.92,57.95,88.97,7.31,-14.74,28.18,1.8998,26.0,0.5789,0,,26,7.31,0,
HR20=70 CV<==0.7,139,85,54,60,25,0,70.59,60.18,79.21,1.94,-12.43,15.43,1.6465,85.0,0.49,0,,85,1.94,0,
HR20=70 CV<==0.8,201,129,72,88,41,0,68.22,59.75,75.63,-0.14,-12.25,11.43,-0.186,129.0,0.4723,0,,129,-0.14,0,
HR20=70 CV<==0.9,250,160,90,109,51,0,68.12,60.55,74.85,0.78,-9.49,11.04,1.2429,160.0,0.5033,0,,160,0.78,0,
HR20=70 CV<==1.0,325,224,101,154,70,0,68.75,62.41,74.46,2.0,-6.39,10.86,4.4789,224.0,0.5709,0,,224,2.0,0,
HR20=70 CV<==1.1,342,233,109,158,75,0,67.81,61.57,73.48,0.52,-8.68,9.24,1.2104,233.0,0.5511,0,,233,0.52,0,
HR20=65 CV<==0.4,10,0,10,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,17,6,11,6,0,0,100.0,60.97,100.0,39.89,36.25,44.57,2.3935,6.0,,0,,6,39.89,0,
HR20=65 CV<==0.6,43,26,17,20,6,0,76.92,57.95,88.97,7.31,-14.74,28.18,1.8998,26.0,0.5789,0,,26,7.31,0,
HR20=65 CV<==0.7,182,96,86,66,30,0,68.75,58.91,77.15,-0.52,-13.34,12.44,-0.5039,96.0,0.4506,0,,96,-0.52,0,
HR20=65 CV<==0.8,281,165,116,106,59,0,64.24,56.68,71.16,-4.81,-15.52,5.31,-7.9337,165.0,0.4026,0,,165,-4.81,0,
HR20=65 CV<==0.9,368,222,146,147,75,0,66.22,59.77,72.12,-1.32,-10.92,8.54,-2.9374,222.0,0.5046,0,,222,-1.32,0,
HR20=65 CV<==1.0,514,333,181,224,109,0,67.27,62.06,72.09,0.96,-6.28,8.72,3.1988,333.0,0.5755,0,,333,0.96,0,
HR20=65 CV<==1.1,550,350,200,233,117,0,66.57,61.47,71.31,-0.1,-7.87,7.54,-0.351,350.0,0.5561,0,,350,-0.1,0,
HR20=60 CV<==0.4,10,0,10,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=60 CV<==0.5,26,7,19,6,1,0,85.71,48.69,97.43,19.91,-20.64,42.51,1.3935,7.0,,0,,7,19.91,0,
HR20=60 CV<==0.6,52,27,25,20,7,0,74.07,55.32,86.83,3.33,-18.54,24.59,0.8998,27.0,0.5042,0,,27,3.33,0,
HR20=60 CV<==0.7,214,117,97,76,41,0,64.96,55.96,73.0,-5.15,-18.48,7.32,-6.0282,117.0,0.3725,0,,117,-5.15,0,
HR20=60 CV<==0.8,320,189,131,118,71,0,62.43,55.35,69.03,-7.06,-16.71,3.0,-13.3368,189.0,0.3753,0,,189,-7.06,0,
HR20=60 CV<==0.9,445,266,179,171,95,0,64.29,58.36,69.8,-3.12,-11.74,5.64,-8.3061,266.0,0.4952,0,,266,-3.12,0,
HR20=60 CV<==1.0,647,415,232,271,144,0,65.3,60.6,69.72,-1.34,-8.78,6.07,-5.5762,415.0,0.5278,0,,415,-1.34,0,
HR20=60 CV<==1.1,701,441,260,288,153,0,65.31,60.75,69.6,-1.28,-8.19,5.82,-5.6591,441.0,0.5286,0,,441,-1.28,0,
HR20=55 CV<==0.4,10,0,10,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=55 CV<==0.5,26,7,19,6,1,0,85.71,48.69,97.43,19.91,-20.64,42.51,1.3935,7.0,,0,,7,19.91,0,
HR20=55 CV<==0.6,58,32,26,21,11,0,65.62,48.31,79.59,-6.47,-30.72,17.13,-2.0702,32.0,0.3043,0,,32,-6.47,0,
HR20=55 CV<==0.7,232,130,102,83,47,0,63.85,55.3,71.6,-4.88,-16.86,7.04,-6.3394,130.0,0.371,0,,130,-4.88,0,
HR20=55 CV<==0.8,350,208,142,129,79,0,62.02,55.26,68.34,-6.35,-17.27,4.09,-13.212,208.0,0.3914,0,,208,-6.35,0,
HR20=55 CV<==0.9,498,296,202,187,109,0,63.18,57.54,68.47,-3.69,-13.16,5.37,-10.9321,296.0,0.4778,0,,296,-3.69,0,
HR20=55 CV<==1.0,723,458,265,294,164,0,64.19,59.7,68.45,-2.23,-9.47,4.03,-10.1951,458.0,0.5051,0,,458,-2.23,0,
HR20=55 CV<==1.1,795,485,310,312,173,0,64.33,59.97,68.47,-2.01,-8.76,4.97,-9.7572,485.0,0.509,0,,485,-2.01,0,
HR20=50 CV<==0.4,11,0,11,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=50 CV<==0.5,27,7,20,6,1,0,85.71,48.69,97.43,19.91,-20.64,42.51,1.3935,7.0,,0,,7,19.91,0,
HR20=50 CV<==0.6,59,32,27,21,11,0,65.62,48.31,79.59,-6.47,-30.72,17.13,-2.0702,32.0,0.3043,0,,32,-6.47,0,
HR20=50 CV<==0.7,249,133,116,84,49,0,63.16,54.7,70.88,-5.81,-17.56,5.89,-7.7333,133.0,0.3553,0,,133,-5.81,0,
HR20=50 CV<==0.8,370,211,159,130,81,0,61.61,54.9,67.91,-6.92,-17.01,2.59,-14.6059,211.0,0.3828,0,,211,-6.92,0,
HR20=50 CV<==0.9,543,305,238,192,113,0,62.95,57.4,68.18,-3.68,-12.03,4.59,-11.2359,305.0,0.4751,0,,305,-3.68,0,
HR20=50 CV<==1.0,814,485,329,308,177,0,63.51,59.13,67.67,-2.65,-8.84,4.22,-12.8608,485.0,0.4924,0,,485,-2.65,0,
HR20=50 CV<==1.1,894,514,380,327,187,0,63.62,59.37,67.66,-2.51,-8.93,4.04,-12.8937,514.0,0.4951,0,,514,-2.51,0,
