combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,13,3,10,3,0,0,100.0,43.85,100.0,40.6,37.88,45.45,1.2179,3.0,,2,41.67,1,38.46,0,
HR20=90 CV<==0.5,16,6,10,5,1,0,83.33,43.65,96.99,21.33,-29.11,49.28,1.2796,6.0,,5,17.9,1,38.46,0,
HR20=90 CV<==0.6,35,8,27,6,2,0,75.0,40.93,92.85,9.18,-44.56,47.31,0.7341,8.0,,7,4.99,1,38.46,0,
HR20=90 CV<==0.7,46,10,36,8,2,0,80.0,49.02,94.33,15.42,-26.6,45.67,1.5422,10.0,,9,12.86,1,38.46,0,
HR20=90 CV<==0.8,47,11,36,8,3,0,72.73,43.43,90.25,4.93,-35.63,42.25,0.5422,11.0,,10,1.58,1,38.46,0,
HR20=90 CV<==0.9,49,11,38,8,3,0,72.73,43.43,90.25,4.93,-35.63,42.25,0.5422,11.0,,10,1.58,1,38.46,0,
HR20=90 CV<==1.0,49,11,38,8,3,0,72.73,43.43,90.25,4.93,-35.63,42.25,0.5422,11.0,,10,1.58,1,38.46,0,
HR20=90 CV<==1.1,49,11,38,8,3,0,72.73,43.43,90.25,4.93,-35.63,42.25,0.5422,11.0,,10,1.58,1,38.46,0,
HR20=85 CV<==0.4,13,3,10,3,0,0,100.0,43.85,100.0,40.6,37.88,45.45,1.2179,3.0,,2,41.67,1,38.46,0,
HR20=85 CV<==0.5,16,6,10,5,1,0,83.33,43.65,96.99,21.33,-29.11,49.28,1.2796,6.0,,5,17.9,1,38.46,0,
HR20=85 CV<==0.6,48,12,36,9,3,0,75.0,46.77,91.11,8.51,-28.71,36.5,1.021,12.0,,10,2.92,2,36.47,0,
HR20=85 CV<==0.7,63,18,45,12,6,0,66.67,43.75,83.72,-4.28,-36.96,25.76,-0.771,18.0,,15,-3.34,3,-9.02,0,
HR20=85 CV<==0.8,72,23,49,14,9,0,60.87,40.79,77.84,-12.49,-43.34,13.13,-2.872,23.0,,20,-13.01,3,-9.02,0,
HR20=85 CV<==0.9,77,26,51,17,9,0,65.38,46.22,80.59,-5.74,-33.8,21.03,-1.4923,26.0,,23,-5.31,3,-9.02,0,
HR20=85 CV<==1.0,79,28,51,17,11,0,60.71,42.41,76.43,-12.47,-38.39,13.39,-3.4923,28.0,,24,-9.26,4,-31.76,0,
HR20=85 CV<==1.1,79,28,51,17,11,0,60.71,42.41,76.43,-12.47,-38.39,13.39,-3.4923,28.0,,24,-9.26,4,-31.76,0,
HR20=80 CV<==0.4,13,3,10,3,0,0,100.0,43.85,100.0,40.6,37.88,45.45,1.2179,3.0,,2,41.67,1,38.46,0,
HR20=80 CV<==0.5,18,8,10,7,1,0,87.5,52.91,97.76,26.79,-12.24,48.27,2.1432,8.0,,6,23.25,2,37.41,0,
HR20=80 CV<==0.6,76,18,58,14,4,0,77.78,54.78,91.0,11.07,-19.19,36.24,1.9928,18.0,,11,7.2,7,17.16,0,
HR20=80 CV<==0.7,145,38,107,27,11,0,71.05,55.24,83.0,3.58,-16.54,23.49,1.3594,38.0,,29,2.74,9,6.28,0,
HR20=80 CV<==0.8,190,58,132,39,19,0,67.24,54.42,77.92,-1.93,-19.45,16.23,-1.1207,58.0,0.3941,48,-4.35,10,9.65,0,
HR20=80 CV<==0.9,223,67,156,44,23,0,65.67,53.73,75.91,-4.09,-20.8,10.46,-2.741,67.0,0.3603,56,-4.83,11,-0.32,0,
