combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=90 CV<==0.5,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=90 CV<==0.6,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=90 CV<==0.7,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=90 CV<==0.8,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=90 CV<==0.9,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=90 CV<==1.0,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=90 CV<==1.1,3,2,1,1,1,0,50.0,9.45,90.55,-31.62,-100.0,36.76,-0.6324,2.0,,2,-31.62,0,,0,
HR20=85 CV<==0.4,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=85 CV<==0.5,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=85 CV<==0.6,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=85 CV<==0.7,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=85 CV<==0.8,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=85 CV<==0.9,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=85 CV<==1.0,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=85 CV<==1.1,5,4,1,3,1,0,75.0,30.06,95.44,8.57,-64.13,49.73,0.343,4.0,,3,-6.59,1,54.05,0,
HR20=80 CV<==0.4,7,6,1,5,1,0,83.33,43.65,96.99,17.39,-30.78,44.49,1.0435,6.0,,3,-6.59,3,41.37,0,
HR20=80 CV<==0.5,9,7,2,5,2,0,71.43,35.89,91.78,0.62,-41.9,42.89,0.0435,7.0,,3,-6.59,4,6.03,0,
HR20=80 CV<==0.6,9,7,2,5,2,0,71.43,35.89,91.78,0.62,-41.9,42.89,0.0435,7.0,,3,-6.59,4,6.03,0,
HR20=80 CV<==0.7,9,7,2,5,2,0,71.43,35.89,91.78,0.62,-41.9,42.89,0.0435,7.0,,3,-6.59,4,6.03,0,
HR20=80 CV<==0.8,9,7,2,5,2,0,71.43,35.89,91.78,0.62,-41.9,42.89,0.0435,7.0,,3,-6.59,4,6.03,0,
HR20=80 CV<==0.9,9,7,2,5,2,0,71.43,35.89,91.78,0.62,-41.9,42.89,0.0435,7.0,,3,-6.59,4,6.03,0,
HR20=80 CV<==1.0,9,7,2,5,2,0,71.43,35.89,91.78,0.62,-41.9,42.89,0.0435,7.0,,3,-6.59,4,6.03,0,
HR20=80 CV<==1.1,9,7,2,5,2,0,71.43,35.89,91.78,0.62,-41.9,42.89,0.0435,7.0,,3,-6.59,4,6.03,0,
HR20=75 CV<==0.4,10,9,1,6,3,0,66.67,35.42,87.94,1.04,-50.76,46.59,0.0935,9.0,,5,-2.95,4,6.03,0,
HR20=75 CV<==0.5,12,10,2,6,4,0,60.0,31.27,83.18,-9.07,-56.75,33.02,-0.9065,10.0,,5,-2.95,5,-15.18,0,
HR20=75 CV<==0.6,12,10,2,6,4,0,60.0,31.27,83.18,-9.07,-56.75,33.02,-0.9065,10.0,,5,-2.95,5,-15.18,0,
HR20=75 CV<==0.7,12,10,2,6,4,0,60.0,31.27,83.18,-9.07,-56.75,33.02,-0.9065,10.0,,5,-2.95,5,-15.18,0,
HR20=75 CV<==0.8,12,10,2,6,4,0,60.0,31.27,83.18,-9.07,-56.75,33.02,-0.9065,10.0,,5,-2.95,5,-15.18,0,
HR20=75 CV<==0.9,12,10,2,6,4,0,60.0,31.27,83.18,-9.07,-56.75,33.02,-0.9065,10.0,,5,-2.95,5,-15.18,0,
HR20=75 CV<==1.0,12,10,2,6,4,0,60.0,31.27,83.18,-9.07,-56.75,33.02,-0.9065,10.0,,5,-2.95,5,-15.18,0,
HR20=75 CV<==1.1,12,10,2,6,4,0,60.0,31.27,83.18,-9.07,-56.75,33.02,-0.9065,10.0,,5,-2.95,5,-15.18,0,
HR20=70 CV<==0.4,22,20,2,11,9,0,55.0,34.21,74.18,-10.88,-46.94,25.99,-2.1755,20.0,,11,-2.88,9,-20.65,0,
HR20=70 CV<==0.5,28,24,4,13,11,0,54.17,35.07,72.11,-12.71,-45.83,20.01,-3.0505,24.0,,13,-5.32,11,-21.44,0,
HR20=70 CV<==0.6,29,25,4,14,11,0,56.0,37.07,73.33,-10.66,-41.31,20.79,-2.6659,25.0,,13,-5.32,12,-16.45,0,
HR20=70 CV<==0.7,29,25,4,14,11,0,56.0,37.07,73.33,-10.66,-41.31,20.79,-2.6659,25.0,,13,-5.32,12,-16.45,0,
HR20=70 CV<==0.8,30,25,5,14,11,0,56.0,37.07,73.33,-10.66,-41.31,20.79,-2.6659,25.0,,13,-5.32,12,-16.45,0,
HR20=70 CV<==0.9,30,25,5,14,11,0,56.0,37.07,73.33,-10.66,-41.31,20.79,-2.6659,25.0,,13,-5.32,12,-16.45,0,
HR20=70 CV<==1.0,30,25,5,14,11,0,56.0,37.07,73.33,-10.66,-41.31,20.79,-2.6659,25.0,,13,-5.32,12,-16.45,0,
HR20=70 CV<==1.1,30,25,5,14,11,0,56.0,37.07,73.33,-10.66,-41.31,20.79,-2.6659,25.0,,13,-5.32,12,-16.45,0,
HR20=65 CV<==0.4,34,30,4,19,11,0,63.33,45.51,78.13,0.27,-28.57,29.24,0.0815,30.0,,13,-0.82,17,1.11,0,
HR20=65 CV<==0.5,46,40,6,23,17,0,57.5,42.19,71.49,-9.19,-35.19,16.24,-3.6764,40.0,,17,-4.79,23,-12.44,0,
HR20=65 CV<==0.6,47,41,6,24,17,0,58.54,43.37,72.24,-8.03,-32.09,16.72,-3.2918,41.0,,17,-4.79,24,-10.32,0,
HR20=65 CV<==0.7,48,42,6,25,17,0,59.52,44.49,72.96,-6.58,-30.79,17.43,-2.7655,42.0,,18,-1.6,24,-10.32,0,
HR20=65 CV<==0.8,49,42,7,25,17,0,59.52,44.49,72.96,-6.58,-30.79,17.43,-2.7655,42.0,,18,-1.6,24,-10.32,0,
HR20=65 CV<==0.9,50,43,7,26,17,0,60.47,45.58,73.63,-5.38,-28.67,18.34,-2.315,43.0,,18,-1.6,25,-8.11,0,
HR20=65 CV<==1.0,50,43,7,26,17,0,60.47,45.58,73.63,-5.38,-28.67,18.34,-2.315,43.0,,18,-1.6,25,-8.11,0,
HR20=65 CV<==1.1,50,43,7,26,17,0,60.47,45.58,73.63,-5.38,-28.67,18.34,-2.315,43.0,,18,-1.6,25,-8.11,0,
HR20=60 CV<==0.4,59,54,5,33,21,0,61.11,47.79,72.96,1.52,-19.93,22.84,0.8228,54.0,0.3658,33,-3.67,21,9.68,0,
HR20=60 CV<==0.5,76,69,7,40,29,0,57.97,46.21,68.89,-4.05,-23.31,16.4,-2.796,69.0,0.288,40,-6.75,29,-0.34,0,
HR20=60 CV<==0.6,86,79,7,47,32,0,59.49,48.47,69.63,-3.58,-21.43,13.06,-2.8282,79.0,0.3231,43,-6.35,36,-0.28,0,
HR20=60 CV<==0.7,89,82,7,49,33,0,59.76,48.94,69.7,-3.58,-20.77,14.81,-2.9382,82.0,0.3299,45,-7.12,37,0.72,0,
HR20=60 CV<==0.8,90,82,8,49,33,0,59.76,48.94,69.7,-3.58,-20.77,14.81,-2.9382,82.0,0.3299,45,-7.12,37,0.72,0,
HR20=60 CV<==0.9,91,83,8,50,33,0,60.24,49.48,70.09,-3.0,-20.13,14.58,-2.4878,83.0,0.3429,45,-7.12,38,1.88,0,
HR20=60 CV<==1.0,91,83,8,50,33,0,60.24,49.48,70.09,-3.0,-20.13,14.58,-2.4878,83.0,0.3429,45,-7.12,38,1.88,0,
HR20=60 CV<==1.1,91,83,8,50,33,0,60.24,49.48,70.09,-3.0,-20.13,14.58,-2.4878,83.0,0.3429,45,-7.12,38,1.88,0,
HR20=55 CV<==0.4,72,67,5,41,26,0,61.19,49.22,71.95,1.74,-19.13,21.41,1.1641,67.0,0.3838,39,-3.03,28,8.38,0,
HR20=55 CV<==0.5,106,97,9,57,40,0,58.76,48.82,68.04,-3.13,-19.28,12.44,-3.0341,97.0,0.3391,56,-6.95,41,2.09,0,
HR20=55 CV<==0.6,122,113,9,67,46,0,59.29,50.07,67.9,-4.0,-19.53,10.52,-4.5255,113.0,0.3553,61,-6.94,52,-0.57,0,
HR20=55 CV<==0.7,127,118,9,70,48,0,59.32,50.3,67.76,-4.44,-18.41,10.89,-5.2356,118.0,0.357,63,-7.47,55,-0.97,0,
HR20=55 CV<==0.8,131,119,12,70,49,0,58.82,49.84,67.26,-5.24,-19.19,9.21,-6.2356,119.0,0.3438,63,-7.47,56,-2.73,0,
HR20=55 CV<==0.9,132,120,12,71,49,0,59.17,50.22,67.54,-4.82,-19.23,9.06,-5.7851,120.0,0.3536,63,-7.47,57,-1.9,0,
HR20=55 CV<==1.0,132,120,12,71,49,0,59.17,50.22,67.54,-4.82,-19.23,9.06,-5.7851,120.0,0.3536,63,-7.47,57,-1.9,0,
HR20=55 CV<==1.1,132,120,12,71,49,0,59.17,50.22,67.54,-4.82,-19.23,9.06,-5.7851,120.0,0.3536,63,-7.47,57,-1.9,0,
