combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.8,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.9,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.1,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.7,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.8,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.9,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==1.0,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==1.1,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.6,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.7,13,7,6,2,5,0,28.57,8.22,64.11,-48.39,-100.0,14.31,-3.387,7.0,,7,-48.39,0,,0,
HR20=80 CV<==0.8,13,7,6,2,5,0,28.57,8.22,64.11,-48.39,-100.0,14.31,-3.387,7.0,,7,-48.39,0,,0,
HR20=80 CV<==0.9,13,7,6,2,5,0,28.57,8.22,64.11,-48.39,-100.0,14.31,-3.387,7.0,,7,-48.39,0,,0,
HR20=80 CV<==1.0,13,7,6,2,5,0,28.57,8.22,64.11,-48.39,-100.0,14.31,-3.387,7.0,,7,-48.39,0,,0,
HR20=80 CV<==1.1,13,7,6,2,5,0,28.57,8.22,64.11,-48.39,-100.0,14.31,-3.387,7.0,,7,-48.39,0,,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.6,14,6,8,2,4,0,33.33,9.68,70.0,-34.68,-100.0,32.32,-2.0809,6.0,,6,-34.68,0,,0,
HR20=75 CV<==0.7,27,13,14,4,9,0,30.77,12.68,57.63,-42.06,-88.75,11.37,-5.4679,13.0,,13,-42.06,0,,0,
HR20=75 CV<==0.8,27,13,14,4,9,0,30.77,12.68,57.63,-42.06,-88.75,11.37,-5.4679,13.0,,13,-42.06,0,,0,
HR20=75 CV<==0.9,31,14,17,5,9,0,35.71,16.34,61.24,-33.95,-77.31,13.62,-4.7537,14.0,,14,-33.95,0,,0,
HR20=75 CV<==1.0,31,14,17,5,9,0,35.71,16.34,61.24,-33.95,-77.31,13.62,-4.7537,14.0,,14,-33.95,0,,0,
HR20=75 CV<==1.1,31,14,17,5,9,0,35.71,16.34,61.24,-33.95,-77.31,13.62,-4.7537,14.0,,14,-33.95,0,,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.6,14,6,8,2,4,0,33.33,9.68,70.0,-34.68,-100.0,32.32,-2.0809,6.0,,6,-34.68,0,,0,
HR20=70 CV<==0.7,29,14,15,5,9,0,35.71,16.34,61.24,-33.56,-76.91,12.98,-4.6987,14.0,,14,-33.56,0,,0,
HR20=70 CV<==0.8,40,16,24,7,9,0,43.75,23.1,66.82,-14.62,-64.2,33.96,-2.3396,16.0,,16,-14.62,0,,0,
HR20=70 CV<==0.9,50,17,33,8,9,0,47.06,26.16,69.04,-9.56,-57.6,36.78,-1.6253,17.0,,17,-9.56,0,,0,
HR20=70 CV<==1.0,54,19,35,9,10,0,47.37,27.33,68.29,-10.42,-50.8,35.62,-1.9802,19.0,,19,-10.42,0,,0,
HR20=70 CV<==1.1,54,19,35,9,10,0,47.37,27.33,68.29,-10.42,-50.8,35.62,-1.9802,19.0,,19,-10.42,0,,0,
HR20=65 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.6,18,6,12,2,4,0,33.33,9.68,70.0,-34.68,-100.0,32.32,-2.0809,6.0,,6,-34.68,0,,0,
HR20=65 CV<==0.7,33,14,19,5,9,0,35.71,16.34,61.24,-33.56,-76.91,12.98,-4.6987,14.0,,14,-33.56,0,,0,
HR20=65 CV<==0.8,49,16,33,7,9,0,43.75,23.1,66.82,-14.62,-64.2,33.96,-2.3396,16.0,,16,-14.62,0,,0,
HR20=65 CV<==0.9,76,23,53,12,11,0,52.17,32.96,70.76,0.72,-38.17,40.35,0.1652,23.0,0.2055,23,0.72,0,,0,
HR20=65 CV<==1.0,127,42,85,21,21,0,50.0,35.53,64.47,-3.05,-31.61,29.38,-1.282,42.0,0.1582,42,-3.05,0,,0,
HR20=65 CV<==1.1,151,42,109,21,21,0,50.0,35.53,64.47,-3.05,-31.61,29.38,-1.282,42.0,0.1582,42,-3.05,0,,0,
HR20=60 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
