combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,1,1,0,1,0,0,100.0,20.65,100.0,50.0,50.0,50.0,0.5,1.0,,0,,1,50.0,0,
HR20=90 CV<==0.6,11,10,1,5,5,0,50.0,23.66,76.34,-29.1,-72.11,13.51,-2.9095,10.0,,0,,10,-29.1,0,
HR20=90 CV<==0.7,22,20,2,13,7,0,65.0,43.29,81.88,-9.78,-44.19,18.23,-1.9565,20.0,,0,,20,-9.78,0,
HR20=90 CV<==0.8,33,31,2,20,11,0,64.52,46.95,78.88,-1.27,-27.78,24.32,-0.3945,31.0,,11,14.2,20,-9.78,0,
HR20=90 CV<==0.9,33,31,2,20,11,0,64.52,46.95,78.88,-1.27,-27.78,24.32,-0.3945,31.0,,11,14.2,20,-9.78,0,
HR20=90 CV<==1.0,41,39,2,25,14,0,64.1,48.42,77.26,-0.28,-24.28,24.75,-0.1087,39.0,,15,10.51,24,-7.02,0,
HR20=90 CV<==1.1,41,39,2,25,14,0,64.1,48.42,77.26,-0.28,-24.28,24.75,-0.1087,39.0,,15,10.51,24,-7.02,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,50.0,50.0,50.0,1.0,2.0,,0,,2,50.0,0,
HR20=85 CV<==0.6,12,11,1,6,5,0,54.55,28.01,78.73,-21.9,-61.68,18.22,-2.4095,11.0,,0,,11,-21.9,0,
HR20=85 CV<==0.7,36,31,5,20,11,0,64.52,46.95,78.88,-8.95,-32.07,14.22,-2.7739,31.0,,3,0.88,28,-10.0,0,
HR20=85 CV<==0.8,50,45,5,28,17,0,62.22,47.63,74.89,-6.03,-28.49,16.85,-2.7119,45.0,,15,3.92,30,-11.0,0,
HR20=85 CV<==0.9,58,51,7,32,19,0,62.75,49.02,74.68,-5.73,-25.86,13.71,-2.9236,51.0,0.2592,15,3.92,36,-9.76,0,
HR20=85 CV<==1.0,66,59,7,37,22,0,62.71,49.95,73.92,-4.47,-23.28,14.79,-2.6378,59.0,0.2724,19,3.17,40,-8.1,0,
HR20=85 CV<==1.1,68,59,9,37,22,0,62.71,49.95,73.92,-4.47,-23.28,14.79,-2.6378,59.0,0.2724,19,3.17,40,-8.1,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,4,4,0,3,1,0,75.0,30.06,95.44,28.75,-62.5,98.75,1.15,4.0,,2,7.5,2,50.0,0,
HR20=80 CV<==0.6,21,20,1,12,8,0,60.0,38.66,78.12,-3.47,-41.37,33.13,-0.694,20.0,,6,2.92,14,-6.21,0,
HR20=80 CV<==0.7,51,46,5,28,18,0,60.87,46.46,73.61,-8.11,-29.11,12.35,-3.732,46.0,,14,-10.52,32,-7.06,0,
HR20=80 CV<==0.8,124,109,15,67,42,0,61.47,52.09,70.07,-1.94,-18.33,12.98,-2.1173,109.0,0.2892,51,0.16,58,-3.79,0,
HR20=80 CV<==0.9,144,126,18,78,48,0,61.9,53.19,69.91,-1.54,-14.21,11.78,-1.9414,126.0,0.3009,57,-0.31,69,-2.56,0,
HR20=80 CV<==1.0,168,150,18,94,56,0,62.67,54.7,70.0,-0.38,-13.17,12.2,-0.5775,150.0,0.3255,70,-0.69,80,-0.11,0,
HR20=80 CV<==1.1,198,169,29,105,64,0,62.13,54.62,69.1,-1.13,-13.58,10.67,-1.908,169.0,0.3139,81,-2.81,88,0.42,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,4,4,0,3,1,0,75.0,30.06,95.44,28.75,-62.5,98.75,1.15,4.0,,2,7.5,2,50.0,0,
HR20=75 CV<==0.6,29,28,1,17,11,0,60.71,42.41,76.43,0.36,-28.99,31.68,0.1012,28.0,,14,6.93,14,-6.21,0,
HR20=75 CV<==0.7,89,79,10,45,34,0,56.96,45.97,67.31,-8.16,-25.64,12.25,-6.4477,79.0,0.1664,43,-3.77,36,-13.4,0,
HR20=75 CV<==0.8,209,185,24,108,77,0,58.38,51.18,65.24,-3.83,-15.96,7.81,-7.0864,185.0,0.2423,112,-2.87,73,-5.31,0,
HR20=75 CV<==0.9,254,225,29,131,94,0,58.22,51.69,64.48,-3.47,-14.28,8.46,-7.8179,225.0,0.2494,135,-2.11,90,-5.52,0,
HR20=75 CV<==1.0,310,279,31,162,117,0,58.06,52.2,63.71,-4.15,-13.83,5.47,-11.5876,279.0,0.2482,169,-3.85,110,-4.62,0,
HR20=75 CV<==1.1,367,323,44,188,135,0,58.2,52.76,63.46,-4.98,-14.44,3.79,-16.0743,323.0,0.2477,188,-5.41,135,-4.37,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,6,6,0,4,2,0,66.67,30.0,90.32,11.81,-50.0,72.64,0.7087,6.0,,4,-7.28,2,50.0,0,
HR20=70 CV<==0.6,40,39,1,23,16,0,58.97,43.42,72.92,0.83,-25.92,27.45,0.3221,39.0,,24,2.77,15,-2.28,0,
HR20=70 CV<==0.7,138,122,16,66,56,0,54.1,45.27,62.68,-9.6,-26.02,6.01,-11.7175,122.0,0.1223,74,-3.22,48,-19.45,0,
HR20=70 CV<==0.8,310,271,39,152,119,0,56.09,50.14,61.87,-5.73,-15.87,4.29,-15.5336,271.0,0.2066,169,-2.83,102,-10.54,0,
HR20=70 CV<==0.9,404,354,50,200,154,0,56.5,51.29,61.56,-5.42,-14.45,3.99,-19.1883,354.0,0.2264,217,-2.49,137,-10.06,0,
HR20=70 CV<==1.0,514,457,57,258,199,0,56.46,51.87,60.93,-5.09,-13.26,3.03,-23.2517,457.0,0.2436,289,-3.48,168,-7.85,0,
HR20=70 CV<==1.1,664,584,80,327,257,0,55.99,51.94,59.97,-6.17,-13.08,0.47,-36.0499,584.0,0.2446,368,-4.45,216,-9.1,0,
HR20=65 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,6,6,0,4,2,0,66.67,30.0,90.32,11.81,-50.0,72.64,0.7087,6.0,,4,-7.28,2,50.0,0,
HR20=65 CV<==0.6,50,49,1,28,21,0,57.14,43.27,69.98,-1.58,-26.0,24.18,-0.774,49.0,,34,-1.27,15,-2.28,0,
HR20=65 CV<==0.7,157,139,18,75,64,0,53.96,45.68,62.03,-9.03,-23.66,4.9,-12.5505,139.0,0.1286,91,-3.53,48,-19.45,0,
HR20=65 CV<==0.8,355,310,45,173,137,0,55.81,50.24,61.23,-6.16,-16.12,3.68,-19.1001,310.0,0.2043,201,-4.32,109,-9.56,0,
HR20=65 CV<==0.9,569,489,80,268,221,0,54.81,50.37,59.16,-6.41,-14.35,1.5,-31.3685,489.0,0.2142,334,-4.35,155,-10.87,0,
HR20=65 CV<==1.0,745,656,89,360,296,0,54.88,51.05,58.65,-5.67,-12.41,0.88,-37.1913,656.0,0.2458,454,-4.35,202,-8.63,0,
HR20=65 CV<==1.1,954,832,122,456,376,0,54.81,51.41,58.16,-6.28,-12.41,-0.07,-52.287,832.0,0.2634,563,-4.54,269,-9.93,0,
HR20=60 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=60 CV<==0.5,6,6,0,4,2,0,66.67,30.0,90.32,11.81,-50.0,72.64,0.7087,6.0,,4,-7.28,2,50.0,0,
HR20=60 CV<==0.6,52,51,1,29,22,0,56.86,43.27,69.5,-1.84,-24.95,20.76,-0.9407,51.0,0.2245,36,-1.66,15,-2.28,0,
HR20=60 CV<==0.7,171,150,21,80,70,0,53.33,45.37,61.13,-9.78,-22.61,4.35,-14.6646,150.0,0.1147,102,-5.23,48,-19.45,0,
HR20=60 CV<==0.8,409,352,57,194,158,0,55.11,49.89,60.23,-6.35,-15.08,3.54,-22.3462,352.0,0.1995,241,-4.74,111,-9.84,0,
HR20=60 CV<==0.9,659,561,98,303,258,0,54.01,49.87,58.09,-7.11,-14.29,0.79,-39.8749,561.0,0.2073,401,-4.87,160,-12.72,0,
HR20=60 CV<==1.0,938,809,129,433,376,0,53.52,50.08,56.94,-6.86,-13.22,-1.28,-55.5344,809.0,0.2382,591,-5.01,218,-11.91,0,
