combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,1,1,0,1,0,0,100.0,20.65,100.0,21.05,21.05,21.05,0.2105,1.0,,0,,1,21.05,0,
HR20=90 CV<==0.7,3,3,0,3,0,0,100.0,43.85,100.0,29.24,21.05,33.33,0.8772,3.0,,0,,3,29.24,0,
HR20=90 CV<==0.8,3,3,0,3,0,0,100.0,43.85,100.0,29.24,21.05,33.33,0.8772,3.0,,0,,3,29.24,0,
HR20=90 CV<==0.9,3,3,0,3,0,0,100.0,43.85,100.0,29.24,21.05,33.33,0.8772,3.0,,0,,3,29.24,0,
HR20=90 CV<==1.0,3,3,0,3,0,0,100.0,43.85,100.0,29.24,21.05,33.33,0.8772,3.0,,0,,3,29.24,0,
HR20=90 CV<==1.1,3,3,0,3,0,0,100.0,43.85,100.0,29.24,21.05,33.33,0.8772,3.0,,0,,3,29.24,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,31.82,30.3,33.33,0.6364,2.0,,0,,2,31.82,0,
HR20=85 CV<==0.6,3,3,0,3,0,0,100.0,43.85,100.0,28.23,21.05,33.33,0.8469,3.0,,0,,3,28.23,0,
HR20=85 CV<==0.7,5,5,0,5,0,0,100.0,56.55,100.0,30.27,25.36,33.33,1.5136,5.0,,0,,5,30.27,0,
HR20=85 CV<==0.8,7,7,0,6,1,0,85.71,48.69,97.43,11.42,-26.68,32.22,0.7993,7.0,,0,,7,11.42,0,
HR20=85 CV<==0.9,7,7,0,6,1,0,85.71,48.69,97.43,11.42,-26.68,32.22,0.7993,7.0,,0,,7,11.42,0,
HR20=85 CV<==1.0,7,7,0,6,1,0,85.71,48.69,97.43,11.42,-26.68,32.22,0.7993,7.0,,0,,7,11.42,0,
HR20=85 CV<==1.1,7,7,0,6,1,0,85.71,48.69,97.43,11.42,-26.68,32.22,0.7993,7.0,,0,,7,11.42,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,31.82,30.3,33.33,0.6364,2.0,,0,,2,31.82,0,
HR20=80 CV<==0.6,3,3,0,3,0,0,100.0,43.85,100.0,28.23,21.05,33.33,0.8469,3.0,,0,,3,28.23,0,
HR20=80 CV<==0.7,16,8,8,7,1,0,87.5,52.91,97.76,14.3,-19.04,32.5,1.1438,8.0,,0,,8,14.3,0,
HR20=80 CV<==0.8,19,10,9,8,2,0,80.0,49.02,94.33,4.3,-34.7,31.01,0.4295,10.0,,0,,10,4.3,0,
HR20=80 CV<==0.9,19,10,9,8,2,0,80.0,49.02,94.33,4.3,-34.7,31.01,0.4295,10.0,,0,,10,4.3,0,
HR20=80 CV<==1.0,19,10,9,8,2,0,80.0,49.02,94.33,4.3,-34.7,31.01,0.4295,10.0,,0,,10,4.3,0,
HR20=80 CV<==1.1,19,10,9,8,2,0,80.0,49.02,94.33,4.3,-34.7,31.01,0.4295,10.0,,0,,10,4.3,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,31.82,30.3,33.33,0.6364,2.0,,0,,2,31.82,0,
HR20=75 CV<==0.6,3,3,0,3,0,0,100.0,43.85,100.0,28.23,21.05,33.33,0.8469,3.0,,0,,3,28.23,0,
HR20=75 CV<==0.7,16,8,8,7,1,0,87.5,52.91,97.76,14.3,-19.04,32.5,1.1438,8.0,,0,,8,14.3,0,
HR20=75 CV<==0.8,23,13,10,10,3,0,76.92,49.74,91.82,0.07,-30.82,29.09,0.0094,13.0,,0,,13,0.07,0,
HR20=75 CV<==0.9,27,14,13,11,3,0,78.57,52.41,92.43,1.65,-34.19,22.64,0.2316,14.0,,0,,14,1.65,0,
HR20=75 CV<==1.0,27,14,13,11,3,0,78.57,52.41,92.43,1.65,-34.19,22.64,0.2316,14.0,,0,,14,1.65,0,
HR20=75 CV<==1.1,27,14,13,11,3,0,78.57,52.41,92.43,1.65,-34.19,22.64,0.2316,14.0,,0,,14,1.65,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,31.82,30.3,33.33,0.6364,2.0,,0,,2,31.82,0,
HR20=70 CV<==0.6,3,3,0,3,0,0,100.0,43.85,100.0,28.23,21.05,33.33,0.8469,3.0,,0,,3,28.23,0,
HR20=70 CV<==0.7,16,8,8,7,1,0,87.5,52.91,97.76,14.3,-19.04,32.5,1.1438,8.0,,0,,8,14.3,0,
HR20=70 CV<==0.8,25,15,10,11,4,0,73.33,48.05,89.1,-4.55,-38.31,22.0,-0.6829,15.0,,0,,15,-4.55,0,
HR20=70 CV<==0.9,30,17,13,13,4,0,76.47,52.74,90.45,-1.47,-30.74,21.56,-0.2502,17.0,,0,,17,-1.47,0,
HR20=70 CV<==1.0,31,18,13,14,4,0,77.78,54.78,91.0,0.32,-27.31,22.55,0.0575,18.0,,0,,18,0.32,0,
HR20=70 CV<==1.1,33,19,14,14,5,0,73.68,51.21,88.19,-4.96,-32.06,16.77,-0.9425,19.0,,0,,19,-4.96,0,
HR20=65 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,2,2,0,2,0,0,100.0,34.24,100.0,31.82,30.3,33.33,0.6364,2.0,,0,,2,31.82,0,
HR20=65 CV<==0.6,3,3,0,3,0,0,100.0,43.85,100.0,28.23,21.05,33.33,0.8469,3.0,,0,,3,28.23,0,
HR20=65 CV<==0.7,16,8,8,7,1,0,87.5,52.91,97.76,14.3,-19.04,32.5,1.1438,8.0,,0,,8,14.3,0,
