combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,102,49,53,48,1,0,97.96,89.31,99.64,6.55,1.35,10.23,3.2096,49.0,0.9155,0,,49,6.55,0,
HR20=90 CV<==0.5,150,67,83,66,1,0,98.51,92.02,99.74,5.94,2.15,8.75,3.9776,67.0,0.9094,0,,67,5.94,0,
HR20=90 CV<==0.6,176,74,102,73,1,0,98.65,92.73,99.76,6.36,2.51,9.11,4.7065,74.0,0.9136,0,,74,6.36,0,
HR20=90 CV<==0.7,180,74,106,73,1,0,98.65,92.73,99.76,6.36,2.51,9.11,4.7065,74.0,0.9136,0,,74,6.36,0,
HR20=90 CV<==0.8,180,74,106,73,1,0,98.65,92.73,99.76,6.36,2.51,9.11,4.7065,74.0,0.9136,0,,74,6.36,0,
HR20=90 CV<==0.9,180,74,106,73,1,0,98.65,92.73,99.76,6.36,2.51,9.11,4.7065,74.0,0.9136,0,,74,6.36,0,
HR20=90 CV<==1.0,180,74,106,73,1,0,98.65,92.73,99.76,6.36,2.51,9.11,4.7065,74.0,0.9136,0,,74,6.36,0,
HR20=90 CV<==1.1,180,74,106,73,1,0,98.65,92.73,99.76,6.36,2.51,9.11,4.7065,74.0,0.9136,0,,74,6.36,0,
HR20=85 CV<==0.4,113,54,59,52,2,0,96.3,87.46,98.98,5.14,-1.33,10.15,2.7756,54.0,0.9014,0,,54,5.14,0,
HR20=85 CV<==0.5,170,77,93,74,3,0,96.1,89.16,98.67,3.64,-1.2,8.09,2.8011,77.0,0.8864,0,,77,3.64,0,
HR20=85 CV<==0.6,201,84,117,81,3,0,96.43,90.02,98.78,4.2,-0.44,8.27,3.53,84.0,0.892,0,,84,4.2,0,
HR20=85 CV<==0.7,209,84,125,81,3,0,96.43,90.02,98.78,4.2,-0.44,8.27,3.53,84.0,0.892,0,,84,4.2,0,
HR20=85 CV<==0.8,209,84,125,81,3,0,96.43,90.02,98.78,4.2,-0.44,8.27,3.53,84.0,0.892,0,,84,4.2,0,
HR20=85 CV<==0.9,209,84,125,81,3,0,96.43,90.02,98.78,4.2,-0.44,8.27,3.53,84.0,0.892,0,,84,4.2,0,
HR20=85 CV<==1.0,209,84,125,81,3,0,96.43,90.02,98.78,4.2,-0.44,8.27,3.53,84.0,0.892,0,,84,4.2,0,
HR20=85 CV<==1.1,209,84,125,81,3,0,96.43,90.02,98.78,4.2,-0.44,8.27,3.53,84.0,0.892,0,,84,4.2,0,
HR20=80 CV<==0.4,145,62,83,60,2,0,96.77,88.98,99.11,6.37,0.68,10.95,3.9473,62.0,0.9137,0,,62,6.37,0,
HR20=80 CV<==0.5,235,95,140,91,4,0,95.79,89.67,98.35,4.2,-0.58,8.22,3.9936,95.0,0.892,0,,95,4.2,0,
HR20=80 CV<==0.6,275,102,173,98,4,0,96.08,90.35,98.46,4.63,-0.49,8.47,4.7226,102.0,0.8963,0,,102,4.63,0,
HR20=80 CV<==0.7,293,102,191,98,4,0,96.08,90.35,98.46,4.63,-0.49,8.47,4.7226,102.0,0.8963,0,,102,4.63,0,
HR20=80 CV<==0.8,295,102,193,98,4,0,96.08,90.35,98.46,4.63,-0.49,8.47,4.7226,102.0,0.8963,0,,102,4.63,0,
HR20=80 CV<==0.9,295,102,193,98,4,0,96.08,90.35,98.46,4.63,-0.49,8.47,4.7226,102.0,0.8963,0,,102,4.63,0,
HR20=80 CV<==1.0,295,102,193,98,4,0,96.08,90.35,98.46,4.63,-0.49,8.47,4.7226,102.0,0.8963,0,,102,4.63,0,
HR20=80 CV<==1.1,295,102,193,98,4,0,96.08,90.35,98.46,4.63,-0.49,8.47,4.7226,102.0,0.8963,0,,102,4.63,0,
HR20=75 CV<==0.4,155,63,92,61,2,0,96.83,89.14,99.13,6.64,1.16,11.11,4.1826,63.0,0.9164,0,,63,6.64,0,
HR20=75 CV<==0.5,263,100,163,95,5,0,95.0,88.82,97.85,3.96,-0.9,8.41,3.9622,100.0,0.8896,0,,100,3.96,0,
HR20=75 CV<==0.6,310,107,203,102,5,0,95.33,89.52,97.99,4.38,-0.55,8.67,4.6912,107.0,0.8938,0,,107,4.38,0,
HR20=75 CV<==0.7,334,107,227,102,5,0,95.33,89.52,97.99,4.38,-0.55,8.67,4.6912,107.0,0.8938,0,,107,4.38,0,
HR20=75 CV<==0.8,339,107,232,102,5,0,95.33,89.52,97.99,4.38,-0.55,8.67,4.6912,107.0,0.8938,0,,107,4.38,0,
HR20=75 CV<==0.9,340,107,233,102,5,0,95.33,89.52,97.99,4.38,-0.55,8.67,4.6912,107.0,0.8938,0,,107,4.38,0,
HR20=75 CV<==1.0,340,107,233,102,5,0,95.33,89.52,97.99,4.38,-0.55,8.67,4.6912,107.0,0.8938,0,,107,4.38,0,
HR20=75 CV<==1.1,340,107,233,102,5,0,95.33,89.52,97.99,4.38,-0.55,8.67,4.6912,107.0,0.8938,0,,107,4.38,0,
HR20=70 CV<==0.4,165,66,99,63,3,0,95.45,87.47,98.44,5.5,-0.71,10.39,3.6283,66.0,0.905,0,,66,5.5,0,
HR20=70 CV<==0.5,289,107,182,100,7,0,93.46,87.11,96.8,2.91,-2.89,7.28,3.1147,107.0,0.8791,0,,107,2.91,0,
HR20=70 CV<==0.6,347,115,232,108,7,0,93.91,87.97,97.02,3.59,-1.4,8.29,4.1294,115.0,0.8859,0,,115,3.59,0,
HR20=70 CV<==0.7,375,115,260,108,7,0,93.91,87.97,97.02,3.59,-1.4,8.29,4.1294,115.0,0.8859,0,,115,3.59,0,
HR20=70 CV<==0.8,387,115,272,108,7,0,93.91,87.97,97.02,3.59,-1.4,8.29,4.1294,115.0,0.8859,0,,115,3.59,0,
HR20=70 CV<==0.9,389,115,274,108,7,0,93.91,87.97,97.02,3.59,-1.4,8.29,4.1294,115.0,0.8859,0,,115,3.59,0,
HR20=70 CV<==1.0,389,115,274,108,7,0,93.91,87.97,97.02,3.59,-1.4,8.29,4.1294,115.0,0.8859,0,,115,3.59,0,
HR20=70 CV<==1.1,389,115,274,108,7,0,93.91,87.97,97.02,3.59,-1.4,8.29,4.1294,115.0,0.8859,0,,115,3.59,0,
