combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.7,2,1,1,1,0,0,100.0,20.65,100.0,23.98,23.98,23.98,0.2398,1.0,,0,,1,23.98,0,
HR20=90 CV<==0.8,2,1,1,1,0,0,100.0,20.65,100.0,23.98,23.98,23.98,0.2398,1.0,,0,,1,23.98,0,
HR20=90 CV<==0.9,2,1,1,1,0,0,100.0,20.65,100.0,23.98,23.98,23.98,0.2398,1.0,,0,,1,23.98,0,
HR20=90 CV<==1.0,2,1,1,1,0,0,100.0,20.65,100.0,23.98,23.98,23.98,0.2398,1.0,,0,,1,23.98,0,
HR20=90 CV<==1.1,2,1,1,1,0,0,100.0,20.65,100.0,23.98,23.98,23.98,0.2398,1.0,,0,,1,23.98,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.6,2,1,1,1,0,0,100.0,20.65,100.0,30.03,30.03,30.03,0.3003,1.0,,0,,1,30.03,0,
HR20=85 CV<==0.7,4,3,1,3,0,0,100.0,43.85,100.0,27.53,23.98,30.03,0.8258,3.0,,0,,3,27.53,0,
HR20=85 CV<==0.8,5,4,1,3,1,0,75.0,30.06,95.44,-4.35,-67.86,29.3,-0.1742,4.0,,0,,4,-4.35,0,
HR20=85 CV<==0.9,5,4,1,3,1,0,75.0,30.06,95.44,-4.35,-67.86,29.3,-0.1742,4.0,,0,,4,-4.35,0,
HR20=85 CV<==1.0,5,4,1,3,1,0,75.0,30.06,95.44,-4.35,-67.86,29.3,-0.1742,4.0,,0,,4,-4.35,0,
HR20=85 CV<==1.1,5,4,1,3,1,0,75.0,30.06,95.44,-4.35,-67.86,29.3,-0.1742,4.0,,0,,4,-4.35,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.6,2,1,1,1,0,0,100.0,20.65,100.0,30.03,30.03,30.03,0.3003,1.0,,0,,1,30.03,0,
HR20=80 CV<==0.7,4,3,1,3,0,0,100.0,43.85,100.0,27.53,23.98,30.03,0.8258,3.0,,0,,3,27.53,0,
HR20=80 CV<==0.8,7,6,1,5,1,0,83.33,43.65,96.99,7.81,-36.08,31.05,0.4688,6.0,,0,,6,7.81,0,
HR20=80 CV<==0.9,7,6,1,5,1,0,83.33,43.65,96.99,7.81,-36.08,31.05,0.4688,6.0,,0,,6,7.81,0,
HR20=80 CV<==1.0,20,8,12,6,2,0,75.0,40.93,92.85,-2.79,-50.59,30.43,-0.2236,8.0,,0,,8,-2.79,0,
HR20=80 CV<==1.1,21,9,12,6,3,0,66.67,35.42,87.94,-13.6,-56.55,16.57,-1.2236,9.0,,0,,9,-13.6,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.6,2,1,1,1,0,0,100.0,20.65,100.0,30.03,30.03,30.03,0.3003,1.0,,0,,1,30.03,0,
HR20=75 CV<==0.7,4,3,1,3,0,0,100.0,43.85,100.0,27.53,23.98,30.03,0.8258,3.0,,0,,3,27.53,0,
HR20=75 CV<==0.8,8,6,2,5,1,0,83.33,43.65,96.99,7.81,-36.08,31.05,0.4688,6.0,,0,,6,7.81,0,
HR20=75 CV<==0.9,10,8,2,6,2,0,75.0,40.93,92.85,-3.02,-50.89,29.85,-0.2414,8.0,,0,,8,-3.02,0,
HR20=75 CV<==1.0,25,10,15,7,3,0,70.0,39.68,89.22,-9.34,-48.37,28.88,-0.9337,10.0,,0,,10,-9.34,0,
HR20=75 CV<==1.1,27,12,15,8,4,0,66.67,39.06,86.19,-14.12,-47.39,18.24,-1.6939,12.0,,0,,12,-14.12,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.6,2,1,1,1,0,0,100.0,20.65,100.0,30.03,30.03,30.03,0.3003,1.0,,0,,1,30.03,0,
HR20=70 CV<==0.7,4,3,1,3,0,0,100.0,43.85,100.0,27.53,23.98,30.03,0.8258,3.0,,0,,3,27.53,0,
HR20=70 CV<==0.8,8,6,2,5,1,0,83.33,43.65,96.99,7.81,-36.08,31.05,0.4688,6.0,,0,,6,7.81,0,
HR20=70 CV<==0.9,10,8,2,6,2,0,75.0,40.93,92.85,-3.02,-50.89,29.85,-0.2414,8.0,,0,,8,-3.02,0,
HR20=70 CV<==1.0,26,11,15,7,4,0,63.64,35.38,84.83,-17.58,-53.49,18.17,-1.9337,11.0,,0,,11,-17.58,0,
HR20=70 CV<==1.1,36,16,20,10,6,0,62.5,38.64,81.52,-19.77,-52.23,11.81,-3.164,16.0,,0,,16,-19.77,0,
HR20=65 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.6,2,1,1,1,0,0,100.0,20.65,100.0,30.03,30.03,30.03,0.3003,1.0,,0,,1,30.03,0,
HR20=65 CV<==0.7,4,3,1,3,0,0,100.0,43.85,100.0,27.53,23.98,30.03,0.8258,3.0,,0,,3,27.53,0,
HR20=65 CV<==0.8,8,6,2,5,1,0,83.33,43.65,96.99,7.81,-36.08,31.05,0.4688,6.0,,0,,6,7.81,0,
HR20=65 CV<==0.9,10,8,2,6,2,0,75.0,40.93,92.85,-3.02,-50.89,29.85,-0.2414,8.0,,0,,8,-3.02,0,
