combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,7,0,7,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,9,0,9,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,16,0,16,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.7,23,1,22,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=90 CV<==0.8,24,1,23,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=90 CV<==0.9,26,1,25,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=90 CV<==1.0,26,1,25,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=90 CV<==1.1,26,1,25,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.4,7,0,7,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,9,0,9,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.6,27,0,27,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.7,36,1,35,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.8,42,1,41,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.9,44,1,43,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==1.0,45,1,44,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==1.1,45,1,44,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=80 CV<==0.4,7,0,7,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,10,0,10,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.6,36,0,36,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.7,67,2,65,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=80 CV<==0.8,93,2,91,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=80 CV<==0.9,118,2,116,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=80 CV<==1.0,125,2,123,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=80 CV<==1.1,127,2,125,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=75 CV<==0.4,7,0,7,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,10,0,10,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.6,42,0,42,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.7,95,2,93,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=75 CV<==0.8,142,2,140,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=75 CV<==0.9,198,2,196,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=75 CV<==1.0,211,2,209,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=75 CV<==1.1,222,2,220,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=70 CV<==0.4,7,0,7,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,15,0,15,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.6,56,0,56,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.7,141,2,139,1,1,0,50.0,9.45,90.55,43.0,-100.0,186.0,0.86,2.0,,2,43.0,0,,0,
HR20=70 CV<==0.8,223,3,220,1,2,0,33.33,6.15,79.23,-4.67,-100.0,186.0,-0.14,3.0,,3,-4.67,0,,0,
HR20=70 CV<==0.9,310,3,307,1,2,0,33.33,6.15,79.23,-4.67,-100.0,186.0,-0.14,3.0,,3,-4.67,0,,0,
HR20=70 CV<==1.0,347,3,344,1,2,0,33.33,6.15,79.23,-4.67,-100.0,186.0,-0.14,3.0,,3,-4.67,0,,0,
HR20=70 CV<==1.1,382,3,379,1,2,0,33.33,6.15,79.23,-4.67,-100.0,186.0,-0.14,3.0,,3,-4.67,0,,0,
HR20=65 CV<==0.4,7,0,7,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,15,0,15,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.6,56,0,56,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.7,174,3,171,1,2,0,33.33,6.15,79.23,-4.67,-100.0,186.0,-0.14,3.0,,3,-4.67,0,,0,
HR20=65 CV<==0.8,283,4,279,1,3,0,25.0,4.56,69.94,-28.5,-100.0,114.5,-1.14,4.0,,4,-28.5,0,,0,
HR20=65 CV<==0.9,396,5,391,2,3,0,40.0,11.76,76.93,8.2,-100.0,122.6,0.41,5.0,,5,8.2,0,,0,
