combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.7,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.8,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.9,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.0,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.1,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.4,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.5,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.6,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.7,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.8,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==0.9,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==1.0,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=85 CV<==1.1,4,1,3,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,,1,-100.0,0,,0,
HR20=80 CV<==0.4,7,2,5,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,,2,82.5,0,,0,
HR20=80 CV<==0.5,7,2,5,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,,2,82.5,0,,0,
HR20=80 CV<==0.6,7,2,5,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,,2,82.5,0,,0,
HR20=80 CV<==0.7,7,2,5,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,,2,82.5,0,,0,
HR20=80 CV<==0.8,7,2,5,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,,2,82.5,0,,0,
HR20=80 CV<==0.9,7,2,5,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,,2,82.5,0,,0,
HR20=80 CV<==1.0,7,2,5,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,,2,82.5,0,,0,
