family,side,band,month,n,gr,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
batter_strikeouts,OVER,"[-299,-200]",2026-05,617,528,65.91,-6.21,-11.98,-0.45,-32.811,0.231,13
batter_strikeouts,OVER,"[-299,-200]",2025-06,97,78,66.67,-4.43,-19.55,10.69,-3.453,0.429,21
batter_strikeouts,OVER,"[-199,-150]",2026-05,595,513,59.26,-6.15,-12.9,0.59,-31.57,0.154,13
batter_strikeouts,OVER,"[-199,-150]",2025-06,58,47,55.32,-12.37,-35.15,10.42,-5.812,0.526,19
batter_strikeouts,OVER,"[-149,-110]",2026-05,455,388,51.55,-8.0,-16.9,0.9,-31.045,0.385,13
batter_strikeouts,OVER,"[-149,-110]",2025-06,64,56,50.0,-9.8,-33.68,14.07,-5.49,0.458,24
batter_strikeouts,OVER,"[-109,+100]",2026-05,101,85,51.76,1.73,-19.27,22.74,1.472,0.615,13
batter_strikeouts,OVER,"[-109,+100]",2025-06,12,11,18.18,-64.5,-111.18,-17.83,-7.095,0.182,11
batter_strikeouts,OVER,"[+101,+200]",2026-05,332,288,37.5,-16.98,-29.42,-4.54,-48.9,0.154,13
batter_strikeouts,OVER,"[+101,+200]",2025-06,25,21,33.33,-26.9,-72.28,18.47,-5.65,0.417,12
earned_runs,OVER,"[-299,-200]",2026-05,80,75,69.33,-3.03,-17.75,11.68,-2.276,0.571,14
earned_runs,OVER,"[-299,-200]",2025-06,236,233,63.09,-10.88,-19.67,-2.1,-25.353,0.37,27
earned_runs,OVER,"[-199,-150]",2026-05,54,44,50.0,-19.96,-43.9,3.98,-8.781,0.357,14
earned_runs,OVER,"[-199,-150]",2025-06,129,127,57.48,-9.25,-22.89,4.4,-11.742,0.407,27
earned_runs,OVER,"[-149,-110]",2026-05,94,85,32.94,-40.82,-58.9,-22.73,-34.693,0.0,14
earned_runs,OVER,"[-149,-110]",2025-06,161,157,50.32,-9.8,-23.89,4.29,-15.39,0.407,27
earned_runs,OVER,"[-109,+100]",2026-05,45,35,62.86,23.39,-8.51,55.28,8.186,0.615,13
earned_runs,OVER,"[-109,+100]",2025-06,66,65,40.0,-21.34,-44.94,2.27,-13.869,0.333,24
earned_runs,OVER,"[+101,+200]",2026-05,149,124,37.1,-17.24,-36.33,1.85,-21.38,0.385,13
earned_runs,OVER,"[+101,+200]",2025-06,282,278,38.85,-13.15,-26.02,-0.29,-36.57,0.333,27
earned_runs,UNDER,"[-299,-200]",2025-06,13,12,66.67,-5.09,-44.78,34.61,-0.61,0.333,6
earned_runs,UNDER,"[-199,-150]",2026-05,46,41,53.66,-12.84,-37.95,12.27,-5.265,0.357,14
earned_runs,UNDER,"[-199,-150]",2025-06,106,106,59.43,-4.3,-19.44,10.84,-4.555,0.462,26
earned_runs,UNDER,"[-149,-110]",2026-05,116,103,53.4,-3.94,-21.39,13.51,-4.058,0.429,14
earned_runs,UNDER,"[-149,-110]",2025-06,211,207,57.49,2.58,-9.49,14.64,5.331,0.538,26
earned_runs,UNDER,"[-109,+100]",2026-05,20,13,61.54,21.17,-33.04,75.37,2.751,0.625,8
earned_runs,UNDER,"[-109,+100]",2025-06,56,56,55.36,9.35,-16.6,35.31,5.238,0.6,25
earned_runs,UNDER,"[+101,+200]",2026-05,98,84,66.67,44.05,22.08,66.02,37.0,0.929,14
earned_runs,UNDER,"[+101,+200]",2025-06,148,144,45.83,-0.49,-18.25,17.28,-0.7,0.556,27
hits,OVER,"[-299,-200]",2026-05,785,691,60.78,-12.2,-17.47,-6.93,-84.298,0.067,15
hits,OVER,"[-299,-200]",2025-06,8,8,62.5,-10.72,-61.97,40.53,-0.857,0.5,6
hits,OVER,"[-199,-150]",2026-05,1226,1010,58.61,-6.82,-11.66,-1.99,-68.903,0.267,15
hits,OVER,"[-199,-150]",2025-06,41,32,46.88,-25.25,-53.29,2.79,-8.08,0.444,9
hits,OVER,"[-149,-110]",2026-05,793,632,52.53,-6.98,-13.89,-0.07,-44.13,0.333,15
hits,OVER,"[-149,-110]",2025-06,35,28,42.86,-24.07,-57.19,9.06,-6.739,0.3,10
