family,side,band,cfg,may_n,may_gr,may_ROI,may_CI_lo,may_CI_hi,may_PnL,may_cons,jun_n,jun_gr,jun_ROI,jun_CI_lo,jun_CI_hi,jun_PnL,jun_cons,min_ROI,sum_PnL
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥-/TP≥65,319,270,3.43,-4.11,10.97,9.257,0.615,41,37,5.42,-15.57,26.4,2.004,0.556,3.43,11.261
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥0.0/TP≥65,319,270,3.43,-4.11,10.97,9.257,0.615,41,37,5.42,-15.57,26.4,2.004,0.556,3.43,11.261
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥-/TP≥65,350,297,2.68,-4.56,9.92,7.954,0.615,41,37,5.42,-15.57,26.4,2.004,0.556,2.68,9.958
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥0.0/TP≥65,350,297,2.68,-4.56,9.92,7.954,0.615,41,37,5.42,-15.57,26.4,2.004,0.556,2.68,9.958
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥-/TP≥50,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥-/TP≥55,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥-/TP≥-,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥0.0/TP≥-,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥0.0/TP≥50,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥0.0/TP≥55,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥-/TP≥60,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-5.0/CV≤-/μ≥0.0/TP≥60,323,274,2.45,-5.1,9.99,6.708,0.615,44,39,3.83,-16.9,24.55,1.492,0.579,2.45,8.2
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥0.0/TP≥55,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥-/TP≥55,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥-/TP≥60,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥0.0/TP≥60,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥-/TP≥50,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥0.0/TP≥-,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥0.0/TP≥50,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-5.0/CV≤-/μ≥-/TP≥-,355,302,1.46,-5.79,8.71,4.404,0.538,45,40,4.82,-15.47,25.11,1.927,0.579,1.46,6.331
batter_strikeouts,OVER,"[-299,-200]",HR≥50/EDG≥-5.0/CV≤-/μ≥-/TP≥65,377,315,1.37,-5.73,8.48,4.317,0.615,41,37,5.42,-15.57,26.4,2.004,0.556,1.37,6.321
batter_strikeouts,OVER,"[-299,-200]",HR≥50/EDG≥-5.0/CV≤-/μ≥0.0/TP≥65,377,315,1.37,-5.73,8.48,4.317,0.615,41,37,5.42,-15.57,26.4,2.004,0.556,1.37,6.321
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-/CV≤-/μ≥-/TP≥65,337,287,1.15,-6.28,8.58,3.313,0.538,49,43,3.61,-15.92,23.14,1.553,0.611,1.15,4.866
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-/CV≤-/μ≥0.0/TP≥65,337,287,1.15,-6.28,8.58,3.313,0.538,49,43,3.61,-15.92,23.14,1.553,0.611,1.15,4.866
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-/CV≤-/μ≥0.0/TP≥60,359,308,0.71,-6.48,7.91,2.194,0.462,62,51,1.01,-17.1,19.12,0.515,0.55,0.71,2.709
batter_strikeouts,OVER,"[-299,-200]",HR≥60/EDG≥-/CV≤-/μ≥-/TP≥60,359,308,0.71,-6.48,7.91,2.194,0.462,62,51,1.01,-17.1,19.12,0.515,0.55,0.71,2.709
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-/CV≤-/μ≥-/TP≥65,368,314,0.64,-6.5,7.78,2.009,0.462,49,43,3.61,-15.92,23.14,1.553,0.611,0.64,3.562
batter_strikeouts,OVER,"[-299,-200]",HR≥55/EDG≥-/CV≤-/μ≥0.0/TP≥65,368,314,0.64,-6.5,7.78,2.009,0.462,49,43,3.61,-15.92,23.14,1.553,0.611,0.64,3.562
