family,side,band,month,n,gr,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
batter_strikeouts,OVER,"[-1499,-1000]",2025-06,1,0,,,,,0,,0
batter_strikeouts,OVER,"[-999,-800]",2026-05,13,3,66.67,-25.75,-98.52,47.02,-0.772,0.5,2
batter_strikeouts,OVER,"[-799,-600]",2026-05,88,20,60.0,-31.21,-56.47,-5.95,-6.242,0.444,9
batter_strikeouts,OVER,"[-799,-600]",2025-06,3,0,,,,,0,,0
batter_strikeouts,OVER,"[-599,-500]",2026-05,170,40,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
batter_strikeouts,OVER,"[-599,-500]",2025-06,6,0,,,,,0,,0
batter_strikeouts,OVER,"[-499,-400]",2026-05,536,116,72.41,-11.11,-21.14,-1.08,-12.885,0.308,13
batter_strikeouts,OVER,"[-499,-400]",2025-06,10,0,,,,,0,,0
batter_strikeouts,OVER,"[-399,-300]",2026-05,1125,241,78.01,0.52,-6.24,7.28,1.253,0.462,13
batter_strikeouts,OVER,"[-399,-300]",2025-06,31,0,,,,,0,,0
earned_runs,OVER,"[-inf,-5000]",2025-06,1,0,,,,,0,,0
earned_runs,OVER,"[-4999,-3000]",2025-06,4,0,,,,,0,,0
earned_runs,OVER,"[-2999,-2000]",2025-06,8,0,,,,,0,,0
earned_runs,OVER,"[-1999,-1500]",2025-06,15,0,,,,,0,,0
earned_runs,OVER,"[-1499,-1000]",2026-05,54,8,75.0,-17.75,-52.93,17.43,-1.42,0.667,6
earned_runs,OVER,"[-1499,-1000]",2025-06,113,0,,,,,0,,0
earned_runs,OVER,"[-999,-800]",2026-05,111,15,46.67,-47.86,-77.06,-18.67,-7.18,0.444,9
earned_runs,OVER,"[-999,-800]",2025-06,80,0,,,,,0,,0
earned_runs,OVER,"[-799,-600]",2026-05,121,23,73.91,-14.87,-36.01,6.27,-3.42,0.714,7
earned_runs,OVER,"[-799,-600]",2025-06,120,0,,,,,0,,0
earned_runs,OVER,"[-599,-500]",2026-05,140,23,69.57,-17.35,-40.2,5.5,-3.99,0.545,11
earned_runs,OVER,"[-599,-500]",2025-06,54,0,,,,,0,,0
earned_runs,OVER,"[-499,-400]",2026-05,279,41,48.78,-40.03,-59.08,-20.98,-16.412,0.167,12
earned_runs,OVER,"[-499,-400]",2025-06,45,0,,,,,0,,0
earned_runs,OVER,"[-399,-300]",2026-05,483,83,67.47,-12.77,-25.89,0.34,-10.6,0.429,14
earned_runs,OVER,"[-399,-300]",2025-06,88,0,,,,,0,,0
hits,OVER,"[-499,-400]",2026-05,41,13,84.62,2.88,-21.94,27.7,0.374,0.667,3
hits,OVER,"[-399,-300]",2026-05,361,79,78.48,2.88,-9.08,14.84,2.278,0.6,10
hits,UNDER,"[-1499,-1000]",2025-06,1,0,,,,,0,,0
hits,UNDER,"[-999,-800]",2026-05,48,8,37.5,-58.16,-98.18,-18.14,-4.653,0.0,2
hits,UNDER,"[-999,-800]",2025-06,2,0,,,,,0,,0
hits,UNDER,"[-799,-600]",2026-05,431,77,80.52,-7.65,-17.86,2.57,-5.89,0.444,9
hits,UNDER,"[-799,-600]",2025-06,2,0,,,,,0,,0
hits,UNDER,"[-599,-500]",2026-05,540,85,88.24,4.7,-3.47,12.88,3.998,0.625,8
hits,UNDER,"[-599,-500]",2025-06,3,0,,,,,0,,0
hits,UNDER,"[-499,-400]",2026-05,702,119,71.43,-11.99,-22.03,-1.94,-14.263,0.111,9
hits,UNDER,"[-399,-300]",2026-05,539,97,68.04,-12.45,-24.46,-0.45,-12.08,0.333,12
pitcher_strikeouts,OVER,"[-inf,-5000]",2026-05,330,49,89.8,-8.56,-17.28,0.16,-4.196,0.846,13
pitcher_strikeouts,OVER,"[-inf,-5000]",2025-06,119,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-4999,-3000]",2026-05,556,102,98.04,0.88,-1.9,3.67,0.9,0.857,14
pitcher_strikeouts,OVER,"[-4999,-3000]",2025-06,139,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-2999,-2000]",2026-05,559,83,85.54,-10.72,-18.67,-2.78,-8.901,0.5,14
pitcher_strikeouts,OVER,"[-2999,-2000]",2025-06,129,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-1999,-1500]",2026-05,466,70,97.14,3.03,-1.14,7.2,2.124,0.929,14
pitcher_strikeouts,OVER,"[-1999,-1500]",2025-06,109,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-1499,-1000]",2026-05,883,162,89.51,-2.73,-7.87,2.42,-4.417,0.571,14
pitcher_strikeouts,OVER,"[-1499,-1000]",2025-06,181,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-999,-800]",2026-05,389,71,87.32,-2.54,-11.24,6.16,-1.804,0.615,13
pitcher_strikeouts,OVER,"[-999,-800]",2025-06,85,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-799,-600]",2026-05,562,79,84.81,-2.71,-11.85,6.43,-2.142,0.571,14
pitcher_strikeouts,OVER,"[-799,-600]",2025-06,124,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-599,-500]",2026-05,439,75,82.67,-1.47,-11.75,8.81,-1.101,0.5,12
pitcher_strikeouts,OVER,"[-599,-500]",2025-06,104,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-499,-400]",2026-05,536,106,85.85,5.71,-2.51,13.92,6.048,0.615,13
pitcher_strikeouts,OVER,"[-499,-400]",2025-06,118,0,,,,,0,,0
pitcher_strikeouts,OVER,"[-399,-300]",2026-05,782,144,79.17,2.65,-5.99,11.29,3.818,0.714,14
pitcher_strikeouts,OVER,"[-399,-300]",2025-06,167,0,,,,,0,,0
pitcher_strikeouts,UNDER,"[-599,-500]",2026-05,7,1,100.0,20.0,20.0,20.0,0.2,1.0,1
pitcher_strikeouts,UNDER,"[-599,-500]",2025-06,9,0,,,,,0,,0
pitcher_strikeouts,UNDER,"[-499,-400]",2026-05,82,18,77.78,-4.74,-28.95,19.48,-0.853,0.667,6
pitcher_strikeouts,UNDER,"[-499,-400]",2025-06,64,0,,,,,0,,0
pitcher_strikeouts,UNDER,"[-399,-300]",2026-05,111,22,90.91,17.26,1.36,33.15,3.797,0.75,8
pitcher_strikeouts,UNDER,"[-399,-300]",2025-06,64,0,,,,,0,,0
runs,UNDER,"[-inf,-5000]",2026-05,7,1,100.0,2.0,2.0,2.0,0.02,1.0,1
runs,UNDER,"[-inf,-5000]",2025-06,2,0,,,,,0,,0
runs,UNDER,"[-4999,-3000]",2026-05,410,63,96.83,-0.25,-4.75,4.25,-0.158,0.5,2
runs,UNDER,"[-2999,-2000]",2026-05,47,6,100.0,5.0,5.0,5.0,0.3,1.0,2
runs,UNDER,"[-2999,-2000]",2025-06,1,0,,,,,0,,0
runs,UNDER,"[-1999,-1500]",2026-05,103,15,86.67,-8.52,-27.31,10.28,-1.278,0.5,2
runs,UNDER,"[-1499,-1000]",2026-05,143,24,87.5,-5.58,-20.17,9.02,-1.338,0.5,2
runs,UNDER,"[-1499,-1000]",2025-06,1,0,,,,,0,,0
runs,UNDER,"[-999,-800]",2026-05,7,1,100.0,11.11,11.11,11.11,0.111,1.0,1
runs,UNDER,"[-499,-400]",2026-05,28,2,100.0,24.72,24.19,25.26,0.494,1.0,1
runs,UNDER,"[-499,-400]",2025-06,1,0,,,,,0,,0
runs,UNDER,"[-399,-300]",2026-05,342,38,73.68,-3.64,-22.2,14.92,-1.383,0.636,11
runs,UNDER,"[-399,-300]",2025-06,26,0,,,,,0,,0
strikeouts,OVER,"[-1499,-1000]",2026-05,6,0,,,,,0,,0
strikeouts,OVER,"[-999,-800]",2026-05,26,0,,,,,0,,0
strikeouts,OVER,"[-799,-600]",2026-05,95,0,,,,,0,,0
strikeouts,OVER,"[-599,-500]",2026-05,145,0,,,,,0,,0
strikeouts,OVER,"[-499,-400]",2026-05,612,0,,,,,0,,0
strikeouts,OVER,"[-399,-300]",2026-05,1182,0,,,,,0,,0
total_bases,OVER,"[-499,-400]",2026-05,41,10,80.0,-1.17,-33.46,31.12,-0.117,0.667,3
total_bases,OVER,"[-399,-300]",2026-05,361,68,66.18,-13.23,-28.09,1.63,-8.996,0.25,12
total_bases,UNDER,"[-599,-500]",2026-05,14,2,100.0,19.09,17.31,20.87,0.382,1.0,2
total_bases,UNDER,"[-499,-400]",2026-05,371,49,85.71,6.51,-5.79,18.82,3.191,0.75,12
total_bases,UNDER,"[-499,-400]",2025-06,1,0,,,,,0,,0
total_bases,UNDER,"[-399,-300]",2026-05,2775,388,70.62,-7.47,-13.42,-1.52,-28.97,0.286,14
total_bases,UNDER,"[-399,-300]",2025-06,2,0,,,,,0,,0
