month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,88,84,51,33,60.71,-30.34,-42.4,-18.29,-25.489,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,46,44,27,17,61.36,-29.56,-46.27,-12.85,-13.005,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,46,44,27,17,61.36,-29.56,-46.27,-12.85,-13.005,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,46,44,27,17,61.36,-29.56,-46.27,-12.85,-13.005,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,44,42,25,17,59.52,-31.72,-48.96,-14.48,-13.322,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,88,84,51,33,60.71,-30.34,-42.4,-18.29,-25.489,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,46,44,27,17,61.36,-29.56,-46.27,-12.85,-13.005,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,46,44,27,17,61.36,-29.56,-46.27,-12.85,-13.005,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,46,44,27,17,61.36,-29.56,-46.27,-12.85,-13.005,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,44,42,25,17,59.52,-31.72,-48.96,-14.48,-13.322,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,75,71,38,33,53.52,-38.58,-51.99,-25.17,-27.39,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,39,37,20,17,54.05,-37.92,-56.62,-19.22,-14.03,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,39,37,20,17,54.05,-37.92,-56.62,-19.22,-14.03,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,39,37,20,17,54.05,-37.92,-56.62,-19.22,-14.03,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,39,37,20,17,54.05,-37.92,-56.62,-19.22,-14.03,0.444,9
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,36,32,16,16,50.0,-43.26,-63.24,-23.29,-13.843,0.25,4
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥-,56,56,35,21,62.5,-28.16,-42.87,-13.45,-15.768,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥50,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥55,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥60,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥65,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥-,56,56,35,21,62.5,-28.16,-42.87,-13.45,-15.768,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥50,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥55,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥60,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥65,30,30,19,11,63.33,-27.15,-47.33,-6.97,-8.144,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥-,47,47,26,21,55.32,-36.24,-52.8,-19.68,-17.034,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.6/μ≥-/TP≥-,51,51,30,21,58.82,-32.53,-48.18,-16.87,-16.588,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.6/μ≥0.0/TP≥-,51,51,30,21,58.82,-32.53,-48.18,-16.87,-16.588,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.6/μ≥0.5/TP≥-,42,42,21,21,50.0,-42.51,-60.11,-24.91,-17.854,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.5/μ≥-/TP≥-,35,35,18,17,51.43,-41.09,-60.34,-21.84,-14.381,0.4,5
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-/CV≤0.5/μ≥0.0/TP≥-,35,35,18,17,51.43,-41.09,-60.34,-21.84,-14.381,0.4,5
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥-,58,54,33,21,61.11,-30.02,-45.05,-14.98,-16.21,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥-,58,54,33,21,61.11,-30.02,-45.05,-14.98,-16.21,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥-,58,54,33,21,61.11,-30.02,-45.05,-14.98,-16.21,0.5,8
2026-05,batter_strikeouts,OVER,"[-799,-600]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥-,36,32,16,16,50.0,-43.26,-63.24,-23.29,-13.843,0.25,4
