family,side,band,month,n,gr,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
batter_strikeouts,OVER,"[-1499,-1000]",2025-06,1,0,,,,,0,,0
batter_strikeouts,OVER,"[-999,-800]",2026-05,13,13,61.54,-31.46,-62.12,-0.8,-4.09,0.5,2
batter_strikeouts,OVER,"[-799,-600]",2026-05,88,84,60.71,-30.34,-42.4,-18.29,-25.489,0.444,9
batter_strikeouts,OVER,"[-799,-600]",2025-06,3,0,,,,,0,,0
batter_strikeouts,OVER,"[-599,-500]",2026-05,170,166,70.48,-16.47,-24.72,-8.23,-27.347,0.455,11
batter_strikeouts,OVER,"[-599,-500]",2025-06,6,5,100.0,19.24,18.86,19.61,0.962,1.0,5
batter_strikeouts,OVER,"[-499,-400]",2026-05,536,484,72.31,-11.21,-16.11,-6.31,-54.257,0.308,13
batter_strikeouts,OVER,"[-499,-400]",2025-06,10,9,66.67,-18.32,-58.35,21.7,-1.649,0.571,7
batter_strikeouts,OVER,"[-399,-300]",2026-05,1125,1012,77.96,0.47,-2.83,3.76,4.732,0.462,13
batter_strikeouts,OVER,"[-399,-300]",2025-06,31,0,,,,,0,,0
earned_runs,OVER,"[-inf,-5000]",2025-06,1,1,100.0,2.0,2.0,2.0,0.02,1.0,1
earned_runs,OVER,"[-4999,-3000]",2025-06,4,4,75.0,-22.74,-73.22,27.74,-0.91,0.75,4
earned_runs,OVER,"[-2999,-2000]",2025-06,8,8,87.5,-8.5,-34.12,17.12,-0.68,0.857,7
earned_runs,OVER,"[-1999,-1500]",2025-06,15,15,100.0,5.88,5.7,6.06,0.882,1.0,8
earned_runs,OVER,"[-1499,-1000]",2026-05,54,54,74.07,-18.89,-31.81,-5.97,-10.2,0.714,7
earned_runs,OVER,"[-1499,-1000]",2025-06,113,110,83.64,-8.88,-16.45,-1.31,-9.767,0.391,23
earned_runs,OVER,"[-999,-800]",2026-05,111,111,51.35,-42.62,-53.06,-32.18,-47.308,0.4,10
