family,side,band,cfg,may_n,may_gr,may_ROI,may_CI_lo,may_CI_hi,may_PnL,may_cons,jun_n,jun_gr,jun_ROI,jun_CI_lo,jun_CI_hi,jun_PnL,jun_cons,min_ROI,sum_PnL
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥75/EDG≥-/CV≤0.45/μ≥-/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥45/EDG≥-/CV≤0.45/μ≥0.0/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥65/EDG≥-/CV≤0.45/μ≥-/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥-/EDG≥-/CV≤0.45/μ≥-/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥65/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥60/EDG≥-/CV≤0.45/μ≥-/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥75/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥60/EDG≥-/CV≤0.45/μ≥0.0/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥55/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥70/EDG≥-/CV≤0.45/μ≥-/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥45/EDG≥-/CV≤0.45/μ≥-/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥70/EDG≥-/CV≤0.45/μ≥0.0/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥50/EDG≥-/CV≤0.45/μ≥0.0/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥60/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥45/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥50/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥55/EDG≥-/CV≤0.45/μ≥-/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥-/EDG≥-/CV≤0.45/μ≥0.0/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥75/EDG≥-/CV≤0.45/μ≥0.0/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
pitcher_strikeouts,OVER,"[-4999,-3000]",HR≥70/EDG≥-/CV≤0.45/μ≥0.5/TP≥-,303,303,2.87,2.83,2.92,8.708,1.0,79,78,1.61,-0.98,4.19,1.254,0.962,1.61,9.962
