month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,617,528,348,180,65.91,-6.21,-11.98,-0.45,-32.811,0.231,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,570,487,327,160,67.15,-4.49,-10.44,1.46,-21.887,0.308,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,549,468,314,154,67.09,-4.53,-10.6,1.54,-21.2,0.231,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,514,437,296,141,67.73,-3.74,-9.99,2.51,-16.347,0.308,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,451,380,263,117,69.21,-1.7,-8.32,4.91,-6.477,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,570,487,327,160,67.15,-4.49,-10.44,1.46,-21.887,0.308,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,570,487,327,160,67.15,-4.49,-10.44,1.46,-21.887,0.308,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,549,468,314,154,67.09,-4.53,-10.6,1.54,-21.2,0.231,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,514,437,296,141,67.73,-3.74,-9.99,2.51,-16.347,0.308,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,451,380,263,117,69.21,-1.7,-8.32,4.91,-6.477,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,345,283,200,83,70.67,0.22,-7.33,7.76,0.61,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥50,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
