month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,170,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,85,39,27,12,69.23,-17.95,-35.34,-0.56,-7.001,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,82,38,26,12,68.42,-18.92,-36.67,-1.16,-7.188,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,170,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,85,39,27,12,69.23,-17.95,-35.34,-0.56,-7.001,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,82,38,26,12,68.42,-18.92,-36.67,-1.16,-7.188,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,140,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥-/TP≥-,170,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥-/TP≥50,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥-/TP≥55,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥-/TP≥60,85,39,27,12,69.23,-17.95,-35.34,-0.56,-7.001,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥-/TP≥65,82,38,26,12,68.42,-18.92,-36.67,-1.16,-7.188,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.0/TP≥-,170,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.0/TP≥50,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.0/TP≥55,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.0/TP≥60,85,39,27,12,69.23,-17.95,-35.34,-0.56,-7.001,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.0/TP≥65,82,38,26,12,68.42,-18.92,-36.67,-1.16,-7.188,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.5/TP≥-,140,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.5/TP≥50,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.5/TP≥55,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.5/TP≥60,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥45/EDG≥-/CV≤-/μ≥0.5/TP≥65,72,33,24,9,72.73,-13.79,-32.09,4.5,-4.552,0.545,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥50/EDG≥-/CV≤-/μ≥-/TP≥-,170,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥50/EDG≥-/CV≤-/μ≥-/TP≥50,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥50/EDG≥-/CV≤-/μ≥-/TP≥55,88,40,28,12,70.0,-17.05,-34.09,-0.0,-6.819,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥50/EDG≥-/CV≤-/μ≥-/TP≥60,85,39,27,12,69.23,-17.95,-35.34,-0.56,-7.001,0.455,11
2026-05,batter_strikeouts,OVER,"[-599,-500]",HR≥50/EDG≥-/CV≤-/μ≥-/TP≥65,82,38,26,12,68.42,-18.92,-36.67,-1.16,-7.188,0.455,11
