band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,65.91,,,,,617,528,348,180,65.91,-6.21,-11.98,-0.45,-32.811,0.231,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,67.15,,,,50.0,570,487,327,160,67.15,-4.49,-10.44,1.46,-21.887,0.308,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,67.09,,,,55.0,549,468,314,154,67.09,-4.53,-10.6,1.54,-21.2,0.231,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,67.73,,,,60.0,514,437,296,141,67.73,-3.74,-9.99,2.51,-16.347,0.308,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,69.21,,,,65.0,451,380,263,117,69.21,-1.7,-8.32,4.91,-6.477,0.385,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,67.15,,,0.0,,570,487,327,160,67.15,-4.49,-10.44,1.46,-21.887,0.308,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,67.15,,,0.0,50.0,570,487,327,160,67.15,-4.49,-10.44,1.46,-21.887,0.308,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,67.09,,,0.0,55.0,549,468,314,154,67.09,-4.53,-10.6,1.54,-21.2,0.231,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,67.73,,,0.0,60.0,514,437,296,141,67.73,-3.74,-9.99,2.51,-16.347,0.308,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,69.21,,,0.0,65.0,451,380,263,117,69.21,-1.7,-8.32,4.91,-6.477,0.385,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,70.42,,,0.5,,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,70.42,,,0.5,50.0,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,70.42,,,0.5,55.0,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,70.42,,,0.5,60.0,346,284,200,84,70.42,-0.14,-7.69,7.42,-0.39,0.538,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,70.67,,,0.5,65.0,345,283,200,83,70.67,0.22,-7.33,7.76,0.61,0.538,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,69.06,,,1.0,,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥50,69.06,,,1.0,50.0,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥55,69.06,,,1.0,55.0,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥60,69.06,,,1.0,60.0,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥65,69.06,,,1.0,65.0,167,139,96,43,69.06,-2.13,-13.08,8.83,-2.955,0.385,13
