band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,59.52,,,,,699,620,369,251,59.52,-14.06,-19.65,-8.47,-87.172,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,59.48,,,,50.0,696,617,367,250,59.48,-14.08,-19.69,-8.48,-86.899,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,59.51,,,,55.0,693,615,366,249,59.51,-14.03,-19.65,-8.41,-86.284,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,59.74,,,,60.0,687,611,365,246,59.74,-13.7,-19.33,-8.07,-83.684,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,61.66,,,,65.0,481,433,267,166,61.66,-11.97,-18.52,-5.42,-51.828,0.231,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,59.63,,,0.0,,675,597,356,241,59.63,-13.88,-19.58,-8.18,-82.871,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,59.63,,,0.0,50.0,675,597,356,241,59.63,-13.88,-19.58,-8.18,-82.871,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,59.66,,,0.0,55.0,672,595,355,240,59.66,-13.82,-19.53,-8.12,-82.255,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,59.9,,,0.0,60.0,666,591,354,237,59.9,-13.48,-19.2,-7.76,-79.655,0.0,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,61.76,,,0.0,65.0,468,421,260,161,61.76,-11.84,-18.48,-5.2,-49.845,0.308,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,62.9,,,0.5,,354,310,195,115,62.9,-9.45,-17.22,-1.69,-29.31,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,62.9,,,0.5,50.0,354,310,195,115,62.9,-9.45,-17.22,-1.69,-29.31,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,62.9,,,0.5,55.0,354,310,195,115,62.9,-9.45,-17.22,-1.69,-29.31,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,62.9,,,0.5,60.0,354,310,195,115,62.9,-9.45,-17.22,-1.69,-29.31,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,64.76,,,0.5,65.0,257,227,147,80,64.76,-7.92,-16.79,0.95,-17.974,0.308,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,61.04,,,1.0,,93,77,47,30,61.04,-12.8,-28.49,2.9,-9.853,0.4,10
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥50,61.04,,,1.0,50.0,93,77,47,30,61.04,-12.8,-28.49,2.9,-9.853,0.4,10
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥55,61.04,,,1.0,55.0,93,77,47,30,61.04,-12.8,-28.49,2.9,-9.853,0.4,10
