combo,hr_min,edg_min,tp_min,cv_max,side,n_total,n_graded,wins,losses,HR_pct,HR_ci_lo,HR_ci_hi,ROI_pct,ROI_ci_lo,ROI_ci_hi,P_and_L,consistency,graded_days
HR≥50.0/EDG≥0.0/TP≥-/CV≤0.4/ANY,50.0,0.0,,0.4,ANY,56,51,35,16,68.63,54.97,79.67,20.76,-2.99,44.5,10.586,0.692,13
HR≥50.0/EDG≥-2.5/TP≥-/CV≤0.4/ANY,50.0,-2.5,,0.4,ANY,63,58,40,18,68.97,56.2,79.38,18.98,-2.78,40.74,11.01,0.692,13
HR≥50.0/EDG≥-5.0/TP≥-/CV≤0.4/ANY,50.0,-5.0,,0.4,ANY,67,61,42,19,68.85,56.41,79.06,18.7,-2.52,39.91,11.404,0.692,13
HR≥50.0/EDG≥0.0/TP≥40.0/CV≤0.4/ANY,50.0,0.0,40.0,0.4,ANY,55,50,34,16,68.0,54.19,79.24,18.27,-5.43,41.98,9.136,0.692,13
HR≥50.0/EDG≥-5.0/TP≥-/CV≤0.45/ANY,50.0,-5.0,,0.45,ANY,87,79,55,24,69.62,58.77,78.66,17.66,-0.46,35.77,13.948,0.692,13
HR≥50.0/EDG≥-2.5/TP≥-/CV≤0.45/ANY,50.0,-2.5,,0.45,ANY,82,75,52,23,69.33,58.17,78.61,17.56,-1.13,36.25,13.169,0.692,13
HR≥50.0/EDG≥0.0/TP≥-/CV≤0.45/ANY,50.0,0.0,,0.45,ANY,72,65,44,21,67.69,55.61,77.8,17.33,-3.47,38.13,11.261,0.692,13
HR≥-/EDG≥-2.5/TP≥-/CV≤0.35/ANY,,-2.5,,0.35,ANY,72,65,42,23,64.62,52.47,75.12,16.9,-5.29,39.09,10.985,0.5,12
HR≥50.0/EDG≥-2.5/TP≥40.0/CV≤0.4/ANY,50.0,-2.5,40.0,0.4,ANY,62,57,39,18,68.42,55.52,79.0,16.77,-4.93,38.47,9.56,0.692,13
HR≥50.0/EDG≥-5.0/TP≥40.0/CV≤0.4/ANY,50.0,-5.0,40.0,0.4,ANY,66,60,41,19,68.33,55.77,78.69,16.59,-4.57,37.75,9.954,0.692,13
HR≥50.0/EDG≥-5.0/TP≥55.0/CV≤0.45/ANY,50.0,-5.0,55.0,0.45,ANY,57,51,39,12,76.47,63.24,86.0,16.53,-1.6,34.66,8.431,0.667,12
HR≥50.0/EDG≥-5.0/TP≥40.0/CV≤0.45/ANY,50.0,-5.0,40.0,0.45,ANY,86,78,54,24,69.23,58.29,78.37,16.02,-2.04,34.09,12.498,0.692,13
HR≥-/EDG≥5.0/TP≥-/CV≤0.4/OVER,,5.0,,0.4,OVER,69,61,38,23,62.3,49.75,73.39,15.86,-7.89,39.61,9.673,0.615,13
HR≥-/EDG≥5.0/TP≥40.0/CV≤0.4/OVER,,5.0,40.0,0.4,OVER,69,61,38,23,62.3,49.75,73.39,15.86,-7.89,39.61,9.673,0.615,13
HR≥50.0/EDG≥-2.5/TP≥40.0/CV≤0.45/ANY,50.0,-2.5,40.0,0.45,ANY,81,74,51,23,68.92,57.66,78.31,15.84,-2.8,34.47,11.719,0.692,13
HR≥50.0/EDG≥-5.0/TP≥55.0/CV≤0.45/OVER,50.0,-5.0,55.0,0.45,OVER,56,50,38,12,76.0,62.59,85.7,15.43,-2.93,33.8,7.717,0.667,12
