band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,69.33,,,,,244,238,165,73,69.33,-2.03,-10.34,6.28,-4.83,0.429,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,68.49,,,,50.0,225,219,150,69,68.49,-3.25,-11.98,5.48,-7.12,0.464,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,68.2,,,,55.0,223,217,148,69,68.2,-3.69,-12.48,5.1,-8.005,0.464,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,68.57,,,,60.0,215,210,144,66,68.57,-3.16,-12.07,5.74,-6.645,0.464,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,70.27,,,,65.0,190,185,130,55,70.27,-1.12,-10.43,8.19,-2.071,0.519,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,69.23,,,0.0,,213,208,144,64,69.23,-2.3,-11.19,6.59,-4.793,0.464,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,69.23,,,0.0,50.0,213,208,144,64,69.23,-2.3,-11.19,6.59,-4.793,0.464,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,68.93,,,0.0,55.0,211,206,142,64,68.93,-2.76,-11.71,6.2,-5.678,0.464,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,69.35,,,0.0,60.0,203,199,138,61,69.35,-2.17,-11.25,6.91,-4.318,0.5,28
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,71.19,,,0.0,65.0,181,177,126,51,71.19,0.14,-9.29,9.58,0.256,0.593,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,68.65,,,0.5,,189,185,127,58,68.65,-3.18,-12.66,6.29,-5.889,0.481,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,68.65,,,0.5,50.0,189,185,127,58,68.65,-3.18,-12.66,6.29,-5.889,0.481,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,68.65,,,0.5,55.0,189,185,127,58,68.65,-3.18,-12.66,6.29,-5.889,0.481,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,68.48,,,0.5,60.0,188,184,126,58,68.48,-3.46,-12.97,6.05,-6.365,0.481,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,70.66,,,0.5,65.0,171,167,118,49,70.66,-0.58,-10.34,9.19,-0.964,0.593,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,68.21,,,1.0,,153,151,103,48,68.21,-3.69,-14.23,6.85,-5.569,0.444,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥50,68.21,,,1.0,50.0,153,151,103,48,68.21,-3.69,-14.23,6.85,-5.569,0.444,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥55,68.21,,,1.0,55.0,153,151,103,48,68.21,-3.69,-14.23,6.85,-5.569,0.444,27
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥60,68.21,,,1.0,60.0,153,151,103,48,68.21,-3.69,-14.23,6.85,-5.569,0.444,27
