band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,70.71,,,,,109,99,70,29,70.71,0.31,-12.5,13.12,0.305,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,73.56,,,,50.0,94,87,64,23,73.56,4.33,-8.92,17.58,3.765,0.667,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,73.81,,,,55.0,91,84,62,22,73.81,4.82,-8.64,18.28,4.049,0.667,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,71.43,,,,60.0,83,77,55,22,71.43,1.21,-13.21,15.64,0.935,0.667,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,75.0,,,,65.0,70,64,48,16,75.0,6.12,-9.05,21.29,3.917,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,71.95,,,0.0,,89,82,59,23,71.95,1.86,-12.02,15.74,1.526,0.667,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,71.95,,,0.0,50.0,89,82,59,23,71.95,1.86,-12.02,15.74,1.526,0.667,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,72.15,,,0.0,55.0,86,79,57,22,72.15,2.29,-11.84,16.42,1.81,0.583,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,69.44,,,0.0,60.0,78,72,50,22,69.44,-1.81,-16.99,13.37,-1.304,0.583,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,73.77,,,0.0,65.0,67,61,45,16,73.77,4.33,-11.45,20.11,2.643,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,71.43,,,0.5,,75,70,50,20,71.43,1.17,-13.96,16.29,0.816,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,71.43,,,0.5,50.0,75,70,50,20,71.43,1.17,-13.96,16.29,0.816,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,71.43,,,0.5,55.0,75,70,50,20,71.43,1.17,-13.96,16.29,0.816,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,70.15,,,0.5,60.0,72,67,47,20,70.15,-0.69,-16.35,14.98,-0.46,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,74.58,,,0.5,65.0,64,59,44,15,74.58,5.53,-10.37,21.43,3.263,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,70.0,,,1.0,,53,50,35,15,70.0,-0.94,-19.13,17.26,-0.47,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥50,70.0,,,1.0,50.0,53,50,35,15,70.0,-0.94,-19.13,17.26,-0.47,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥55,70.0,,,1.0,55.0,53,50,35,15,70.0,-0.94,-19.13,17.26,-0.47,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥60,70.0,,,1.0,60.0,53,50,35,15,70.0,-0.94,-19.13,17.26,-0.47,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥65,72.92,,,1.0,65.0,51,48,35,13,72.92,3.19,-14.83,21.21,1.53,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥-,70.0,,0.7,,,98,90,63,27,70.0,-0.87,-14.38,12.64,-0.784,0.333,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥50,74.07,,0.7,,50.0,86,81,60,21,74.07,5.01,-8.64,18.65,4.054,0.583,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥55,74.36,,0.7,,55.0,83,78,58,20,74.36,5.56,-8.32,19.44,4.338,0.583,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥60,72.22,,0.7,,60.0,76,72,52,20,72.22,2.33,-12.47,17.12,1.675,0.583,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥65,75.0,,0.7,,65.0,64,60,45,15,75.0,6.09,-9.57,21.76,3.657,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥-,72.37,,0.7,0.0,,81,76,55,21,72.37,2.39,-11.96,16.74,1.815,0.583,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥50,72.37,,0.7,0.0,50.0,81,76,55,21,72.37,2.39,-11.96,16.74,1.815,0.583,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥55,72.6,,0.7,0.0,55.0,78,73,53,20,72.6,2.88,-11.75,17.51,2.099,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥60,70.15,,0.7,0.0,60.0,71,67,47,20,70.15,-0.84,-16.48,14.8,-0.564,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥65,73.68,,0.7,0.0,65.0,61,57,42,15,73.68,4.18,-12.17,20.53,2.383,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥-,72.31,,0.7,0.5,,68,65,47,18,72.31,2.28,-13.26,17.83,1.485,0.5,12
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥50,72.31,,0.7,0.5,50.0,68,65,47,18,72.31,2.28,-13.26,17.83,1.485,0.5,12
