label,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,graded_days
HR≥-/EDG≥5/CV≤0.4/μ≥-/TP≥-,,5,0.4,,,24,20,12,8,60.0,37.25,-13.36,87.86,7.45,0.889,9
HR≥-/EDG≥-/CV≤0.5/μ≥0.5/TP≥-,,,0.5,0.5,,27,24,14,10,58.33,30.58,-14.71,75.87,7.34,0.636,11
HR≥-/EDG≥-5/CV≤0.5/μ≥0.5/TP≥-,,-5,0.5,0.5,,27,24,14,10,58.33,30.58,-14.71,75.87,7.34,0.636,11
HR≥-/EDG≥0/CV≤0.5/μ≥0.5/TP≥-,,0,0.5,0.5,,27,24,14,10,58.33,30.58,-14.71,75.87,7.34,0.636,11
HR≥-/EDG≥5/CV≤0.5/μ≥0.5/TP≥-,,5,0.5,0.5,,27,24,14,10,58.33,30.58,-14.71,75.87,7.34,0.636,11
HR≥-/EDG≥10/CV≤0.5/μ≥0.5/TP≥-,,10,0.5,0.5,,27,24,14,10,58.33,30.58,-14.71,75.87,7.34,0.636,11
HR≥-/EDG≥0/CV≤0.4/μ≥-/TP≥-,,0,0.4,,,27,23,13,10,56.52,28.35,-18.91,75.6,6.52,0.7,10
HR≥-/EDG≥-5/CV≤0.4/μ≥-/TP≥-,,-5,0.4,,,32,28,16,12,57.14,27.93,-14.07,69.93,7.82,0.7,10
HR≥-/EDG≥10/CV≤0.5/μ≥-/TP≥-,,10,0.5,,,38,34,19,15,55.88,26.65,-11.88,65.17,9.06,0.583,12
HR≥-/EDG≥10/CV≤0.5/μ≥0/TP≥-,,10,0.5,0,,38,34,19,15,55.88,26.65,-11.88,65.17,9.06,0.583,12
HR≥-/EDG≥5/CV≤0.7/μ≥0/TP≥-,,5,0.7,0,,50,46,26,20,56.52,26.63,-5.95,59.21,12.25,0.75,12
HR≥-/EDG≥5/CV≤0.7/μ≥-/TP≥-,,5,0.7,,,53,48,27,21,56.25,26.46,-5.56,58.47,12.7,0.75,12
HR≥-/EDG≥-5/CV≤0.5/μ≥-/TP≥-,,-5,0.5,,,53,48,27,21,56.25,25.79,-6.07,57.66,12.38,0.5,12
HR≥-/EDG≥5/CV≤0.5/μ≥0/TP≥-,,5,0.5,0,,40,36,20,16,55.56,25.31,-11.97,62.58,9.11,0.667,12
HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥-,,,0.7,0.5,,35,32,18,14,56.25,25.25,-13.8,64.3,8.08,0.583,12
HR≥-/EDG≥-5/CV≤0.7/μ≥0.5/TP≥-,,-5,0.7,0.5,,35,32,18,14,56.25,25.25,-13.8,64.3,8.08,0.583,12
HR≥-/EDG≥0/CV≤0.7/μ≥0.5/TP≥-,,0,0.7,0.5,,35,32,18,14,56.25,25.25,-13.8,64.3,8.08,0.583,12
HR≥-/EDG≥5/CV≤0.7/μ≥0.5/TP≥-,,5,0.7,0.5,,35,32,18,14,56.25,25.25,-13.8,64.3,8.08,0.583,12
HR≥-/EDG≥10/CV≤0.7/μ≥0.5/TP≥-,,10,0.7,0.5,,35,32,18,14,56.25,25.25,-13.8,64.3,8.08,0.583,12
HR≥-/EDG≥5/CV≤0.5/μ≥-/TP≥-,,5,0.5,,,42,38,21,17,55.26,25.16,-11.27,61.59,9.56,0.667,12
HR≥-/EDG≥10/CV≤0.45/μ≥-/TP≥-,,10,0.45,,,33,29,16,13,55.17,24.83,-16.99,66.64,7.2,0.636,11
HR≥-/EDG≥10/CV≤0.45/μ≥0/TP≥-,,10,0.45,0,,33,29,16,13,55.17,24.83,-16.99,66.64,7.2,0.636,11
HR≥-/EDG≥5/CV≤-/μ≥0/TP≥-,,5,,0,,54,49,27,22,55.1,23.49,-8.16,55.14,11.51,0.667,12
HR≥-/EDG≥5/CV≤-/μ≥-/TP≥-,,5,,,,57,51,28,23,54.9,23.45,-7.68,54.58,11.96,0.75,12
HR≥-/EDG≥5/CV≤0.45/μ≥0/TP≥-,,5,0.45,0,,35,31,17,14,54.84,23.39,-16.83,63.6,7.25,0.727,11
HR≥-/EDG≥5/CV≤0.45/μ≥-/TP≥-,,5,0.45,,,37,33,18,15,54.55,23.33,-15.83,62.49,7.7,0.727,11
