family,side,band,type,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n,gr,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
runs,OVER,"[-149,-110]",best_pnl,HR≥-/EDG≥10.0/CV≤-/μ≥-/TP≥-,61.7,10.0,,,,57,47,29,18,61.7,13.7,-12.21,39.61,6.441,0.538,13
runs,OVER,"[-149,-110]",best_roi,HR≥-/EDG≥10.0/CV≤-/μ≥-/TP≥-,61.7,10.0,,,,57,47,29,18,61.7,13.7,-12.21,39.61,6.441,0.538,13
runs,OVER,"[-109,+100]",best_pnl,HR≥55/EDG≥-/CV≤-/μ≥-/TP≥-,41.67,,,,,40,36,15,21,41.67,-17.88,-50.07,14.32,-6.436,0.333,12
runs,OVER,"[-109,+100]",best_roi,HR≥55/EDG≥-/CV≤-/μ≥-/TP≥-,41.67,,,,,40,36,15,21,41.67,-17.88,-50.07,14.32,-6.436,0.333,12
runs,OVER,"[+101,+200]",best_pnl,HR≥55/EDG≥5.0/CV≤-/μ≥0.0/TP≥-,48.62,5.0,,0.0,,120,109,53,56,48.62,8.24,-12.81,29.29,8.98,0.5,12
runs,OVER,"[+101,+200]",best_roi,HR≥55/EDG≥-/CV≤-/μ≥0.5/TP≥-,52.0,,,0.5,,54,50,26,24,52.0,15.12,-15.96,46.2,7.56,0.625,8
runs,UNDER,"[-299,-200]",best_pnl,HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥-,72.97,-5.0,,,,230,185,135,50,72.97,4.68,-4.54,13.91,8.665,0.5,12
runs,UNDER,"[-299,-200]",best_roi,HR≥-/EDG≥5.0/CV≤-/μ≥-/TP≥-,76.25,5.0,,,,106,80,61,19,76.25,8.66,-4.75,22.06,6.928,0.5,12
runs,UNDER,"[-199,-150]",best_pnl,HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥-,66.84,-5.0,,,,214,187,125,62,66.84,5.78,-4.94,16.51,10.817,0.615,13
runs,UNDER,"[-199,-150]",best_roi,HR≥45/EDG≥-5.0/CV≤-/μ≥-/TP≥-,71.43,-5.0,,,,40,35,25,10,71.43,14.21,-10.09,38.52,4.975,0.667,6
runs,UNDER,"[-149,-110]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,64.54,,,,50.0,529,471,304,167,64.54,14.72,7.02,22.42,69.349,0.846,13
runs,UNDER,"[-149,-110]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,78.12,,,0.5,55.0,35,32,25,7,78.12,34.19,9.17,59.21,10.941,0.667,9
runs,UNDER,"[-109,+100]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,60.0,,,,,49,45,27,18,60.0,18.17,-10.35,46.68,8.175,0.5,12
runs,UNDER,"[-109,+100]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,60.0,,,,,49,45,27,18,60.0,18.17,-10.35,46.68,8.175,0.5,12
runs,UNDER,"[+101,+200]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,51.56,,,,,69,64,33,31,51.56,9.55,-16.73,35.82,6.11,0.769,13
runs,UNDER,"[+101,+200]",best_roi,HR≥45/EDG≥-/CV≤-/μ≥-/TP≥-,52.17,,,,,50,46,24,22,52.17,10.59,-20.41,41.59,4.87,0.692,13
rbis,OVER,"[+101,+200]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,34.29,,,1.0,,43,35,12,23,34.29,-18.14,-56.25,19.97,-6.35,0.333,9
rbis,OVER,"[+101,+200]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,37.35,,,,50.0,93,83,31,52,37.35,-12.07,-36.76,12.62,-10.02,0.308,13
walks_allowed,OVER,"[-149,-110]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,50.0,,,,,40,38,19,19,50.0,-8.43,-37.97,21.12,-3.202,0.417,12
walks_allowed,OVER,"[-149,-110]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,50.0,,,,,40,38,19,19,50.0,-8.43,-37.97,21.12,-3.202,0.417,12
walks_allowed,UNDER,"[-149,-110]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,51.52,,,,,36,33,17,16,51.52,-6.27,-37.81,25.27,-2.068,0.364,11
walks_allowed,UNDER,"[-149,-110]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,51.52,,,,,36,33,17,16,51.52,-6.27,-37.81,25.27,-2.068,0.364,11
earned_runs,OVER,"[-299,-200]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,71.64,,,,,70,67,48,19,71.64,0.2,-15.04,15.44,0.133,0.583,12
earned_runs,OVER,"[-299,-200]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,71.64,,,,,70,67,48,19,71.64,0.2,-15.04,15.44,0.133,0.583,12
earned_runs,OVER,"[-199,-150]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,48.65,,,,55.0,44,37,18,19,48.65,-22.18,-48.32,3.95,-8.207,0.25,12
earned_runs,OVER,"[-199,-150]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,48.65,,,,55.0,44,37,18,19,48.65,-22.18,-48.32,3.95,-8.207,0.25,12
