band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,59.67,,,,,680,605,361,244,59.67,-13.92,-19.57,-8.26,-84.194,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,59.6,,,,50.0,678,604,360,244,59.6,-14.0,-19.66,-8.34,-84.558,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,59.66,,,,55.0,664,590,352,238,59.66,-13.91,-19.64,-8.19,-82.077,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,60.61,,,,60.0,633,561,340,221,60.61,-12.53,-18.38,-6.69,-70.317,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,58.41,,,,65.0,510,452,264,188,58.41,-16.06,-22.6,-9.51,-72.569,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,59.6,,,0.0,,678,604,360,244,59.6,-14.0,-19.66,-8.34,-84.558,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,59.6,,,0.0,50.0,678,604,360,244,59.6,-14.0,-19.66,-8.34,-84.558,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,59.66,,,0.0,55.0,664,590,352,238,59.66,-13.91,-19.64,-8.19,-82.077,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,60.61,,,0.0,60.0,633,561,340,221,60.61,-12.53,-18.38,-6.69,-70.317,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,58.41,,,0.0,65.0,510,452,264,188,58.41,-16.06,-22.6,-9.51,-72.569,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,60.8,,,0.5,,586,523,318,205,60.8,-12.35,-18.4,-6.31,-64.61,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥50,60.8,,,0.5,50.0,586,523,318,205,60.8,-12.35,-18.4,-6.31,-64.61,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥55,60.8,,,0.5,55.0,586,523,318,205,60.8,-12.35,-18.4,-6.31,-64.61,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥60,60.62,,,0.5,60.0,581,518,314,204,60.62,-12.61,-18.69,-6.53,-65.314,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥65,58.74,,,0.5,65.0,481,429,252,177,58.74,-15.61,-22.32,-8.9,-66.959,0.077,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥-,62.5,,,1.0,,375,328,205,123,62.5,-9.95,-17.53,-2.38,-32.645,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥50,62.5,,,1.0,50.0,375,328,205,123,62.5,-9.95,-17.53,-2.38,-32.645,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥55,62.5,,,1.0,55.0,375,328,205,123,62.5,-9.95,-17.53,-2.38,-32.645,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥60,62.5,,,1.0,60.0,375,328,205,123,62.5,-9.95,-17.53,-2.38,-32.645,0.154,13
"[-299,-200]",HR≥-/EDG≥-/CV≤-/μ≥1.0/TP≥65,62.5,,,1.0,65.0,349,304,190,114,62.5,-10.2,-18.04,-2.35,-31.004,0.231,13
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥-,54.0,,0.7,,,55,50,27,23,54.0,-23.0,-42.94,-3.07,-11.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥50,54.0,,0.7,,50.0,55,50,27,23,54.0,-23.0,-42.94,-3.07,-11.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥55,54.0,,0.7,,55.0,55,50,27,23,54.0,-23.0,-42.94,-3.07,-11.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥60,55.1,,0.7,,60.0,54,49,27,22,55.1,-21.43,-41.53,-1.33,-10.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥65,57.78,,0.7,,65.0,50,45,26,19,57.78,-17.78,-38.59,3.03,-8.002,0.273,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥-,54.0,,0.7,0.0,,55,50,27,23,54.0,-23.0,-42.94,-3.07,-11.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥50,54.0,,0.7,0.0,50.0,55,50,27,23,54.0,-23.0,-42.94,-3.07,-11.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥55,54.0,,0.7,0.0,55.0,55,50,27,23,54.0,-23.0,-42.94,-3.07,-11.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥60,55.1,,0.7,0.0,60.0,54,49,27,22,55.1,-21.43,-41.53,-1.33,-10.502,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥65,57.78,,0.7,0.0,65.0,50,45,26,19,57.78,-17.78,-38.59,3.03,-8.002,0.273,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥-,56.82,,0.7,0.5,,48,44,25,19,56.82,-19.22,-40.31,1.87,-8.456,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥50,56.82,,0.7,0.5,50.0,48,44,25,19,56.82,-19.22,-40.31,1.87,-8.456,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥55,56.82,,0.7,0.5,55.0,48,44,25,19,56.82,-19.22,-40.31,1.87,-8.456,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥60,56.82,,0.7,0.5,60.0,48,44,25,19,56.82,-19.22,-40.31,1.87,-8.456,0.182,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥65,60.0,,0.7,0.5,65.0,44,40,24,16,60.0,-14.89,-36.75,6.96,-5.956,0.364,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥-,65.62,,0.7,1.0,,35,32,21,11,65.62,-6.83,-30.63,16.98,-2.185,0.636,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥50,65.62,,0.7,1.0,50.0,35,32,21,11,65.62,-6.83,-30.63,16.98,-2.185,0.636,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥55,65.62,,0.7,1.0,55.0,35,32,21,11,65.62,-6.83,-30.63,16.98,-2.185,0.636,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥60,65.62,,0.7,1.0,60.0,35,32,21,11,65.62,-6.83,-30.63,16.98,-2.185,0.636,11
"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥65,64.52,,0.7,1.0,65.0,34,31,20,11,64.52,-8.66,-32.97,15.64,-2.685,0.636,11
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥-,60.4,-5.0,,,,560,495,299,196,60.4,-12.65,-18.9,-6.41,-62.623,0.154,13
