stat_family,feature,category,in_train_schema,in_live_emit,in_replay_emit,in_replay_plus_emit,live_pop_pct,replay_pop_pct,replay_plus_pop_pct,live_minus_replay_gap_pct,imputed_parent
hits,away_avg,other,True,True,True,True,0.0,0.0,0.0,0.0,
hits,batter_hand_is_imputed,batter_handedness,True,True,True,True,100.0,100.0,100.0,0.0,
hits,batter_is_lhh,batter_handedness,True,True,True,True,0.0,0.0,0.0,0.0,batter_hand_is_imputed
hits,batter_is_rhh,batter_handedness,True,True,True,True,0.0,0.0,0.0,0.0,batter_hand_is_imputed
hits,batter_is_switch,batter_handedness,True,True,True,True,0.0,0.0,0.0,0.0,batter_hand_is_imputed
hits,current_hit_streak,rolling_windows,True,True,True,True,14.8,8.7,8.7,6.1,
hits,current_miss_streak,rolling_windows,True,True,True,True,85.2,91.3,91.3,-6.1,
hits,cv_l10,rolling_windows,True,True,True,True,81.5,87.0,87.0,-5.5,
hits,cv_l5,rolling_windows,True,True,True,True,70.4,73.9,73.9,-3.5,
hits,ewma_l10,rolling_windows,True,True,True,True,81.5,87.0,87.0,-5.5,
hits,ewma_l20,rolling_windows,True,True,True,True,81.5,87.0,87.0,-5.5,
hits,ewma_l5,rolling_windows,True,True,True,True,70.4,73.9,73.9,-3.5,
hits,ewma_trend,rolling_windows,True,True,True,True,81.5,87.0,87.0,-5.5,
hits,expected_pa_is_imputed,workload,True,True,True,True,3.7,4.3,4.3,-0.6,
hits,expected_pa_l10,workload,True,True,True,True,100.0,100.0,100.0,0.0,
hits,hit_rate_l10,rolling_windows,True,True,True,True,48.1,43.5,43.5,4.7,
hits,hit_rate_l5,rolling_windows,True,True,True,True,29.6,21.7,21.7,7.9,
hits,home_avg,other,True,True,True,True,0.0,0.0,0.0,0.0,
hits,home_away_split,other,True,True,True,True,0.0,0.0,0.0,0.0,
hits,home_away_split_is_imputed,other,True,True,True,True,100.0,100.0,100.0,0.0,
hits,home_hr_split,other,True,True,True,True,0.0,0.0,0.0,0.0,
hits,home_runs_split,other,True,True,True,True,0.0,0.0,0.0,0.0,
hits,l10_avg,rolling_windows,True,True,True,True,81.5,87.0,87.0,-5.5,
hits,l10_max,rolling_windows,True,True,True,True,81.5,87.0,87.0,-5.5,
hits,l10_median,rolling_windows,True,True,True,True,29.6,34.8,34.8,-5.2,
hits,l10_min,rolling_windows,True,True,True,True,0.0,0.0,0.0,0.0,
hits,l20_avg,rolling_windows,True,True,True,True,81.5,87.0,87.0,-5.5,
hits,l3_avg,rolling_windows,True,True,True,True,55.6,56.5,56.5,-1.0,
hits,l5_avg,rolling_windows,True,True,True,True,70.4,73.9,73.9,-3.5,
hits,l5_max,rolling_windows,True,True,True,True,70.4,73.9,73.9,-3.5,
hits,l5_median,rolling_windows,True,True,True,True,25.9,26.1,26.1,-0.2,
hits,l5_min,rolling_windows,True,True,True,True,3.7,4.3,4.3,-0.6,
hits,line,other,True,True,True,True,100.0,100.0,100.0,0.0,
hits,line_difficulty,market_alignment,True,True,True,True,81.5,82.6,82.6,-1.1,
hits,line_vs_ewma,other,True,True,True,True,100.0,100.0,100.0,0.0,
hits,line_vs_l10,other,True,True,True,True,100.0,95.7,95.7,4.3,
hits,line_vs_l5,other,True,True,True,True,100.0,100.0,100.0,0.0,
hits,line_vs_median,other,True,True,True,True,100.0,95.7,95.7,4.3,
hits,matchup_is_imputed,other,True,True,True,True,100.0,100.0,100.0,0.0,
hits,opp_k_rate,other,True,True,True,True,100.0,100.0,100.0,0.0,
hits,opp_pitcher_bb_rate_14d,opp_pitcher_quality,True,True,True,True,0.0,0.0,0.0,0.0,opp_pitcher_quality_is_imputed
hits,opp_pitcher_k_rate_14d,opp_pitcher_quality,True,True,True,True,0.0,0.0,0.0,0.0,opp_pitcher_quality_is_imputed
hits,opp_pitcher_quality_is_imputed,opp_pitcher_quality,True,True,True,True,100.0,100.0,100.0,0.0,
hits,opp_pitcher_throws_is_imputed,opp_pitcher_quality,True,True,True,True,0.0,100.0,0.0,-100.0,
hits,opp_pitcher_throws_l,opp_pitcher_quality,True,True,True,True,0.0,0.0,0.0,0.0,opp_pitcher_quality_is_imputed
hits,opp_pitcher_throws_r,opp_pitcher_quality,True,True,True,True,100.0,0.0,100.0,100.0,opp_pitcher_quality_is_imputed
hits,opp_pitcher_xwoba_allowed_14d,opp_pitcher_quality,True,True,True,True,0.0,0.0,0.0,0.0,opp_pitcher_quality_is_imputed
hits,opposite_hand_matchup,matchup_interaction,True,True,True,True,0.0,0.0,0.0,0.0,
hits,pa_b_pa14_avg_exit_velocity,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa14_avg_launch_angle,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa14_barrel_rate,pa_batter,True,True,True,True,7.4,0.0,8.7,7.4,pa_batter_is_imputed
hits,pa_b_pa14_bb_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa14_contact_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa14_hard_hit_rate,pa_batter,True,True,True,True,18.5,0.0,21.7,18.5,pa_batter_is_imputed
hits,pa_b_pa14_k_rate,pa_batter,True,True,True,True,18.5,0.0,21.7,18.5,pa_batter_is_imputed
hits,pa_b_pa14_plate_appearances,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa14_sweet_spot_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa14_wOBA,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa14_whiff_rate,pa_batter,True,True,True,True,18.5,0.0,21.7,18.5,pa_batter_is_imputed
hits,pa_b_pa14_xwOBA,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_avg_exit_velocity,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_avg_launch_angle,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_barrel_rate,pa_batter,True,True,True,True,11.1,0.0,13.0,11.1,pa_batter_is_imputed
hits,pa_b_pa30_bb_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_contact_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_hard_hit_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_k_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_plate_appearances,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_sweet_spot_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_wOBA,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_whiff_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa30_xwOBA,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa7_avg_exit_velocity,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa7_avg_launch_angle,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
hits,pa_b_pa7_barrel_rate,pa_batter,True,True,True,True,3.7,0.0,4.3,3.7,pa_batter_is_imputed
hits,pa_b_pa7_bb_rate,pa_batter,True,True,True,True,18.5,0.0,21.7,18.5,pa_batter_is_imputed
hits,pa_b_pa7_contact_rate,pa_batter,True,True,True,True,22.2,0.0,26.1,22.2,pa_batter_is_imputed
