band,fold,HR20,EDG_min,CV_max,mu_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
"[-149,-110]",OVERALL,-,5,0.7,-,40,37,22,15,59.46,6.98,-21.94,35.9,2.583,0.636,11,2026-05-08/4p/+1.55u,2026-05-10/6p/-2.49u
"[-149,-110]",OVERALL,-,5,0.7,≥0.0,40,37,22,15,59.46,6.98,-21.94,35.9,2.583,0.636,11,2026-05-08/4p/+1.55u,2026-05-10/6p/-2.49u
"[-149,-110]",OVERALL,-,5,0.7,≥0.5,38,35,22,13,62.86,13.09,-16.19,42.38,4.583,0.636,11,2026-05-08/4p/+1.55u,2026-05-10/5p/-1.49u
"[-149,-110]",OVERALL,-,5,0.5,-,27,24,14,10,58.33,4.25,-31.8,40.31,1.021,0.444,9,2026-05-08/2p/+1.67u,2026-05-10/5p/-1.49u
"[-149,-110]",OVERALL,-,5,0.5,≥0.0,27,24,14,10,58.33,4.25,-31.8,40.31,1.021,0.444,9,2026-05-08/2p/+1.67u,2026-05-10/5p/-1.49u
"[-149,-110]",OVERALL,-,5,0.5,≥0.5,26,23,14,9,60.87,8.79,-27.71,45.29,2.021,0.556,9,2026-05-08/2p/+1.67u,2026-05-10/5p/-1.49u
"[-149,-110]",OVERALL,-,5,0.4,-,17,15,7,8,46.67,-16.62,-63.36,30.12,-2.493,0.444,9,2026-05-08/2p/+1.67u,2026-05-10/3p/-3.00u
"[-149,-110]",OVERALL,-,5,0.4,≥0.0,17,15,7,8,46.67,-16.62,-63.36,30.12,-2.493,0.444,9,2026-05-08/2p/+1.67u,2026-05-10/3p/-3.00u
"[-149,-110]",OVERALL,-,5,0.4,≥0.5,16,14,7,7,50.0,-10.67,-59.28,37.95,-1.493,0.444,9,2026-05-08/2p/+1.67u,2026-05-10/3p/-3.00u
"[-149,-110]",OVERALL,≥50,5,0.7,-,17,15,8,7,53.33,-5.06,-51.67,41.56,-0.759,0.5,8,2026-05-12/1p/+0.91u,2026-05-10/4p/-2.20u
"[-149,-110]",OVERALL,≥50,5,0.7,≥0.0,17,15,8,7,53.33,-5.06,-51.67,41.56,-0.759,0.5,8,2026-05-12/1p/+0.91u,2026-05-10/4p/-2.20u
"[-149,-110]",OVERALL,≥50,5,0.7,≥0.5,17,15,8,7,53.33,-5.06,-51.67,41.56,-0.759,0.5,8,2026-05-12/1p/+0.91u,2026-05-10/4p/-2.20u
"[-149,-110]",OVERALL,≥50,5,0.5,-,15,13,6,7,46.15,-18.13,-68.22,31.95,-2.357,0.286,7,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",OVERALL,≥50,5,0.5,≥0.0,15,13,6,7,46.15,-18.13,-68.22,31.95,-2.357,0.286,7,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",OVERALL,≥50,5,0.5,≥0.5,15,13,6,7,46.15,-18.13,-68.22,31.95,-2.357,0.286,7,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",OVERALL,≥50,5,0.4,-,12,11,4,7,36.36,-35.7,-88.49,17.1,-3.926,0.286,7,2026-05-08/1p/+0.87u,2026-05-10/3p/-3.00u
"[-149,-110]",OVERALL,≥50,5,0.4,≥0.0,12,11,4,7,36.36,-35.7,-88.49,17.1,-3.926,0.286,7,2026-05-08/1p/+0.87u,2026-05-10/3p/-3.00u
"[-149,-110]",OVERALL,≥50,5,0.4,≥0.5,12,11,4,7,36.36,-35.7,-88.49,17.1,-3.926,0.286,7,2026-05-08/1p/+0.87u,2026-05-10/3p/-3.00u
"[-149,-110]",A: 05-03..06,-,5,0.7,-,11,10,6,4,60.0,8.21,-49.63,66.05,0.821,0.667,3,2026-05-05/4p/+1.39u,2026-05-06/5p/-1.44u
"[-149,-110]",A: 05-03..06,-,5,0.7,≥0.0,11,10,6,4,60.0,8.21,-49.63,66.05,0.821,0.667,3,2026-05-05/4p/+1.39u,2026-05-06/5p/-1.44u
"[-149,-110]",A: 05-03..06,-,5,0.7,≥0.5,10,9,6,3,66.67,20.23,-38.82,79.28,1.821,0.667,3,2026-05-05/4p/+1.39u,2026-05-06/4p/-0.44u
"[-149,-110]",A: 05-03..06,-,5,0.5,-,7,6,3,3,50.0,-11.11,-89.15,66.93,-0.667,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/4p/-0.44u
"[-149,-110]",A: 05-03..06,-,5,0.5,≥0.0,7,6,3,3,50.0,-11.11,-89.15,66.93,-0.667,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/4p/-0.44u
"[-149,-110]",A: 05-03..06,-,5,0.5,≥0.5,6,5,3,2,60.0,6.66,-78.86,92.19,0.333,0.5,2,2026-05-06/3p/+0.56u,2026-05-05/2p/-0.23u
"[-149,-110]",A: 05-03..06,-,5,0.4,-,4,3,0,3,0.0,-100.0,-100.0,-100.0,-3.0,0.0,2,2026-05-05/1p/+-1.00u,2026-05-06/2p/-2.00u
"[-149,-110]",A: 05-03..06,-,5,0.4,≥0.0,4,3,0,3,0.0,-100.0,-100.0,-100.0,-3.0,0.0,2,2026-05-05/1p/+-1.00u,2026-05-06/2p/-2.00u
"[-149,-110]",A: 05-03..06,-,5,0.4,≥0.5,3,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-05/1p/+-1.00u,2026-05-05/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.7,-,3,3,1,2,33.33,-41.03,-156.62,74.56,-1.231,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.7,≥0.0,3,3,1,2,33.33,-41.03,-156.62,74.56,-1.231,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.7,≥0.5,3,3,1,2,33.33,-41.03,-156.62,74.56,-1.231,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.5,-,3,3,1,2,33.33,-41.03,-156.62,74.56,-1.231,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.5,≥0.0,3,3,1,2,33.33,-41.03,-156.62,74.56,-1.231,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.5,≥0.5,3,3,1,2,33.33,-41.03,-156.62,74.56,-1.231,0.0,2,2026-05-05/2p/+-0.23u,2026-05-06/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.4,-,2,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-05/1p/+-1.00u,2026-05-05/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.4,≥0.0,2,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-05/1p/+-1.00u,2026-05-05/1p/-1.00u
"[-149,-110]",A: 05-03..06,≥50,5,0.4,≥0.5,2,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-05/1p/+-1.00u,2026-05-05/1p/-1.00u
"[-149,-110]",B: 05-07..10,-,5,0.7,-,15,13,7,6,53.85,-3.01,-53.88,47.86,-0.391,0.667,3,2026-05-08/4p/+1.55u,2026-05-10/6p/-2.49u
"[-149,-110]",B: 05-07..10,-,5,0.7,≥0.0,15,13,7,6,53.85,-3.01,-53.88,47.86,-0.391,0.667,3,2026-05-08/4p/+1.55u,2026-05-10/6p/-2.49u
"[-149,-110]",B: 05-07..10,-,5,0.7,≥0.5,14,12,7,5,58.33,5.07,-47.48,57.62,0.609,0.667,3,2026-05-08/4p/+1.55u,2026-05-10/5p/-1.49u
"[-149,-110]",B: 05-07..10,-,5,0.5,-,12,10,6,4,60.0,7.31,-50.01,64.64,0.731,0.667,3,2026-05-08/2p/+1.67u,2026-05-10/5p/-1.49u
"[-149,-110]",B: 05-07..10,-,5,0.5,≥0.0,12,10,6,4,60.0,7.31,-50.01,64.64,0.731,0.667,3,2026-05-08/2p/+1.67u,2026-05-10/5p/-1.49u
"[-149,-110]",B: 05-07..10,-,5,0.5,≥0.5,12,10,6,4,60.0,7.31,-50.01,64.64,0.731,0.667,3,2026-05-08/2p/+1.67u,2026-05-10/5p/-1.49u
"[-149,-110]",B: 05-07..10,-,5,0.4,-,7,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/2p/+1.67u,2026-05-10/3p/-3.00u
"[-149,-110]",B: 05-07..10,-,5,0.4,≥0.0,7,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/2p/+1.67u,2026-05-10/3p/-3.00u
"[-149,-110]",B: 05-07..10,-,5,0.4,≥0.5,7,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/2p/+1.67u,2026-05-10/3p/-3.00u
"[-149,-110]",B: 05-07..10,≥50,5,0.7,-,8,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",B: 05-07..10,≥50,5,0.7,≥0.0,8,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",B: 05-07..10,≥50,5,0.7,≥0.5,8,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",B: 05-07..10,≥50,5,0.5,-,8,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",B: 05-07..10,≥50,5,0.5,≥0.0,8,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",B: 05-07..10,≥50,5,0.5,≥0.5,8,6,3,3,50.0,-10.27,-89.02,68.48,-0.616,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/4p/-2.20u
"[-149,-110]",B: 05-07..10,≥50,5,0.4,-,6,5,2,3,40.0,-28.32,-114.49,57.84,-1.416,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/3p/-3.00u
"[-149,-110]",B: 05-07..10,≥50,5,0.4,≥0.0,6,5,2,3,40.0,-28.32,-114.49,57.84,-1.416,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/3p/-3.00u
"[-149,-110]",B: 05-07..10,≥50,5,0.4,≥0.5,6,5,2,3,40.0,-28.32,-114.49,57.84,-1.416,0.667,3,2026-05-08/1p/+0.87u,2026-05-10/3p/-3.00u
"[-149,-110]",C: 05-11..15,-,5,0.7,-,14,14,9,5,64.29,15.38,-31.51,62.28,2.154,0.6,5,2026-05-11/2p/+1.52u,2026-05-14/1p/-1.00u
"[-149,-110]",C: 05-11..15,-,5,0.7,≥0.0,14,14,9,5,64.29,15.38,-31.51,62.28,2.154,0.6,5,2026-05-11/2p/+1.52u,2026-05-14/1p/-1.00u
"[-149,-110]",C: 05-11..15,-,5,0.7,≥0.5,14,14,9,5,64.29,15.38,-31.51,62.28,2.154,0.6,5,2026-05-11/2p/+1.52u,2026-05-14/1p/-1.00u
"[-149,-110]",C: 05-11..15,-,5,0.5,-,8,8,5,3,62.5,11.95,-52.36,76.27,0.956,0.5,4,2026-05-11/1p/+0.83u,2026-05-12/2p/-0.20u
"[-149,-110]",C: 05-11..15,-,5,0.5,≥0.0,8,8,5,3,62.5,11.95,-52.36,76.27,0.956,0.5,4,2026-05-11/1p/+0.83u,2026-05-12/2p/-0.20u
"[-149,-110]",C: 05-11..15,-,5,0.5,≥0.5,8,8,5,3,62.5,11.95,-52.36,76.27,0.956,0.5,4,2026-05-11/1p/+0.83u,2026-05-12/2p/-0.20u
"[-149,-110]",C: 05-11..15,-,5,0.4,-,6,6,4,2,66.67,18.72,-54.97,92.4,1.123,0.5,4,2026-05-11/1p/+0.83u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,-,5,0.4,≥0.0,6,6,4,2,66.67,18.72,-54.97,92.4,1.123,0.5,4,2026-05-11/1p/+0.83u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,-,5,0.4,≥0.5,6,6,4,2,66.67,18.72,-54.97,92.4,1.123,0.5,4,2026-05-11/1p/+0.83u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.7,-,6,6,4,2,66.67,18.14,-55.37,91.65,1.088,0.667,3,2026-05-12/1p/+0.91u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.7,≥0.0,6,6,4,2,66.67,18.14,-55.37,91.65,1.088,0.667,3,2026-05-12/1p/+0.91u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.7,≥0.5,6,6,4,2,66.67,18.14,-55.37,91.65,1.088,0.667,3,2026-05-12/1p/+0.91u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.5,-,4,4,2,2,50.0,-12.76,-111.58,86.06,-0.51,0.0,2,2026-05-13/2p/+-0.20u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.5,≥0.0,4,4,2,2,50.0,-12.76,-111.58,86.06,-0.51,0.0,2,2026-05-13/2p/+-0.20u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.5,≥0.5,4,4,2,2,50.0,-12.76,-111.58,86.06,-0.51,0.0,2,2026-05-13/2p/+-0.20u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.4,-,4,4,2,2,50.0,-12.76,-111.58,86.06,-0.51,0.0,2,2026-05-13/2p/+-0.20u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.4,≥0.0,4,4,2,2,50.0,-12.76,-111.58,86.06,-0.51,0.0,2,2026-05-13/2p/+-0.20u,2026-05-15/2p/-0.31u
"[-149,-110]",C: 05-11..15,≥50,5,0.4,≥0.5,4,4,2,2,50.0,-12.76,-111.58,86.06,-0.51,0.0,2,2026-05-13/2p/+-0.20u,2026-05-15/2p/-0.31u
"[-109,+100]",OVERALL,-,5,0.7,-,12,11,7,4,63.64,25.56,-33.29,84.4,2.811,0.625,8,2026-05-13/2p/+2.00u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.7,≥0.0,12,11,7,4,63.64,25.56,-33.29,84.4,2.811,0.625,8,2026-05-13/2p/+2.00u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.7,≥0.5,10,9,5,4,55.56,9.64,-58.33,77.62,0.868,0.429,7,2026-05-13/2p/+2.00u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.5,-,11,10,7,3,70.0,38.11,-20.98,97.2,3.811,0.714,7,2026-05-13/2p/+2.00u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.5,≥0.0,11,10,7,3,70.0,38.11,-20.98,97.2,3.811,0.714,7,2026-05-13/2p/+2.00u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.5,≥0.5,9,8,5,3,62.5,23.35,-47.45,94.15,1.868,0.5,6,2026-05-13/2p/+2.00u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.4,-,5,4,3,1,75.0,46.73,-49.18,142.65,1.869,0.667,3,2026-05-12/2p/+1.93u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.4,≥0.0,5,4,3,1,75.0,46.73,-49.18,142.65,1.869,0.667,3,2026-05-12/2p/+1.93u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,-,5,0.4,≥0.5,3,2,1,1,50.0,-3.7,-192.44,185.04,-0.074,0.5,2,2026-05-12/1p/+0.93u,2026-05-04/1p/-1.00u
"[-109,+100]",OVERALL,≥50,5,0.7,-,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",OVERALL,≥50,5,0.7,≥0.0,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",OVERALL,≥50,5,0.7,≥0.5,2,2,1,1,50.0,-3.7,-192.44,185.04,-0.074,0.0,1,2026-05-12/2p/+-0.07u,2026-05-12/2p/-0.07u
"[-109,+100]",OVERALL,≥50,5,0.5,-,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",OVERALL,≥50,5,0.5,≥0.0,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",OVERALL,≥50,5,0.5,≥0.5,2,2,1,1,50.0,-3.7,-192.44,185.04,-0.074,0.0,1,2026-05-12/2p/+-0.07u,2026-05-12/2p/-0.07u
"[-109,+100]",OVERALL,≥50,5,0.4,-,2,2,2,0,100.0,93.47,91.75,95.18,1.869,1.0,2,2026-05-14/1p/+0.94u,2026-05-12/1p/+0.93u
"[-109,+100]",OVERALL,≥50,5,0.4,≥0.0,2,2,2,0,100.0,93.47,91.75,95.18,1.869,1.0,2,2026-05-14/1p/+0.94u,2026-05-12/1p/+0.93u
"[-109,+100]",OVERALL,≥50,5,0.4,≥0.5,1,1,1,0,100.0,92.59,92.59,92.59,0.926,1.0,1,2026-05-12/1p/+0.93u,2026-05-12/1p/+0.93u
"[-109,+100]",A: 05-03..06,-,5,0.7,-,3,3,2,1,66.67,31.4,-97.38,160.17,0.942,0.667,3,2026-05-05/1p/+0.98u,2026-05-04/1p/-1.00u
"[-109,+100]",A: 05-03..06,-,5,0.7,≥0.0,3,3,2,1,66.67,31.4,-97.38,160.17,0.942,0.667,3,2026-05-05/1p/+0.98u,2026-05-04/1p/-1.00u
"[-109,+100]",A: 05-03..06,-,5,0.7,≥0.5,3,3,2,1,66.67,31.4,-97.38,160.17,0.942,0.667,3,2026-05-05/1p/+0.98u,2026-05-04/1p/-1.00u
"[-109,+100]",A: 05-03..06,-,5,0.5,-,3,3,2,1,66.67,31.4,-97.38,160.17,0.942,0.667,3,2026-05-05/1p/+0.98u,2026-05-04/1p/-1.00u
"[-109,+100]",A: 05-03..06,-,5,0.5,≥0.0,3,3,2,1,66.67,31.4,-97.38,160.17,0.942,0.667,3,2026-05-05/1p/+0.98u,2026-05-04/1p/-1.00u
"[-109,+100]",A: 05-03..06,-,5,0.5,≥0.5,3,3,2,1,66.67,31.4,-97.38,160.17,0.942,0.667,3,2026-05-05/1p/+0.98u,2026-05-04/1p/-1.00u
"[-109,+100]",A: 05-03..06,-,5,0.4,-,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-04/1p/+-1.00u,2026-05-04/1p/-1.00u
"[-109,+100]",A: 05-03..06,-,5,0.4,≥0.0,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-04/1p/+-1.00u,2026-05-04/1p/-1.00u
