family,side,band,fold,cfg,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
earned_runs,UNDER,"[-149,-110]",OVERALL,loose       EDG≥5  CV≤0.70,12,12,6,6,50.0,-8.19,-62.48,46.11,-0.983,0.5,8,2026-05-09/2p/+1.68u,2026-05-15/2p/-2.00u
earned_runs,UNDER,"[-149,-110]",OVERALL,medium      EDG≥5  CV≤0.50,3,3,1,2,33.33,-40.0,-157.6,77.6,-1.2,0.333,3,2026-05-08/1p/+0.80u,2026-05-10/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",OVERALL,edge-loose  EDG≥10 CV≤0.70,11,11,5,6,45.45,-16.84,-73.34,39.67,-1.852,0.429,7,2026-05-09/2p/+1.68u,2026-05-15/2p/-2.00u
earned_runs,UNDER,"[-149,-110]",OVERALL,edge-med    EDG≥10 CV≤0.50,3,3,1,2,33.33,-40.0,-157.6,77.6,-1.2,0.333,3,2026-05-08/1p/+0.80u,2026-05-10/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",OVERALL,HR65 loose  HR≥65 EDG≥5  CV≤0.70,2,2,1,1,50.0,-10.0,-186.4,166.4,-0.2,0.5,2,2026-05-05/1p/+0.80u,2026-05-15/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",A: 05-03..06,loose       EDG≥5  CV≤0.70,3,3,2,1,66.67,22.32,-97.62,142.26,0.67,0.667,3,2026-05-04/1p/+0.87u,2026-05-03/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",A: 05-03..06,edge-loose  EDG≥10 CV≤0.70,2,2,1,1,50.0,-10.0,-186.4,166.4,-0.2,0.5,2,2026-05-05/1p/+0.80u,2026-05-03/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",A: 05-03..06,HR65 loose  HR≥65 EDG≥5  CV≤0.70,1,1,1,0,100.0,80.0,80.0,80.0,0.8,1.0,1,2026-05-05/1p/+0.80u,2026-05-05/1p/+0.80u
earned_runs,UNDER,"[-149,-110]",B: 05-07..10,loose       EDG≥5  CV≤0.70,4,4,3,1,75.0,36.96,-52.71,126.63,1.478,0.667,3,2026-05-09/2p/+1.68u,2026-05-10/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",B: 05-07..10,medium      EDG≥5  CV≤0.50,2,2,1,1,50.0,-10.0,-186.4,166.4,-0.2,0.5,2,2026-05-08/1p/+0.80u,2026-05-10/1p/-1.00u
earned_runs,UNDER,"[-149,-110]",B: 05-07..10,edge-loose  EDG≥10 CV≤0.70,4,4,3,1,75.0,36.96,-52.71,126.63,1.478,0.667,3,2026-05-09/2p/+1.68u,2026-05-10/1p/-1.00u
