combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,devig_n_graded,devig_hr,devig_roi,onesided_std_n_graded,onesided_std_hr,onesided_std_roi,onesided_alt_n_graded,onesided_alt_hr,onesided_alt_roi,balanced_score
PROD_BASELINE_TYPICAL,128,25,103,17,8,0,68.0,48.41,82.8,4.36,-27.04,30.32,1.0908,25.0,-190.055,69.419,0.482,79.618,15,73.33,15.35,10,60.0,-12.12,0,,,
HR20=90 CV<==0.4,17,5,12,4,1,0,80.0,37.55,96.38,14.72,-43.33,46.6,0.7361,5.0,-185.471,65.543,0.36,90.695,3,66.67,-5.56,2,100.0,45.14,0,,,
HR20=90 CV<==0.5,24,9,15,7,2,0,77.78,45.26,93.68,14.42,-33.03,48.31,1.2977,9.0,-194.792,70.541,0.386,91.326,6,66.67,-1.75,3,100.0,46.76,0,,,
HR20=90 CV<==0.6,55,14,41,10,4,0,71.43,45.35,88.28,4.22,-28.23,36.1,0.5914,14.0,-174.273,68.424,0.476,91.124,8,62.5,-8.13,6,83.33,20.7,0,,,
HR20=90 CV<==0.7,91,19,72,15,4,0,78.95,56.67,91.49,13.43,-15.61,36.56,2.5517,19.0,-208.231,73.868,0.543,91.119,10,70.0,1.58,9,88.89,26.6,0,,,
HR20=90 CV<==0.8,106,21,85,16,5,0,76.19,54.91,89.37,9.55,-18.55,31.5,2.0062,21.0,-192.349,71.753,0.576,91.008,11,63.64,-7.66,10,90.0,28.49,0,,,
HR20=90 CV<==0.9,108,21,87,16,5,0,76.19,54.91,89.37,9.55,-18.55,31.5,2.0062,21.0,-192.954,71.67,0.581,90.989,11,63.64,-7.66,10,90.0,28.49,0,,,
HR20=90 CV<==1.0,118,24,94,18,6,0,75.0,55.1,88.0,7.51,-17.24,31.08,1.8015,24.0,-185.28,71.031,0.612,91.117,12,58.33,-15.35,12,91.67,30.37,0,,,
HR20=90 CV<==1.1,120,25,95,19,6,0,76.0,56.57,88.5,9.49,-17.43,32.93,2.373,25.0,-182.45,70.681,0.619,91.265,13,61.54,-9.78,12,91.67,30.37,0,,,
HR20=85 CV<==0.4,19,6,13,5,1,0,83.33,43.65,96.99,21.28,-28.74,49.28,1.2766,6.0,-187.789,66.984,0.354,90.265,3,66.67,-5.56,3,100.0,48.11,0,,,
HR20=85 CV<==0.5,27,11,16,9,2,0,81.82,52.3,94.86,21.26,-18.67,49.26,2.3382,11.0,-195.926,72.15,0.383,90.742,6,66.67,-1.75,5,100.0,48.87,0,,,
HR20=85 CV<==0.6,77,21,56,15,6,0,71.43,50.04,86.19,4.38,-23.74,27.73,0.9188,21.0,-189.636,69.661,0.489,89.425,11,63.64,-6.44,10,80.0,16.27,0,,,
HR20=85 CV<==0.7,147,35,112,25,10,0,71.43,54.94,83.67,2.88,-20.57,23.21,1.0071,35.0,-208.306,74.324,0.562,88.815,18,66.67,-2.63,17,76.47,8.71,0,,,
HR20=85 CV<==0.8,182,44,138,29,15,0,65.91,51.14,78.12,-4.86,-24.72,15.16,-2.1394,44.0,-198.725,72.564,0.601,88.525,24,58.33,-14.9,20,75.0,7.18,0,,,
HR20=85 CV<==0.9,201,53,148,37,16,0,69.81,56.46,80.48,0.7,-16.21,17.56,0.3688,53.0,-199.677,72.552,0.626,88.241,28,60.71,-11.41,25,80.0,14.26,0,,,
HR20=85 CV<==1.0,219,58,161,39,19,0,67.24,54.42,77.92,-3.17,-20.79,13.82,-1.8359,58.0,-195.968,72.278,0.651,88.317,30,56.67,-17.32,28,78.57,12.0,0,,,
HR20=85 CV<==1.1,224,60,164,40,20,0,66.67,54.06,77.27,-3.77,-20.64,13.32,-2.2644,60.0,-193.188,71.897,0.66,88.377,31,58.06,-14.92,29,75.86,8.14,0,,,
HR20=80 CV<==0.4,21,6,15,5,1,0,83.33,43.65,96.99,21.28,-28.74,49.28,1.2766,6.0,-197.095,67.554,0.347,89.374,3,66.67,-5.56,3,100.0,48.11,0,,,
HR20=80 CV<==0.5,38,14,24,12,2,0,85.71,60.06,95.99,31.08,1.19,56.65,4.3519,14.0,-202.632,72.609,0.397,87.856,8,75.0,19.31,6,100.0,46.78,0,,,
HR20=80 CV<==0.6,133,29,104,22,7,0,75.86,57.89,87.78,11.74,-13.06,33.38,3.4043,29.0,-175.218,69.48,0.499,85.548,13,69.23,7.24,16,81.25,15.39,0,,,
