combo_label,n,graded,wins,losses,pushes,ungraded,hit_rate_pct,roi_pct,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,balanced_score
PROD_BASELINE_TYPICAL,58,33,31,2,0,25,93.94,5.26,1.7353,33.0,-1190.017,92.828,0.403,89.611,0.7478
HR20=90 CV<==0.4,58,42,36,6,0,16,85.71,-7.97,-3.3493,42.0,-2051.569,87.035,0.324,96.073,0.5742
HR20=90 CV<==0.5,95,68,62,6,0,27,91.18,-2.86,-1.9471,68.0,-2161.811,86.435,0.372,95.212,0.7146
HR20=90 CV<==0.6,114,80,74,6,0,34,92.5,-1.21,-0.9657,80.0,-2083.649,86.392,0.402,95.141,0.7475
HR20=90 CV<==0.7,129,86,80,6,0,43,93.02,0.13,0.1108,86.0,-1953.899,85.503,0.429,94.832,0.7691
HR20=90 CV<==0.8,132,87,81,6,0,45,93.1,0.37,0.3209,87.0,-1919.833,85.24,0.436,94.73,0.7729
HR20=90 CV<==0.9,133,88,82,6,0,45,93.18,0.59,0.5209,88.0,-1909.158,85.104,0.439,94.694,0.7764
HR20=90 CV<==1.0,133,88,82,6,0,45,93.18,0.59,0.5209,88.0,-1909.158,85.104,0.439,94.694,0.7764
HR20=90 CV<==1.1,133,88,82,6,0,45,93.18,0.59,0.5209,88.0,-1909.158,85.104,0.439,94.694,0.7764
HR20=85 CV<==0.4,71,50,43,7,0,21,86.0,-6.61,-3.3032,50.0,-1813.169,85.645,0.329,94.375,0.6024
HR20=85 CV<==0.5,117,84,77,7,0,33,91.67,-0.98,-0.826,84.0,-1960.179,85.265,0.376,93.689,0.7553
HR20=85 CV<==0.6,139,98,90,8,0,41,91.84,-0.56,-0.5443,98.0,-1902.223,85.344,0.404,93.679,0.7786
HR20=85 CV<==0.7,166,109,101,8,0,57,92.66,1.05,1.1429,109.0,-1742.645,84.571,0.441,93.034,0.8098
HR20=85 CV<==0.8,181,113,103,10,0,68,91.15,-0.32,-0.3613,113.0,-1631.453,83.484,0.466,92.456,0.8016
HR20=85 CV<==0.9,184,114,104,10,0,70,91.23,-0.14,-0.1613,114.0,-1612.022,83.238,0.473,92.361,0.8048
HR20=85 CV<==1.0,185,114,104,10,0,71,91.23,-0.14,-0.1613,114.0,-1605.168,83.312,0.475,92.322,0.8048
HR20=85 CV<==1.1,186,114,104,10,0,72,91.23,-0.14,-0.1613,114.0,-1602.511,83.232,0.478,92.303,0.8048
HR20=80 CV<==0.4,85,61,53,8,0,24,86.89,-4.97,-3.0302,61.0,-1711.859,84.186,0.333,92.311,0.645
HR20=80 CV<==0.5,152,111,100,11,0,41,90.09,-1.79,-1.9837,111.0,-1788.132,83.785,0.383,90.848,0.7842
HR20=80 CV<==0.6,182,131,119,12,0,51,90.84,-0.86,-1.1207,131.0,-1739.698,83.727,0.411,90.756,0.8209
HR20=80 CV<==0.7,228,150,136,14,0,78,90.67,-0.37,-0.558,150.0,-1559.702,82.753,0.458,89.752,0.8463
HR20=80 CV<==0.8,253,158,141,17,0,95,89.24,-1.44,-2.2792,158.0,-1444.087,81.773,0.487,89.162,0.8261
HR20=80 CV<==0.9,262,159,142,17,0,103,89.31,-1.31,-2.0792,159.0,-1408.962,81.437,0.5,88.923,0.8283
HR20=80 CV<==1.0,270,162,144,18,0,108,88.89,-1.53,-2.4816,162.0,-1377.663,81.334,0.513,88.69,0.8208
HR20=80 CV<==1.1,273,164,144,20,0,109,87.8,-2.73,-4.4816,164.0,-1371.106,81.216,0.518,88.627,0.7952
HR20=75 CV<==0.4,94,67,59,8,0,27,88.06,-2.91,-1.9505,67.0,-1618.191,83.461,0.334,90.683,0.6884
HR20=75 CV<==0.5,170,125,113,12,0,45,90.4,-0.42,-0.5277,125.0,-1676.694,83.053,0.385,89.252,0.817
HR20=75 CV<==0.6,206,147,133,14,0,59,90.48,-0.42,-0.6193,147.0,-1633.316,83.048,0.414,88.997,0.8458
HR20=75 CV<==0.7,265,170,153,17,0,95,90.0,-0.25,-0.4261,170.0,-1443.404,82.16,0.465,87.776,0.8475
HR20=75 CV<==0.8,302,184,163,21,0,118,88.59,-1.27,-2.3288,184.0,-1326.586,81.099,0.5,86.965,0.8197
HR20=75 CV<==0.9,318,189,166,23,0,129,87.83,-1.91,-3.6168,189.0,-1280.959,80.71,0.518,86.567,0.8038
HR20=75 CV<==1.0,334,192,168,24,0,142,87.5,-2.09,-4.0192,192.0,-1237.039,80.544,0.538,86.158,0.7978
HR20=75 CV<==1.1,338,195,169,26,0,143,86.67,-2.96,-5.7794,195.0,-1230.565,80.493,0.544,86.097,0.7788
HR20=70 CV<==0.4,100,72,64,8,0,28,88.89,-1.33,-0.9568,72.0,-1558.13,83.097,0.337,89.579,0.7215
HR20=70 CV<==0.5,183,136,122,14,0,47,89.71,-0.55,-0.7482,136.0,-1603.913,82.422,0.388,88.033,0.8272
HR20=70 CV<==0.6,224,161,145,16,0,63,90.06,-0.15,-0.236,161.0,-1556.054,82.176,0.418,87.616,0.8485
HR20=70 CV<==0.7,295,192,171,21,0,103,89.06,-0.63,-1.2056,192.0,-1372.617,81.395,0.472,86.121,0.8319
HR20=70 CV<==0.8,339,209,183,26,0,130,87.56,-1.79,-3.7451,209.0,-1259.947,80.23,0.509,85.246,0.8016
HR20=70 CV<==0.9,363,216,188,28,0,147,87.04,-2.19,-4.7225,216.0,-1205.314,79.705,0.532,84.645,0.7911
HR20=70 CV<==1.0,386,222,192,30,0,164,86.49,-2.48,-5.5077,222.0,-1154.961,79.492,0.557,84.122,0.7813
HR20=70 CV<==1.1,399,230,196,34,0,169,85.22,-3.73,-8.588,230.0,-1133.253,79.263,0.573,83.771,0.753
HR20=65 CV<==0.4,110,80,70,10,0,30,87.5,-1.87,-1.4965,80.0,-1459.536,82.464,0.339,87.566,0.7096
HR20=65 CV<==0.5,197,148,132,16,0,49,89.19,-0.4,-0.5979,148.0,-1526.406,82.019,0.388,86.567,0.8359
HR20=65 CV<==0.6,246,180,160,20,0,66,88.89,-0.85,-1.5254,180.0,-1480.394,81.485,0.42,85.785,0.8276
HR20=65 CV<==0.7,322,213,188,25,0,109,88.26,-1.0,-2.12,213.0,-1320.59,80.747,0.473,84.511,0.8183
HR20=65 CV<==0.8,370,233,203,30,0,137,87.12,-1.67,-3.8821,233.0,-1213.519,79.664,0.509,83.704,0.7973
HR20=65 CV<==0.9,407,241,209,32,0,166,86.72,-2.0,-4.8195,241.0,-1147.332,79.049,0.54,82.669,0.789
HR20=65 CV<==1.0,438,250,213,37,0,188,85.2,-3.44,-8.6047,250.0,-1093.103,78.733,0.569,82.004,0.7556
HR20=65 CV<==1.1,455,258,217,41,0,197,84.11,-4.53,-11.685,258.0,-1069.33,78.426,0.587,81.608,0.7311
HR20=60 CV<==0.4,113,81,71,10,0,32,87.65,-1.49,-1.2108,81.0,-1431.496,81.937,0.338,86.93,0.7167
HR20=60 CV<==0.5,206,153,134,19,0,53,87.58,-1.99,-3.0455,153.0,-1478.699,81.271,0.389,85.53,0.7998
HR20=60 CV<==0.6,258,187,164,23,0,71,87.7,-1.96,-3.6689,187.0,-1433.729,80.918,0.421,84.698,0.8016
HR20=60 CV<==0.7,340,224,194,30,0,116,86.61,-2.59,-5.8001,224.0,-1278.094,80.015,0.475,83.346,0.7817
HR20=60 CV<==0.8,389,245,210,35,0,144,85.71,-3.01,-7.3623,245.0,-1179.496,79.079,0.51,82.662,0.7663
HR20=60 CV<==0.9,432,253,216,37,0,179,85.38,-3.28,-8.2997,253.0,-1114.146,78.468,0.544,81.472,0.7594
HR20=60 CV<==1.0,467,264,222,42,0,203,84.09,-4.41,-11.6324,264.0,-1059.85,78.111,0.574,80.751,0.732
HR20=60 CV<==1.1,487,275,229,46,0,212,83.27,-5.08,-13.9631,275.0,-1034.891,77.815,0.594,80.305,0.7151
HR20=55 CV<==0.4,113,81,71,10,0,32,87.65,-1.49,-1.2108,81.0,-1431.496,81.937,0.338,86.93,0.7167
HR20=55 CV<==0.5,207,154,135,19,0,53,87.66,-1.77,-2.725,154.0,-1473.063,81.164,0.39,85.398,0.8031
HR20=55 CV<==0.6,260,188,165,23,0,72,87.77,-1.78,-3.3484,188.0,-1425.288,80.764,0.422,84.495,0.8043
HR20=55 CV<==0.7,345,226,196,30,0,119,86.73,-2.31,-5.2199,226.0,-1264.846,79.813,0.477,82.967,0.786
HR20=55 CV<==0.8,397,250,213,37,0,147,85.2,-3.43,-8.5821,250.0,-1163.587,78.922,0.513,82.136,0.7557
HR20=55 CV<==0.9,446,262,223,39,0,184,85.11,-3.42,-8.9639,262.0,-1096.751,78.283,0.55,80.674,0.7547
HR20=55 CV<==1.0,484,273,229,44,0,211,83.88,-4.5,-12.2966,273.0,-1041.008,77.999,0.581,79.877,0.7285
HR20=55 CV<==1.1,506,285,236,49,0,221,82.81,-5.48,-15.6273,285.0,-1016.071,77.683,0.601,79.386,0.7053
HR20=50 CV<==0.4,113,81,71,10,0,32,87.65,-1.49,-1.2108,81.0,-1431.496,81.937,0.338,86.93,0.7167
HR20=50 CV<==0.5,213,158,139,19,0,55,87.97,-0.93,-1.4704,158.0,-1442.507,80.99,0.391,84.462,0.8153
HR20=50 CV<==0.6,272,195,171,24,0,77,87.69,-1.36,-2.6438,195.0,-1380.239,80.205,0.425,83.054,0.8075
HR20=50 CV<==0.7,365,239,206,33,0,126,86.19,-2.22,-5.3073,239.0,-1217.438,78.996,0.481,81.245,0.7802
HR20=50 CV<==0.8,417,263,223,40,0,154,84.79,-3.3,-8.6695,263.0,-1126.947,78.25,0.515,80.669,0.7519
HR20=50 CV<==0.9,466,275,233,42,0,191,84.73,-3.29,-9.0513,275.0,-1066.833,77.709,0.55,79.424,0.7512
HR20=50 CV<==1.0,511,288,241,47,0,223,83.68,-4.1,-11.8147,288.0,-1006.742,77.3,0.585,78.386,0.73
HR20=50 CV<==1.1,534,300,248,52,0,234,82.67,-5.05,-15.1453,300.0,-983.26,76.986,0.605,77.929,0.7079
HR20=90 TP=75,108,75,71,4,0,33,94.67,1.17,0.8749,75.0,-2179.398,89.298,0.429,95.263,0.7644
HR20=90 TP=70,121,82,78,4,0,39,95.12,2.27,1.8584,82.0,-2021.471,87.451,0.434,94.877,0.785
HR20=90 TP=65,126,85,81,4,0,41,95.29,2.57,2.1876,85.0,-1975.69,86.631,0.438,94.85,0.7921
HR20=90 TP=60,131,88,82,6,0,43,93.18,0.59,0.5209,88.0,-1929.328,85.723,0.438,94.748,0.7764
HR20=90 TP=55,131,88,82,6,0,43,93.18,0.59,0.5209,88.0,-1929.328,85.723,0.438,94.748,0.7764
