combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,devig_n_graded,devig_hr,devig_roi,onesided_std_n_graded,onesided_std_hr,onesided_std_roi,onesided_alt_n_graded,onesided_alt_hr,onesided_alt_roi,balanced_score
PROD_BASELINE_TYPICAL,129,33,96,31,2,0,93.94,80.39,98.32,5.26,-6.37,13.29,1.7353,33.0,-1044.326,92.177,0.401,88.748,0,,,33,93.94,5.26,0,,,
HR20=90 CV<==0.4,125,42,83,36,6,0,85.71,72.16,93.28,-7.97,-20.53,2.79,-3.3493,42.0,-2019.216,88.009,0.318,95.79,0,,,42,85.71,-7.97,0,,,
HR20=90 CV<==0.5,195,68,127,62,6,0,91.18,82.06,95.89,-2.86,-10.25,3.71,-1.9471,68.0,-2206.908,87.941,0.364,95.114,0,,,68,91.18,-2.86,0,,,
HR20=90 CV<==0.6,236,80,156,74,6,0,92.5,84.59,96.52,-1.21,-7.27,4.56,-0.9657,80.0,-2120.153,87.264,0.397,95.138,0,,,80,92.5,-1.21,0,,,0.7475
HR20=90 CV<==0.7,264,86,178,80,6,0,93.02,85.6,96.76,0.13,-5.89,5.47,0.1108,86.0,-1993.542,86.616,0.423,94.84,0,,,86,93.02,0.13,0,,,0.7691
HR20=90 CV<==0.8,274,87,187,81,6,0,93.1,85.76,96.8,0.37,-5.67,5.59,0.3209,87.0,-1936.219,86.4,0.435,94.666,0,,,87,93.1,0.37,0,,,0.7729
HR20=90 CV<==0.9,275,88,187,82,6,0,93.18,85.91,96.84,0.59,-5.83,6.3,0.5209,88.0,-1930.996,86.33,0.436,94.649,0,,,88,93.18,0.59,0,,,0.7764
HR20=90 CV<==1.0,275,88,187,82,6,0,93.18,85.91,96.84,0.59,-5.83,6.3,0.5209,88.0,-1930.996,86.33,0.436,94.649,0,,,88,93.18,0.59,0,,,0.7764
HR20=90 CV<==1.1,276,88,188,82,6,0,93.18,85.91,96.84,0.59,-5.83,6.3,0.5209,88.0,-1926.13,86.313,0.438,94.632,0,,,88,93.18,0.59,0,,,0.7764
HR20=85 CV<==0.4,145,50,95,43,7,0,86.0,73.81,93.05,-6.61,-17.7,3.14,-3.3032,50.0,-1870.662,87.134,0.321,94.53,0,,,50,86.0,-6.61,0,,,
HR20=85 CV<==0.5,235,84,151,77,7,0,91.67,83.78,95.9,-0.98,-8.02,4.92,-0.826,84.0,-2047.911,87.232,0.369,93.737,0,,,84,91.67,-0.98,0,,,0.7553
HR20=85 CV<==0.6,284,98,186,90,8,0,91.84,84.71,95.81,-0.56,-7.04,5.17,-0.5443,98.0,-1967.113,86.629,0.4,93.745,0,,,98,91.84,-0.56,0,,,0.7786
HR20=85 CV<==0.7,332,109,223,101,8,0,92.66,86.18,96.23,1.05,-4.98,6.32,1.1429,109.0,-1811.069,86.001,0.435,93.178,0,,,109,92.66,1.05,0,,,0.8098
HR20=85 CV<==0.8,369,113,256,103,10,0,91.15,84.47,95.12,-0.32,-6.65,5.14,-0.3613,113.0,-1671.36,85.342,0.467,92.498,0,,,113,91.15,-0.32,0,,,0.8016
HR20=85 CV<==0.9,372,114,258,104,10,0,91.23,84.6,95.17,-0.14,-6.3,5.2,-0.1613,114.0,-1661.427,85.205,0.47,92.451,0,,,114,91.23,-0.14,0,,,0.8048
HR20=85 CV<==1.0,375,114,261,104,10,0,91.23,84.6,95.17,-0.14,-6.3,5.2,-0.1613,114.0,-1650.997,85.179,0.474,92.391,0,,,114,91.23,-0.14,0,,,0.8048
HR20=85 CV<==1.1,377,114,263,104,10,0,91.23,84.6,95.17,-0.14,-6.3,5.2,-0.1613,114.0,-1646.745,85.125,0.477,92.376,0,,,114,91.23,-0.14,0,,,0.8048
HR20=80 CV<==0.4,181,61,120,53,8,0,86.89,76.2,93.2,-4.97,-15.15,3.64,-3.0302,61.0,-1746.652,85.486,0.328,92.072,1,100.0,27.62,60,86.67,-5.51,0,,,
HR20=80 CV<==0.5,328,111,217,100,11,0,90.09,83.12,94.38,-1.79,-8.22,3.96,-1.9837,111.0,-1783.134,85.485,0.382,90.287,1,100.0,27.62,110,90.0,-2.05,0,,,0.7842
HR20=80 CV<==0.6,393,131,262,119,12,0,90.84,84.67,94.68,-0.86,-6.54,3.95,-1.1207,131.0,-1727.336,85.083,0.409,90.353,1,100.0,27.62,130,90.77,-1.07,0,,,0.8209
HR20=80 CV<==0.7,488,150,338,136,14,0,90.67,84.94,94.36,-0.37,-5.5,5.01,-0.558,150.0,-1547.109,84.628,0.455,89.325,1,100.0,27.62,149,90.6,-0.56,0,,,0.8463
HR20=80 CV<==0.8,543,158,385,141,17,0,89.24,83.44,93.17,-1.44,-7.2,3.96,-2.2792,158.0,-1438.405,84.127,0.486,88.841,1,100.0,27.62,157,89.17,-1.63,0,,,0.8261
HR20=80 CV<==0.9,554,159,395,142,17,0,89.31,83.54,93.22,-1.31,-6.88,3.92,-2.0792,159.0,-1418.09,83.869,0.493,88.711,1,100.0,27.62,158,89.24,-1.49,0,,,0.8283
HR20=80 CV<==1.0,586,162,424,144,18,0,88.89,83.12,92.86,-1.53,-7.0,3.91,-2.4816,162.0,-1362.254,83.719,0.519,88.275,1,100.0,27.62,161,88.82,-1.71,0,,,0.8208
HR20=80 CV<==1.1,591,164,427,144,20,0,87.8,81.91,91.97,-2.73,-8.08,2.78,-4.4816,164.0,-1356.494,83.652,0.523,88.237,1,100.0,27.62,163,87.73,-2.92,0,,,0.7952
HR20=75 CV<==0.4,195,67,128,59,8,0,88.06,78.17,93.82,-2.91,-11.49,5.1,-1.9505,67.0,-1682.185,84.946,0.329,90.89,1,100.0,27.62,66,87.88,-3.37,0,,,
HR20=75 CV<==0.5,364,125,239,113,12,0,90.4,83.97,94.42,-0.42,-6.67,4.93,-0.5277,125.0,-1707.544,84.807,0.384,88.857,1,100.0,27.62,124,90.32,-0.65,0,,,0.817
HR20=75 CV<==0.6,444,147,297,133,14,0,90.48,84.65,94.24,-0.42,-6.09,4.33,-0.6193,147.0,-1674.577,84.335,0.413,88.703,1,100.0,27.62,146,90.41,-0.61,0,,,0.8458
HR20=75 CV<==0.7,565,170,395,153,17,0,90.0,84.57,93.66,-0.25,-5.48,4.73,-0.4261,170.0,-1476.179,84.028,0.464,87.484,1,100.0,27.62,169,89.94,-0.42,0,,,0.8475
HR20=75 CV<==0.8,642,184,458,163,21,0,88.59,83.18,92.41,-1.27,-7.16,3.79,-2.3288,184.0,-1358.949,83.572,0.499,86.818,1,100.0,27.62,183,88.52,-1.42,0,,,0.8197
HR20=75 CV<==0.9,668,189,479,166,23,0,87.83,82.4,91.75,-1.91,-7.39,3.28,-3.6168,189.0,-1323.448,83.17,0.513,86.478,1,100.0,27.62,188,87.77,-2.07,0,,,0.8038
HR20=75 CV<==1.0,712,192,520,168,24,0,87.5,82.07,91.45,-2.09,-7.91,3.09,-4.0192,192.0,-1265.758,83.001,0.539,86.025,1,100.0,27.62,191,87.43,-2.25,0,,,0.7978
HR20=75 CV<==1.1,718,195,523,169,26,0,86.67,81.18,90.74,-2.96,-8.27,2.3,-5.7794,195.0,-1260.507,82.965,0.544,85.994,1,100.0,27.62,194,86.6,-3.12,0,,,0.7788
HR20=70 CV<==0.4,211,72,139,64,8,0,88.89,79.58,94.26,-1.33,-10.34,6.5,-0.9568,72.0,-1596.313,84.229,0.331,89.437,1,100.0,27.62,71,88.73,-1.74,0,,,
HR20=70 CV<==0.5,396,136,260,122,14,0,89.71,83.46,93.77,-0.55,-7.15,4.77,-0.7482,136.0,-1618.162,83.876,0.386,87.482,1,100.0,27.62,135,89.63,-0.76,0,,,0.8272
HR20=70 CV<==0.6,491,161,330,145,16,0,90.06,84.47,93.79,-0.15,-5.53,4.89,-0.236,161.0,-1574.974,83.339,0.417,87.075,1,100.0,27.62,160,90.0,-0.32,0,,,0.8485
HR20=70 CV<==0.7,629,192,437,171,21,0,89.06,83.86,92.73,-0.63,-5.75,4.11,-1.2056,192.0,-1392.981,83.147,0.468,85.851,1,100.0,27.62,191,89.01,-0.78,0,,,0.8319
HR20=70 CV<==0.8,727,209,518,183,26,0,87.56,82.4,91.37,-1.79,-7.0,3.06,-3.7451,209.0,-1282.486,82.682,0.507,84.995,1,100.0,27.62,208,87.5,-1.93,0,,,0.8016
HR20=70 CV<==0.9,768,216,552,188,28,0,87.04,81.9,90.88,-2.19,-7.24,2.78,-4.7225,216.0,-1237.984,82.249,0.526,84.474,1,100.0,27.62,215,86.98,-2.32,0,,,0.7911
HR20=70 CV<==1.0,831,222,609,192,30,0,86.49,81.36,90.37,-2.48,-7.86,2.78,-5.5077,222.0,-1173.325,82.052,0.558,83.872,1,100.0,27.62,221,86.43,-2.62,0,,,0.7813
HR20=70 CV<==1.1,858,230,628,196,34,0,85.22,80.05,89.22,-3.73,-9.1,1.72,-8.588,230.0,-1150.301,81.858,0.573,83.522,1,100.0,27.62,229,85.15,-3.87,0,,,0.753
HR20=65 CV<==0.4,226,80,146,70,10,0,87.5,78.5,93.07,-1.87,-10.51,6.02,-1.4965,80.0,-1521.496,83.559,0.332,87.959,2,100.0,26.31,78,87.18,-2.59,0,,,0.7096
HR20=65 CV<==0.5,422,148,274,132,16,0,89.19,83.16,93.24,-0.4,-6.78,5.46,-0.5979,148.0,-1551.917,83.38,0.386,86.224,2,100.0,26.31,146,89.04,-0.77,0,,,0.8359
HR20=65 CV<==0.6,532,180,352,160,20,0,88.89,83.46,92.69,-0.85,-6.45,4.01,-1.5254,180.0,-1521.88,82.648,0.419,85.545,2,100.0,26.31,178,88.76,-1.15,0,,,0.8276
HR20=65 CV<==0.7,684,213,471,188,25,0,88.26,83.25,91.92,-1.0,-5.84,3.61,-2.12,213.0,-1345.731,82.616,0.47,84.323,2,100.0,26.31,211,88.15,-1.25,0,,,0.8183
