combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,devig_n_graded,devig_hr,devig_roi,onesided_std_n_graded,onesided_std_hr,onesided_std_roi,onesided_alt_n_graded,onesided_alt_hr,onesided_alt_roi,balanced_score
PROD_BASELINE_TYPICAL,50323,699,49624,244,455,0,34.91,31.46,38.51,5.9,-4.83,16.84,41.27,699.0,2554.457,18.077,1.398,12.253,294,36.39,1.43,405,33.83,9.15,0,,,0.409
HR20=90 CV<==0.4,10,0,10,0,0,0,,,,,,,0.0,0.0,209.9,31.839,0.357,91.091,0,,,0,,,0,,,
HR20=90 CV<==0.5,13,0,13,0,0,0,,,,,,,0.0,0.0,202.692,32.732,0.378,91.608,0,,,0,,,0,,,
HR20=90 CV<==0.6,21,0,21,0,0,0,,,,,,,0.0,0.0,193.667,33.602,0.435,90.996,0,,,0,,,0,,,
HR20=90 CV<==0.7,28,1,27,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,199.536,32.95,0.489,90.925,1,0.0,-100.0,0,,,0,,,
HR20=90 CV<==0.8,32,1,31,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,194.594,33.512,0.524,90.966,1,0.0,-100.0,0,,,0,,,
HR20=90 CV<==0.9,34,1,33,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,194.912,33.464,0.543,90.909,1,0.0,-100.0,0,,,0,,,
HR20=90 CV<==1.0,34,1,33,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,194.912,33.464,0.543,90.909,1,0.0,-100.0,0,,,0,,,
HR20=90 CV<==1.1,34,1,33,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,194.912,33.464,0.543,90.909,1,0.0,-100.0,0,,,0,,,
HR20=85 CV<==0.4,12,0,12,0,0,0,,,,,,,0.0,0.0,216.583,31.256,0.34,90.492,0,,,0,,,0,,,
HR20=85 CV<==0.5,15,0,15,0,0,0,,,,,,,0.0,0.0,209.0,32.147,0.362,91.061,0,,,0,,,0,,,
HR20=85 CV<==0.6,34,0,34,0,0,0,,,,,,,0.0,0.0,198.882,33.155,0.464,88.85,0,,,0,,,0,,,
HR20=85 CV<==0.7,45,1,44,0,1,0,0.0,0.0,79.35,-100.0,-100.0,-100.0,-1.0,1.0,199.6,33.049,0.508,88.798,1,0.0,-100.0,0,,,0,,,
HR20=85 CV<==0.8,56,2,54,0,2,0,0.0,0.0,65.76,-100.0,-100.0,-100.0,-2.0,2.0,196.607,33.276,0.558,88.498,2,0.0,-100.0,0,,,0,,,
HR20=85 CV<==0.9,61,2,59,0,2,0,0.0,0.0,65.76,-100.0,-100.0,-100.0,-2.0,2.0,196.508,33.257,0.581,88.376,2,0.0,-100.0,0,,,0,,,
HR20=85 CV<==1.0,62,2,60,0,2,0,0.0,0.0,65.76,-100.0,-100.0,-100.0,-2.0,2.0,196.081,33.309,0.588,88.321,2,0.0,-100.0,0,,,0,,,
HR20=85 CV<==1.1,62,2,60,0,2,0,0.0,0.0,65.76,-100.0,-100.0,-100.0,-2.0,2.0,196.081,33.309,0.588,88.321,2,0.0,-100.0,0,,,0,,,
HR20=80 CV<==0.4,15,1,14,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,224.933,30.215,0.341,88.616,1,100.0,265.0,0,,,0,,,
HR20=80 CV<==0.5,19,1,18,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,214.789,31.36,0.365,88.907,1,100.0,265.0,0,,,0,,,
HR20=80 CV<==0.6,46,1,45,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,195.804,33.517,0.466,86.614,1,100.0,265.0,0,,,0,,,
HR20=80 CV<==0.7,85,3,82,2,1,0,66.67,20.77,93.85,117.0,-100.0,265.0,3.51,3.0,191.718,33.864,0.551,84.697,3,66.67,117.0,0,,,0,,,
HR20=80 CV<==0.8,122,4,118,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,190.082,33.992,0.615,83.928,4,50.0,62.75,0,,,0,,,
HR20=80 CV<==0.9,151,4,147,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,188.166,34.15,0.661,83.406,4,50.0,62.75,0,,,0,,,
HR20=80 CV<==1.0,160,4,156,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,186.931,34.29,0.677,83.245,4,50.0,62.75,0,,,0,,,
HR20=80 CV<==1.1,164,4,160,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,186.512,34.304,0.686,83.166,4,50.0,62.75,0,,,0,,,
HR20=75 CV<==0.4,15,1,14,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,224.933,30.215,0.341,88.616,1,100.0,265.0,0,,,0,,,
HR20=75 CV<==0.5,20,1,19,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,211.6,31.681,0.369,88.351,1,100.0,265.0,0,,,0,,,
HR20=75 CV<==0.6,55,1,54,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,189.545,34.264,0.476,84.764,1,100.0,265.0,0,,,0,,,
HR20=75 CV<==0.7,121,3,118,2,1,0,66.67,20.77,93.85,117.0,-100.0,265.0,3.51,3.0,183.818,34.805,0.577,81.835,3,66.67,117.0,0,,,0,,,
HR20=75 CV<==0.8,183,4,179,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,183.197,34.81,0.64,80.967,4,50.0,62.75,0,,,0,,,
HR20=75 CV<==0.9,252,4,248,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,182.929,34.823,0.696,80.059,4,50.0,62.75,0,,,0,,,
HR20=75 CV<==1.0,277,4,273,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,182.448,34.858,0.718,79.783,4,50.0,62.75,0,,,0,,,
HR20=75 CV<==1.1,293,5,288,2,3,0,40.0,11.76,76.93,30.2,-100.0,176.2,1.51,5.0,181.949,34.892,0.736,79.59,5,40.0,30.2,0,,,0,,,
HR20=70 CV<==0.4,17,1,16,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,229.588,32.064,0.335,86.426,1,100.0,265.0,0,,,0,,,
HR20=70 CV<==0.5,27,1,26,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,205.074,34.022,0.382,83.593,1,100.0,265.0,0,,,0,,,
HR20=70 CV<==0.6,73,1,72,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,187.0,35.07,0.477,81.124,1,100.0,265.0,0,,,0,,,
HR20=70 CV<==0.7,178,3,175,2,1,0,66.67,20.77,93.85,117.0,-100.0,265.0,3.51,3.0,181.949,35.199,0.585,78.045,3,66.67,117.0,0,,,0,,,
HR20=70 CV<==0.8,283,5,278,2,3,0,40.0,11.76,76.93,30.2,-100.0,176.2,1.51,5.0,180.763,35.216,0.652,77.092,5,40.0,30.2,0,,,0,,,
HR20=70 CV<==0.9,392,5,387,2,3,0,40.0,11.76,76.93,30.2,-100.0,176.2,1.51,5.0,179.676,35.28,0.705,76.466,5,40.0,30.2,0,,,0,,,
HR20=70 CV<==1.0,451,5,446,2,3,0,40.0,11.76,76.93,30.2,-100.0,176.2,1.51,5.0,179.335,35.313,0.736,76.008,5,40.0,30.2,0,,,0,,,
HR20=70 CV<==1.1,498,6,492,2,4,0,33.33,9.68,70.0,8.5,-100.0,130.17,0.51,6.0,179.568,35.256,0.766,75.642,6,33.33,8.5,0,,,0,,,
HR20=65 CV<==0.4,20,1,19,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,230.2,32.06,0.332,83.379,1,100.0,265.0,0,,,0,,,
HR20=65 CV<==0.5,32,1,31,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,208.844,33.455,0.38,80.844,1,100.0,265.0,0,,,0,,,
HR20=65 CV<==0.6,78,1,77,1,0,0,100.0,20.65,100.0,265.0,265.0,265.0,2.65,1.0,189.705,34.77,0.47,80.154,1,100.0,265.0,0,,,0,,,
HR20=65 CV<==0.7,224,4,220,2,2,0,50.0,15.0,85.0,62.75,-100.0,225.5,2.51,4.0,180.862,35.353,0.594,75.396,4,50.0,62.75,0,,,0,,,
HR20=65 CV<==0.8,367,7,360,2,5,0,28.57,8.22,64.11,-7.0,-100.0,97.29,-0.49,7.0,178.97,36.051,0.661,74.347,7,28.57,-7.0,0,,,0,,,
HR20=65 CV<==0.9,517,8,509,3,5,0,37.5,13.68,69.43,13.25,-68.12,130.38,1.06,8.0,177.441,35.991,0.713,73.71,8,37.5,13.25,0,,,0,,,
HR20=65 CV<==1.0,605,10,595,5,5,0,50.0,23.66,76.34,41.6,-46.4,131.2,4.16,10.0,177.238,35.97,0.748,73.22,9,44.44,28.44,1,100.0,160.0,0,,,
HR20=65 CV<==1.1,661,12,649,6,6,0,50.0,25.38,74.62,43.17,-36.67,127.42,5.18,12.0,177.408,35.885,0.773,73.03,11,45.45,32.55,1,100.0,160.0,0,,,
HR20=60 CV<==0.4,23,2,21,1,1,0,50.0,9.45,90.55,82.5,-100.0,265.0,1.65,2.0,228.435,31.837,0.329,80.487,2,50.0,82.5,0,,,0,,,
HR20=60 CV<==0.5,40,4,36,3,1,0,75.0,30.06,95.44,158.75,-8.75,292.5,6.35,4.0,210.825,33.195,0.386,76.948,4,75.0,158.75,0,,,0,,,
HR20=60 CV<==0.6,92,4,88,3,1,0,75.0,30.06,95.44,158.75,-8.75,292.5,6.35,4.0,195.293,36.006,0.472,77.206,4,75.0,158.75,0,,,0,,,
HR20=60 CV<==0.7,246,8,238,5,3,0,62.5,30.57,86.32,98.25,-11.75,204.38,7.86,8.0,184.22,35.733,0.59,74.074,8,62.5,98.25,0,,,0,,,
HR20=60 CV<==0.8,420,12,408,5,7,0,41.67,19.33,68.05,32.17,-52.33,129.17,3.86,12.0,179.998,36.35,0.664,72.576,12,41.67,32.17,0,,,0,,,
HR20=60 CV<==0.9,595,14,581,7,7,0,50.0,26.8,73.2,54.36,-27.5,133.93,7.61,14.0,178.247,36.201,0.716,71.946,14,50.0,54.36,0,,,0,,,
HR20=60 CV<==1.0,745,18,727,9,9,0,50.0,29.03,70.97,48.39,-16.28,116.44,8.71,18.0,177.605,36.152,0.764,70.782,16,50.0,50.69,2,50.0,30.0,0,,,
HR20=60 CV<==1.1,833,20,813,10,10,0,50.0,29.93,70.07,48.65,-17.25,115.45,9.73,20.0,177.481,36.063,0.794,70.381,18,50.0,50.72,2,50.0,30.0,0,,,
HR20=55 CV<==0.4,27,4,23,1,3,0,25.0,4.56,69.94,-8.75,-100.0,173.75,-0.35,4.0,252.889,34.139,0.331,76.876,2,50.0,82.5,2,0.0,-100.0,0,,,
HR20=55 CV<==0.5,49,7,42,4,3,0,57.14,25.05,84.18,90.71,-40.0,211.43,6.35,7.0,227.694,34.551,0.39,73.087,4,75.0,158.75,3,33.33,0.0,0,,,
HR20=55 CV<==0.6,124,8,116,5,3,0,62.5,30.57,86.32,98.75,-16.88,204.38,7.9,8.0,209.726,37.906,0.484,71.577,5,80.0,158.0,3,33.33,0.0,0,,,
HR20=55 CV<==0.7,283,12,271,7,5,0,58.33,31.95,80.67,78.42,-13.33,162.58,9.41,12.0,192.131,36.723,0.583,71.636,9,66.67,104.56,3,33.33,0.0,0,,,
HR20=55 CV<==0.8,492,18,474,8,10,0,44.44,24.56,66.28,33.0,-36.78,102.28,5.94,18.0,186.376,37.371,0.663,70.056,15,46.67,39.6,3,33.33,0.0,0,,,
HR20=55 CV<==0.9,685,25,660,13,12,0,52.0,33.5,69.97,52.76,-7.44,110.64,13.19,25.0,182.972,37.026,0.713,69.758,20,55.0,60.95,5,40.0,20.0,0,,,
