Method,Path,File,Calls_24h,Status,Recommendation
GET,/api/,legacy.py,105748,HIGH,KEEP
GET,/api/v3/cached-props,board.py,14073,HIGH,KEEP
GET,/api/v3/cached-props,cached_data.py,14073,HIGH,KEEP
GET,/api/live/scores,live.py,10136,HIGH,KEEP
GET,/api/v3/goblin-vault,tiers.py,9199,HIGH,KEEP
GET,/api/v3/most-popular-bets,core_v3.py,9068,HIGH,KEEP
GET,/api/v3/most-popular-bets,picks.py,9068,HIGH,KEEP
GET,/api/v3/war-zone,tiers.py,8450,HIGH,KEEP
GET,/api/v3/front-lines,tiers.py,8005,HIGH,KEEP
GET,/api/live/news,live.py,5624,HIGH,KEEP
GET,/api/v3/ferrari/war-zone,ferrari_tiers.py,5184,HIGH,KEEP
GET,/api/v3/ferrari/front-lines,ferrari_tiers.py,5183,HIGH,KEEP
GET,/api/v3/ferrari/safe-haven,ferrari_tiers.py,5064,HIGH,KEEP
GET,/api/calculate-hit-rate,legacy.py,3574,HIGH,KEEP
GET,/api/v3/vacuum/live-alerts,vacuum.py,2327,HIGH,KEEP
GET,/api/v3/status,core_v3.py,1996,HIGH,KEEP
GET,/api/v3/trap-graveyard,tiers.py,1979,HIGH,KEEP
GET,/api/v3/popular-bets,picks.py,1750,HIGH,KEEP
GET,/api/v3/parlay-builder,tiers.py,1541,HIGH,KEEP
GET,/api/v3/parlay-builder,parlays.py,1541,HIGH,KEEP
GET,/api/v3/breaking-news,scheduler.py,1487,HIGH,KEEP
GET,/api/v3/breaking-news,intel.py,1487,HIGH,KEEP
GET,/api/v3/injuries,scheduler.py,1410,HIGH,KEEP
GET,/api/v3/injuries,injuries.py,1410,HIGH,KEEP
GET,/api/v3/injuries/alerts,injuries.py,1410,HIGH,KEEP
GET,/api/v3/injuries/alerts,intel.py,1410,HIGH,KEEP
GET,/api/v3/live-scores,live_scores.py,1260,HIGH,KEEP
GET,/api/v3/live-scores,intel.py,1260,HIGH,KEEP
GET,/api/v3/social-signals,social.py,1121,HIGH,KEEP
GET,/api/v3/social-signals,intel.py,1121,HIGH,KEEP
POST,/api/v3/sync,core_v3.py,1019,HIGH,KEEP
GET,/api/v3/sync-status,adaptive_sync.py,1019,HIGH,KEEP
GET,/api/v3/goblin-recon,tiers.py,999,MEDIUM,KEEP
GET,/api/v3/goblin-recon,parlays.py,999,MEDIUM,KEEP
GET,/api/v3/t-minus-games,game_lock.py,841,MEDIUM,KEEP
GET,/api/v3/board-intel/status,board_intel_v2.py,809,MEDIUM,KEEP
GET,/api/v3/board,core_v3.py,809,MEDIUM,KEEP
GET,/api/v3/board-intel/status,board_intel.py,809,MEDIUM,KEEP
GET,/api/v3/board,board.py,809,MEDIUM,KEEP
GET,/api/v3/scouting-projections,board_intel_v2.py,722,MEDIUM,KEEP
GET,/api/v3/scouting-projections,intel.py,722,MEDIUM,KEEP
GET,/api/v3/lock-status,game_lock.py,514,MEDIUM,KEEP
GET,/api/command/search,command.py,463,MEDIUM,KEEP
GET,/api/v3/live-lines,cached_data.py,310,MEDIUM,KEEP
POST,/api/v3/ferrari/rebuild,ferrari_tiers.py,157,MEDIUM,KEEP
GET,/api/v3/static-shell,board.py,86,LOW,REVIEW
GET,/api/v3/static-shell,cached_data.py,86,LOW,REVIEW
GET,/api/v3/ferrari/all,ferrari_tiers.py,76,LOW,REVIEW
GET,/api/v3/safe-haven,tiers.py,70,LOW,REVIEW
GET,/api/v3/trending,core_v3.py,63,LOW,REVIEW
GET,/api/v3/trending,board.py,63,LOW,REVIEW
GET,/api/v3/players,core_v3.py,50,LOW,REVIEW
GET,/api/v3/players,board.py,50,LOW,REVIEW
POST,/api/v3/sync-to-mongo,intel_sync.py,47,LOW,REVIEW
GET,/api/demon-tracker/board,demon_tracker.py,46,LOW,REVIEW
GET,/api/full-board,legacy.py,43,LOW,REVIEW
POST,/api/v3/trigger-board-enrichment,cached_data.py,39,LOW,REVIEW
GET,/api/demon-tracker/status,demon_tracker.py,37,LOW,REVIEW
GET,/api/cache-status,admin.py,27,LOW,REVIEW
GET,/api/v3/scheduler-status,scheduler.py,26,LOW,REVIEW
POST,/api/v3/vacuum/check,vacuum.py,26,LOW,REVIEW
GET,/api/todays-games,admin.py,26,LOW,REVIEW
GET,/api/demon-tracker/demons,demon_tracker.py,19,LOW,REVIEW
GET,/api/v3/master-hub/stats,master_hub.py,19,LOW,REVIEW
POST,/api/v3/calculate-payout,payouts.py,17,LOW,REVIEW
GET,/api/roster/live-today,roster.py,17,LOW,REVIEW
GET,/api/validate-demon,legacy.py,16,LOW,REVIEW
POST,/api/v3/ferrari/sync-refs,ferrari_tiers.py,14,LOW,REVIEW
POST,/api/auth/signup,auth.py,14,LOW,REVIEW
POST,/api/auth/login,auth.py,14,LOW,REVIEW
POST,/api/v3/trigger-scheduled-sync,scheduler.py,12,LOW,REVIEW
GET,/api/v3/ferrari/refs,ferrari_tiers.py,12,LOW,REVIEW
GET,/api/roster-status,admin.py,12,LOW,REVIEW
POST,/api/dvp-refresh,admin.py,12,LOW,REVIEW
POST,/api/command/simulate,command.py,11,LOW,REVIEW
POST,/api/v3/board-intel/primary-sync,board_intel_v2.py,10,LOW,REVIEW
POST,/api/v3/board-intel/primary-sync,board_intel.py,10,LOW,REVIEW
GET,/api/v3/odds-mapper/stats,odds_mapper.py,9,LOW,REVIEW
GET,/api/v3/hydrated-board,board.py,9,LOW,REVIEW
POST,/api/v3/priority-refresh,adaptive_sync.py,9,LOW,REVIEW
POST,/api/v3/master-hub/sync,master_hub.py,9,LOW,REVIEW
GET,/api/v3/hydrated-board,cached_data.py,9,LOW,REVIEW
GET,/api/dvp-rankings,admin.py,9,LOW,REVIEW
GET,/api/v3/demons,core_v3.py,8,LOW,REVIEW
POST,/api/v3/odds-mapper/rebuild,odds_mapper.py,8,LOW,REVIEW
GET,/api/v3/demons,picks.py,8,LOW,REVIEW
GET,/api/v3/master-hub/search,master_hub.py,8,LOW,REVIEW
POST,/api/v3/master-hub/sync-bdl-prizepicks,master_hub.py,8,LOW,REVIEW
GET,/api/v3/enrichment-status,cached_data.py,8,LOW,REVIEW
POST,/api/v3/raw-validation/batch,validation.py,7,LOW,REVIEW
POST,/api/v3/sync-daily-insights,roster_sync.py,7,LOW,REVIEW
GET,/api/v3/ai-context/status,ai_context.py,7,LOW,REVIEW
GET,/api/v3/momentum/status,momentum.py,7,LOW,REVIEW
GET,/api/v3/goblins,core_v3.py,7,LOW,REVIEW
GET,/api/v3/goblins,picks.py,7,LOW,REVIEW
GET,/api/demon-tracker/events,demon_tracker.py,7,LOW,REVIEW
GET,/api/v3/vision/status,vision.py,7,LOW,REVIEW
POST,/api/v3/momentum/rebuild,momentum.py,6,LOW,REVIEW
GET,/api/v3/vacuum/active,vacuum.py,6,LOW,REVIEW
POST,/api/v3/sync-player-photos,roster_sync.py,5,LOW,REVIEW
POST,/api/v3/sync-active-players,roster_sync.py,5,LOW,REVIEW
POST,/api/v3/refresh-board-photos,roster_sync.py,5,LOW,REVIEW
GET,/api/v3/vacuum/updates,vacuum.py,5,LOW,REVIEW
POST,/api/v3/vision/trigger-batch,vision.py,5,LOW,REVIEW
POST,/api/sync-rosters,admin.py,5,LOW,REVIEW
GET,/api/dvp-status,admin.py,5,LOW,REVIEW
POST,/api/v3/sync-dvp,scheduler.py,4,LOW,REVIEW
POST,/api/v3/refresh-all-photos,roster_sync.py,4,LOW,REVIEW
POST,/api/v3/generate-intel-briefings,intel_sync.py,4,LOW,REVIEW
GET,/api/v3/ferrari/discarded,ferrari_tiers.py,4,LOW,REVIEW
GET,/api/demon-tracker/props,demon_tracker.py,4,LOW,REVIEW
POST,/api/v3/vision/generate-insight,vision.py,4,LOW,REVIEW
GET,/api/roster/full-active,roster.py,4,LOW,REVIEW
POST,/api/qa/inject-line-move,qa_testing.py,4,LOW,REVIEW
GET,/api/v3/intel-freshness,adaptive_sync.py,4,LOW,REVIEW
POST,/api/v3/generate-intel-briefings,intel.py,4,LOW,REVIEW
POST,/api/clear-all-cache,admin.py,4,LOW,REVIEW
GET,/api/rate-limit-status,admin.py,4,LOW,REVIEW
POST,/api/v3/sync-master-roster,roster_sync.py,3,LOW,REVIEW
GET,/api/v3/master-roster-status,roster_sync.py,3,LOW,REVIEW
GET,/api/headshots/stats,headshots.py,3,LOW,REVIEW
POST,/api/headshots/bulk-download,headshots.py,3,LOW,REVIEW
GET,/api/v3/ferrari/oracle-apex,ferrari_tiers.py,3,LOW,REVIEW
GET,/api/v3/search,core_v3.py,3,LOW,REVIEW
GET,/api/v3/search,board.py,3,LOW,REVIEW
POST,/api/v3/vacuum/sync-profiles,vacuum.py,3,LOW,REVIEW
GET,/api/demon-tracker/search,demon_tracker.py,3,LOW,REVIEW
GET,/api/roster/status,roster.py,3,LOW,REVIEW
POST,/api/v3/adaptive-sync/start,adaptive_sync.py,3,LOW,REVIEW
POST,/api/v3/master-hub/sync-bdl-all,master_hub.py,3,LOW,REVIEW
GET,/api/v3/sidecar/status,cached_data.py,3,LOW,REVIEW
GET,/api/command/grades,command.py,2,LOW,REVIEW
POST,/api/v3/sync-bdl,scheduler.py,2,LOW,REVIEW
POST,/api/v3/sync-bdl-mapping,scheduler.py,2,LOW,REVIEW
POST,/api/v3/ai-context/run,ai_context.py,2,LOW,REVIEW
POST,/api/v3/board-intel/delta-refresh,board_intel_v2.py,2,LOW,REVIEW
POST,/api/v3/live-scores/refresh,live_scores.py,2,LOW,REVIEW
GET,/api/v3/ferrari/parlays,ferrari_tiers.py,2,LOW,REVIEW
GET,/api/v3/payout-estimate,payouts.py,2,LOW,REVIEW
GET,/api/v3/payout-table,payouts.py,2,LOW,REVIEW
POST,/api/live/sync-ticker,live.py,2,LOW,REVIEW
POST,/api/v3/injuries/sync,injuries.py,2,LOW,REVIEW
POST,/api/demon-tracker/sync,demon_tracker.py,2,LOW,REVIEW
GET,/api/roster/mapped,roster.py,2,LOW,REVIEW
POST,/api/v3/master-hub/sync-roster,master_hub.py,2,LOW,REVIEW
POST,/api/v3/master-hub/sync-badges,master_hub.py,2,LOW,REVIEW
POST,/api/trigger-daily-sync,admin.py,2,LOW,REVIEW
GET,/api/v3/goblin-vault-live,tiers.py,1,LOW,REVIEW
POST,/api/v3/sync-baseline-stats,scheduler.py,1,LOW,REVIEW
POST,/api/v3/sync-nba-l5l10,scheduler.py,1,LOW,REVIEW
POST,/api/v3/sync-injuries,scheduler.py,1,LOW,REVIEW
POST,/api/v3/sync-advanced-stats,scheduler.py,1,LOW,REVIEW
POST,/api/v3/sync-full-daily,scheduler.py,1,LOW,REVIEW
POST,/api/v3/sync-player-stats,roster_sync.py,1,LOW,REVIEW
GET,/api/v3/live-ticker,board_intel_v2.py,1,LOW,REVIEW
POST,/api/v3/board-intel/early-bird,board_intel_v2.py,1,LOW,REVIEW
GET,/api/v3/locked-games,game_lock.py,1,LOW,REVIEW
POST,/api/v3/validate-parlay,game_lock.py,1,LOW,REVIEW
POST,/api/v3/check-locks,game_lock.py,1,LOW,REVIEW
POST,/api/headshots/update-urls,headshots.py,1,LOW,REVIEW
GET,/api/v3/momentum/test-detroit,momentum.py,1,LOW,REVIEW
POST,/api/v3/odds-mapper/lookup-batch,odds_mapper.py,1,LOW,REVIEW
GET,/api/v3/photo-stats,board.py,1,LOW,REVIEW
GET,/api/demon-tracker/cards/green,demon_tracker.py,1,LOW,REVIEW
GET,/api/demon-tracker/cards/red,demon_tracker.py,1,LOW,REVIEW
POST,/api/qa/revert-line-move,qa_testing.py,1,LOW,REVIEW
POST,/api/v3/master-hub/sync-career-stats,master_hub.py,1,LOW,REVIEW
POST,/api/v3/master-hub/sync-contracts,master_hub.py,1,LOW,REVIEW
POST,/api/v3/master-hub/enrich-game-values,master_hub.py,1,LOW,REVIEW
POST,/api/v3/validate-parlay,parlays.py,1,LOW,REVIEW
POST,/api/v3/sidecar/toggle,cached_data.py,1,LOW,REVIEW
POST,/api/sync-lakers-test,admin.py,1,LOW,REVIEW
POST,/api/v3/sync-social-signals,social.py,0,UNUSED,DELETE
GET,/api/v3/social-signal/{player_name},social.py,0,UNUSED,DELETE
GET,/api/v3/raw-validation/{player_name},validation.py,0,UNUSED,DELETE
GET,/api/v3/raw-validation-table,validation.py,0,UNUSED,DELETE
GET,/api/v3/raw-player-games/{player_name},validation.py,0,UNUSED,DELETE
GET,/api/command/profile/{player_name},command.py,0,UNUSED,DELETE
POST,/api/api/v3/regression/predict,regression.py,0,UNUSED,DELETE
GET,/api/api/v3/regression/compare/all,regression.py,0,UNUSED,DELETE
GET,/api/api/v3/regression/compare/{tier},regression.py,0,UNUSED,DELETE
GET,/api/api/v3/regression/flags,regression.py,0,UNUSED,DELETE
POST,/api/v3/init-database,scheduler.py,0,UNUSED,DELETE
GET,/api/v3/roster/players,roster_sync.py,0,UNUSED,DELETE
GET,/api/v3/player/{player_name}/photo,roster_sync.py,0,UNUSED,DELETE
GET,/api/v3/team/{team_abbrev}/roster,roster_sync.py,0,UNUSED,DELETE
GET,/api/v3/player-insights/{player_name},roster_sync.py,0,UNUSED,DELETE
POST,/api/v3/ai-context/evaluate/{player_name},ai_context.py,0,UNUSED,DELETE
GET,/api/v3/ai-context/player/{player_name},ai_context.py,0,UNUSED,DELETE
GET,/api/api/v3/historical-odds/status,historical_odds.py,0,UNUSED,DELETE
POST,/api/api/v3/historical-odds/fetch-date,historical_odds.py,0,UNUSED,DELETE
POST,/api/api/v3/historical-odds/fetch-range,historical_odds.py,0,UNUSED,DELETE
GET,/api/api/v3/historical-odds/player/{player_name},historical_odds.py,0,UNUSED,DELETE
