Player,Team,Stat,Line,PrizePicks,DraftKings,FanDuel,BetOnline
Jaime Jaquez Jr.,MIA,PTS,5.5,,-910,,
Jaime Jaquez Jr.,MIA,PTS,7.5,-137,-377,,
Jaime Jaquez Jr.,MIA,PTS,9.5,-137,-193,-166,-192
Jaime Jaquez Jr.,MIA,PTS,10.5,,,-125,
Jaime Jaquez Jr.,MIA,PTS,11.5,-137,-108,,100
Jaime Jaquez Jr.,MIA,PTS,13.5,,,,139
Jaime Jaquez Jr.,MIA,PTS,14.5,100,203,235,
Jaime Jaquez Jr.,MIA,PTS,15.5,,,,200
Jaime Jaquez Jr.,MIA,PTS,16.5,100,,,
Jaime Jaquez Jr.,MIA,PTS,17.5,,430,,290
Jaime Jaquez Jr.,MIA,PTS,19.5,,680,680,425
Jaime Jaquez Jr.,MIA,PTS,21.5,,,,625
Jaime Jaquez Jr.,MIA,PTS,23.5,,,,950
Jaime Jaquez Jr.,MIA,PTS,24.5,,2000,1700,
Jaime Jaquez Jr.,MIA,PTS,25.5,,,,1450
Jaime Jaquez Jr.,MIA,PTS,27.5,,,,2200
Jaime Jaquez Jr.,MIA,REB,2.5,-137,-262,,-357
Jaime Jaquez Jr.,MIA,REB,3.5,-137,-119,-113,-125
Jaime Jaquez Jr.,MIA,REB,4.5,100,170,,138
Jaime Jaquez Jr.,MIA,REB,5.5,100,314,330,230
Jaime Jaquez Jr.,MIA,REB,6.5,100,574,,390
Jaime Jaquez Jr.,MIA,REB,7.5,,1000,1060,675
Jaime Jaquez Jr.,MIA,REB,8.5,,1580,,1200
Jaime Jaquez Jr.,MIA,REB,9.5,,,,2100
Jaime Jaquez Jr.,MIA,REB,10.5,,,,3900
Jaime Jaquez Jr.,MIA,AST,1.5,,,-900,-1429
Jaime Jaquez Jr.,MIA,AST,2.5,-137,-239,,-323
Jaime Jaquez Jr.,MIA,AST,3.5,-137,-106,-118,-112
Jaime Jaquez Jr.,MIA,AST,4.5,100,187,,151
Jaime Jaquez Jr.,MIA,AST,5.5,100,363,340,260
Jaime Jaquez Jr.,MIA,AST,6.5,100,680,,450
Jaime Jaquez Jr.,MIA,AST,7.5,,1220,1100,775
Jaime Jaquez Jr.,MIA,AST,8.5,,2000,,
Jaime Jaquez Jr.,MIA,AST,9.5,,2900,,
Jaime Jaquez Jr.,MIA,3PM,0.5,-137,-218,,-156
Jaime Jaquez Jr.,MIA,3PM,1.5,100,200,,191
Jaime Jaquez Jr.,MIA,3PM,2.5,,650,,500
Jaime Jaquez Jr.,MIA,3PM,3.5,,1800,,1350
Jaime Jaquez Jr.,MIA,3PM,4.5,,,,3500
Jaime Jaquez Jr.,MIA,PRA,9.5,,-2100,,
Jaime Jaquez Jr.,MIA,PRA,14.5,-137,-328,,
Jaime Jaquez Jr.,MIA,PRA,16.5,,,,-213
Jaime Jaquez Jr.,MIA,PRA,18.5,-137,-123,-112,-108
Jaime Jaquez Jr.,MIA,PRA,19.5,,104,,
Jaime Jaquez Jr.,MIA,PRA,20.5,,,,124
Jaime Jaquez Jr.,MIA,PRA,22.5,100,,,168
Jaime Jaquez Jr.,MIA,PRA,24.5,100,284,,230
Jaime Jaquez Jr.,MIA,PRA,26.5,,,,310
Jaime Jaquez Jr.,MIA,PRA,28.5,,,,425
Jaime Jaquez Jr.,MIA,PRA,29.5,,740,,
Jaime Jaquez Jr.,MIA,PRA,30.5,,,,575
Jaime Jaquez Jr.,MIA,PRA,32.5,,,,825
Jaime Jaquez Jr.,MIA,PRA,34.5,,,,1150
Jaime Jaquez Jr.,MIA,PRA,36.5,,,,1650
Jaime Jaquez Jr.,MIA,PRA,38.5,,,,2400
Jaime Jaquez Jr.,MIA,PRA,39.5,,,4000,
Jayson Tatum,BOS,PTS,9.5,,,-7000,
Jayson Tatum,BOS,PTS,11.5,,-1680,,
Jayson Tatum,BOS,PTS,14.5,,-650,-800,
Jayson Tatum,BOS,PTS,17.5,-137,-305,,
Jayson Tatum,BOS,PTS,18.5,-137,,,
Jayson Tatum,BOS,PTS,19.5,-137,-199,-194,-196
Jayson Tatum,BOS,PTS,21.5,,,-125,-115
Jayson Tatum,BOS,PTS,22.5,-137,-111,,
Jayson Tatum,BOS,PTS,23.5,,,,118
Jayson Tatum,BOS,PTS,24.5,100,131,158,
Jayson Tatum,BOS,PTS,25.5,100,,,158
Jayson Tatum,BOS,PTS,27.5,,,,210
Jayson Tatum,BOS,PTS,29.5,100,320,420,290
Jayson Tatum,BOS,PTS,31.5,,,,390
Jayson Tatum,BOS,PTS,33.5,,,,550
Jayson Tatum,BOS,PTS,34.5,,740,1060,
Jayson Tatum,BOS,PTS,35.5,,,,750
Jayson Tatum,BOS,PTS,37.5,,,,1050
Jayson Tatum,BOS,PTS,39.5,,1660,2200,
Jayson Tatum,BOS,PTS,44.5,,3000,,
Jayson Tatum,BOS,REB,4.5,,-1580,,
Jayson Tatum,BOS,REB,5.5,,-690,-800,
Jayson Tatum,BOS,REB,6.5,-137,-356,,
Jayson Tatum,BOS,REB,7.5,-137,-205,-188,-204
Jayson Tatum,BOS,REB,8.5,-137,-124,-112,-115
Jayson Tatum,BOS,REB,9.5,100,128,130,125
Jayson Tatum,BOS,REB,10.5,100,202,,178
Jayson Tatum,BOS,REB,11.5,100,315,350,260
Jayson Tatum,BOS,REB,12.5,,492,,370
Jayson Tatum,BOS,REB,13.5,,760,900,525
Jayson Tatum,BOS,REB,14.5,,1140,,775
Jayson Tatum,BOS,REB,15.5,,1640,2000,1150
Jayson Tatum,BOS,AST,2.5,,-760,,-769
Jayson Tatum,BOS,AST,3.5,-137,-335,-520,-303
Jayson Tatum,BOS,AST,4.5,-137,-176,,-130
Jayson Tatum,BOS,AST,5.5,-137,100,100,121
Jayson Tatum,BOS,AST,6.5,100,170,,184
Jayson Tatum,BOS,AST,7.5,100,275,350,280
Jayson Tatum,BOS,AST,8.5,,451,,425
