Method,Path,File,Recommendation
POST,/api/v3/sync-social-signals,social.py,DELETE
GET,/api/v3/social-signal/{player_name},social.py,DELETE
GET,/api/v3/raw-validation/{player_name},validation.py,DELETE
GET,/api/v3/raw-validation-table,validation.py,DELETE
GET,/api/v3/raw-player-games/{player_name},validation.py,DELETE
GET,/api/command/profile/{player_name},command.py,DELETE
POST,/api/api/v3/regression/predict,regression.py,DELETE
GET,/api/api/v3/regression/compare/all,regression.py,DELETE
GET,/api/api/v3/regression/compare/{tier},regression.py,DELETE
GET,/api/api/v3/regression/flags,regression.py,DELETE
POST,/api/v3/init-database,scheduler.py,DELETE
GET,/api/v3/roster/players,roster_sync.py,DELETE
GET,/api/v3/player/{player_name}/photo,roster_sync.py,DELETE
GET,/api/v3/team/{team_abbrev}/roster,roster_sync.py,DELETE
GET,/api/v3/player-insights/{player_name},roster_sync.py,DELETE
POST,/api/v3/ai-context/evaluate/{player_name},ai_context.py,DELETE
GET,/api/v3/ai-context/player/{player_name},ai_context.py,DELETE
GET,/api/api/v3/historical-odds/status,historical_odds.py,DELETE
POST,/api/api/v3/historical-odds/fetch-date,historical_odds.py,DELETE
POST,/api/api/v3/historical-odds/fetch-range,historical_odds.py,DELETE
GET,/api/api/v3/historical-odds/player/{player_name},historical_odds.py,DELETE
GET,/api/api/v3/historical-odds/sample,historical_odds.py,DELETE
POST,/api/v3/board-intel/start-scheduler,board_intel_v2.py,DELETE
POST,/api/v3/board-intel/stop-scheduler,board_intel_v2.py,DELETE
GET,/api/v3/intel-briefing/{player_name},intel_sync.py,DELETE
GET,/api/proxy/nba-headshot/{player_id},image_proxy.py,DELETE
GET,/api/headshots/check/{nba_id},headshots.py,DELETE
GET,/api/headshots/image/{nba_id},headshots.py,DELETE
POST,/api/headshots/download/{nba_id},headshots.py,DELETE
GET,/api/v3/momentum/rankings/{stat_type},momentum.py,DELETE
GET,/api/v3/momentum/modifier/{opponent}/{stat_type},momentum.py,DELETE
GET,/api/v3/momentum/{team}/{stat_type},momentum.py,DELETE
GET,/api/api/v3/pro-model/status,pro_model.py,DELETE
POST,/api/api/v3/pro-model/train,pro_model.py,DELETE
POST,/api/api/v3/pro-model/analyze-features/{stat_type},pro_model.py,DELETE
POST,/api/api/v3/pro-model/predict,pro_model.py,DELETE
GET,/api/api/v3/pro-model/predict-tier/{tier},pro_model.py,DELETE
GET,/api/api/v3/pro-model/backtest/{stat_type},pro_model.py,DELETE
GET,/api/api/v3/pro-model/feature-importance/{stat_type},pro_model.py,DELETE
GET,/api/api/v3/pro-model/compare-approaches,pro_model.py,DELETE
GET,/api/v3/player/{player_name},core_v3.py,DELETE
POST,/api/v3/board-intel/delta-sync,board_intel.py,DELETE
POST,/api/v3/board-intel/priority-refresh,board_intel.py,DELETE
GET,/api/v3/board-intel/schedule-intel-check,board_intel.py,DELETE
GET,/api/v3/odds-mapper/lookup/{odds_api_name},odds_mapper.py,DELETE
GET,/api/v3/odds-mapper/player-id/{player_id},odds_mapper.py,DELETE
GET,/api/api/v3/bdl-advanced/status,bdl_advanced.py,DELETE
POST,/api/api/v3/bdl-advanced/fetch-season/{season},bdl_advanced.py,DELETE
POST,/api/api/v3/bdl-advanced/fetch-multiple,bdl_advanced.py,DELETE
GET,/api/api/v3/bdl-advanced/player/{player_id},bdl_advanced.py,DELETE
GET,/api/api/v3/bdl-advanced/player-by-name/{player_name},bdl_advanced.py,DELETE
GET,/api/api/v3/bdl-advanced/sample,bdl_advanced.py,DELETE
DELETE,/api/api/v3/bdl-advanced/clear,bdl_advanced.py,DELETE
GET,/api/api/v3/bdl-advanced/features/{player_name}/{stat_type},bdl_advanced.py,DELETE
GET,/api/v3/cached-player/{player_name},board.py,DELETE
GET,/api/v3/player/{player_name},board.py,DELETE
POST,/api/v3/sync-photos,board.py,DELETE
GET,/api/v3/vacuum/beneficiary/{player_name},vacuum.py,DELETE
POST,/api/v3/vacuum/clear/{injured_player},vacuum.py,DELETE
GET,/api/v3/injuries/player/{player_name},injuries.py,DELETE
GET,/api/v3/injuries/team/{team_abbr},injuries.py,DELETE
GET,/api/demon-tracker/event/{event_id}/odds,demon_tracker.py,DELETE
GET,/api/demon-tracker/cards/yellow,demon_tracker.py,DELETE
GET,/api/demon-tracker/player/{player_name},demon_tracker.py,DELETE
GET,/api/api/v3/vegas-killer/status,vegas_killer.py,DELETE
POST,/api/api/v3/vegas-killer/train,vegas_killer.py,DELETE
POST,/api/api/v3/vegas-killer/analyze-features/{stat_type},vegas_killer.py,DELETE
POST,/api/api/v3/vegas-killer/predict,vegas_killer.py,DELETE
GET,/api/api/v3/vegas-killer/predict-tier/{tier},vegas_killer.py,DELETE
GET,/api/api/v3/vegas-killer/feature-breakdown,vegas_killer.py,DELETE
GET,/api/api/v3/vegas-killer/compare-all,vegas_killer.py,DELETE
GET,/api/api/v3/vegas-killer/backtest/results,vegas_killer.py,DELETE
GET,/api/api/v3/vegas-killer/enrich-board,vegas_killer.py,DELETE
POST,/api/api/v3/vegas-killer/predict-slate,vegas_killer.py,DELETE
GET,/api/roster/players,roster.py,DELETE
GET,/api/v3/stale-intel-check,adaptive_sync.py,DELETE
POST,/api/v3/adaptive-sync/stop,adaptive_sync.py,DELETE
GET,/api/v3/master-hub/player/{player_id},master_hub.py,DELETE
GET,/api/v3/master-hub/player/name/{display_name:path},master_hub.py,DELETE
POST,/api/v3/master-hub/start-scheduler,master_hub.py,DELETE
POST,/api/v3/master-hub/enrich-nba-stats/{bdl_id},master_hub.py,DELETE
GET,/api/v3/master-hub/nba-stats/{bdl_id},master_hub.py,DELETE
POST,/api/v3/master-hub/enrich-all-nba-stats,master_hub.py,DELETE
GET,/api/v3/master-hub/career-stats/{player_name},master_hub.py,DELETE
POST,/api/v3/master-hub/sync-bdl-player/{player_name},master_hub.py,DELETE
POST,/api/v3/master-hub/sync-player-logs/{player_name},master_hub.py,DELETE
GET,/api/v3/master-hub/bdl-sample/{player_name},master_hub.py,DELETE
POST,/api/v3/master-hub/sync-roster-player/{player_name},master_hub.py,DELETE
GET,/api/v3/master-hub/contract-year-players,master_hub.py,DELETE
GET,/api/v3/master-hub/contract/{player_name},master_hub.py,DELETE
POST,/api/v3/master-hub/enrich-player-game-values/{bdl_id},master_hub.py,DELETE
POST,/api/v3/master-hub/add-badge/{player_name},master_hub.py,DELETE
GET,/api/v3/intel-briefing/{player_name},intel.py,DELETE
GET,/api/v3/sidecar/analyze/{player_name},cached_data.py,DELETE
GET,/api/v3/test-badges/{player_name},cached_data.py,DELETE
GET,/api/v3/player-with-badges/{player_name},cached_data.py,DELETE
POST,/api/clear-expired-cache,admin.py,DELETE
GET,/api/dvp-analysis/{opponent_team}/{stat_type},admin.py,DELETE
