player_name,team,opponent,stat_type,line,side,is_alt,projection,tier_ref_book,tier_ref_odds,dk_odds,fd_odds,mgm_odds,bol_odds,pp_odds,sharp_odds,sharp_book,anchor_book,p_true,fair_prob,edge_vs_fair,tp,pp_utility,cv,hr_l20,hr_l10,vision_score,vision_v2,tier_reason,canonical_key
Jarrett Allen,,,REB,5.5,OVER,True,,dk,-545,-545,-440,,,-137,,,prizepicks,0.75,0.845,-0.095,83.0,60.2,0.4997,75.0,70.0,37.5,37.55,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Jarrett Allen|REB|5.5|OVER
Ayo Dosunmu,,,PTS,11.5,OVER,True,,dk,-509,-509,,,,-137,,,prizepicks,0.9522,0.8358,0.1164,83.6,65.0,0.4507,90.0,90.0,43.9,43.87,safe_haven_failed: gate_cv_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Ayo Dosunmu|PTS|11.5|OVER
Ausar Thompson,,,PRA,14.5,OVER,True,,dk,-495,-495,,,,-137,,,prizepicks,0.9352,0.8319,0.1033,83.2,65.0,0.2451,90.0,100.0,43.3,43.31,safe_haven_failed: gate_vision_score_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Ausar Thompson|PRA|14.5|OVER
Cade Cunningham,,,REB,3.5,OVER,True,,dk,-482,-482,-460,,,-137,,,prizepicks,0.7,0.8282,-0.1282,82.5,58.6,0.5393,70.0,80.0,31.6,31.65,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Cade Cunningham|REB|3.5|OVER
Julius Randle,,,REB,4.5,OVER,True,,dk,-481,-481,,-500,,-137,,,prizepicks,0.75,0.8306,-0.0806,83.1,61.1,0.3851,75.0,80.0,32.7,32.7,safe_haven_failed: gate_edge_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Julius Randle|REB|4.5|OVER
Donovan Mitchell,,,REB,2.5,OVER,True,,dk,-480,-480,,,,-137,,,prizepicks,0.8,0.8276,-0.0276,82.8,63.6,0.4373,80.0,100.0,33.4,33.4,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Donovan Mitchell|REB|2.5|OVER
Ausar Thompson,,,PTS,5.5,OVER,True,,dk,-480,-480,,,,-137,,,prizepicks,0.6645,0.8276,-0.1631,82.8,56.8,0.425,90.0,90.0,30.2,30.16,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Ausar Thompson|PTS|5.5|OVER
Dylan Harper,,,PTS,5.5,OVER,True,,dk,-479,-479,-470,,,-137,,,prizepicks,0.99,0.8273,0.1627,77.2,65.0,0.4406,90.0,90.0,54.5,54.49,safe_haven_failed: gate_vision_score_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Dylan Harper|PTS|5.5|OVER
Jalen Duren,,,player_points_rebounds_alternate,19.5,OVER,True,,dk,-479,-479,,,,-137,,,prizepicks,0.9287,0.8273,0.1014,82.7,65.0,0.3178,85.0,70.0,42.2,42.19,safe_haven_failed: gate_hit_rate_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Jalen Duren|player_points_rebounds_alternate|19.5|OVER
Devin Vassell,,,PRA,14.5,OVER,True,,dk,-477,-477,-440,,,-137,,,prizepicks,0.8849,0.8267,0.0582,76.1,65.0,0.2938,80.0,80.0,42.9,42.86,safe_haven_failed: gate_vision_score_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Devin Vassell|PRA|14.5|OVER
